日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2014/01/01,二林,AMB_TEMP,13,13,13,12,12,13,12,13,15,18,20,22,22,22,21,21,19,18,17,16,16,15,14,14
2014/01/01,二林,CO,0.44,0.52,0.54,0.52,0.51,0.46,0.49,0.54,0.39,0.5,0.39,0.41,0.4,0.37,0.35,0.4,0.3,0.31,0.3,0.27,0.28,0.34,0.4,0.49
2014/01/01,二林,NO,1.4,1.2,1.4,1.9,1.7,0.9,1.3,6.5,8.1,5.4,2.6,2.2,2.5,1.9,1.7,1.9,1.3,0.8,0.9,0.9,0.9,0.7,0.9,0.7
2014/01/01,二林,NO2,21,23,27,31,29,21,22,25,17,16,11,11,14,11,12,16,9.1,9.9,10,11,12,12,12,16
2014/01/01,二林,NOx,23,24,29,33,30,22,24,31,25,21,14,14,17,13,14,18,10,11,11,12,13,12,13,16
2014/01/01,二林,O3,20,15,7.1,3.6,4.7,10,7.9,9.1,24,37,48,54,58,65,65,62,68,60,55,51,41,29,25,19
2014/01/01,二林,PM10,78,74,83,95,111,104,92,89,81,86,84,85,84,81,79,73,68,76,74,71,70,78,87,88
2014/01/01,二林,PM2.5,40,51,56,60,58,60,53,56,49,54,50,51,45,43,42,39,36,31,33,31,34,32,37,37
2014/01/01,二林,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/01,二林,RH,81,82,83,85,87,86,85,84,75,66,56,54,56,55,58,62,68,76,81,83,85,87,88,89
2014/01/01,二林,SO2,4.3,4.8,7.1,7,5.5,4.6,4.4,5.6,5.1,4.8,4.3,6,6,5.1,6.8,11,7.1,8.4,9.5,7.5,2.9,2,2.4,1.7
2014/01/01,二林,WD_HR,34,34,352,41,34,74,50,58,49,41,37,345,318,313,354,71,192,234,21,345,328,315,58,133
2014/01/01,二林,WIND_DIREC,38,34,40,41,31,164,36,94,36,36,16,307,321,299,262,307,77,217,64,335,322,303,126,146
2014/01/01,二林,WIND_SPEED,1.8,1.6,2,1.5,2.2,2.7,2.1,2.9,3.6,3.2,2.5,2.9,2.9,3.3,4.3,3.2,3.5,2.5,1.8,1.3,1.2,0.5,0.9,0.8
2014/01/01,二林,WS_HR,1.9,1.5,0.4,1.6,1.7,0.6,1.5,1.4,2.3,3,1.7,1.4,1.2,0.9,0.7,0.2,0.2,0.3,0.2,0.3,0.7,0.5,0.3,1
2014/01/02,二林,AMB_TEMP,14,13,12,11,12,12,13,15,17,20,22,24,23,24,24,23,21,19,18,18,18,18,18,18
2014/01/02,二林,CO,0.44,0.46,0.5,0.47,0.73,0.82,0.77,0.8,0.61,0.58,0.43,0.45,0.44,0.36,0.43,0.34,0.45,0.47,0.68,0.33,0.33,0.32,0.4,0.53
2014/01/02,二林,NO,0.7,0.9,6.2,3.2,11,18,17,25,14,7.8,6,4.9,4.3,3.3,3.3,2.8,2.3,1.8,1.8,1.8,1.8,1.6,2,2
2014/01/02,二林,NO2,13,15,12,13,16,20,26,30,27,22,18,20,20,14,17,14,19,18,27,14,11,10,9.7,13
2014/01/02,二林,NOx,14,16,18,17,27,38,42,56,41,30,24,25,24,17,20,17,21,20,28,15,13,12,12,15
2014/01/02,二林,O3,17,12,2.6,6.8,2.9,2.6,2,4,15,29,42,54,57,64,61,60,58,40,25,37,39,38,37,29
2014/01/02,二林,PM10,81,83,76,74,75,96,96,102,102,119,104,97,103,103,103,94,115,124,145,134,131,105,99,106
2014/01/02,二林,PM2.5,41,50,50,48,43,45,48,56,68,67,59,54,66,64,69,66,72,67,68,61,57,51,50,53
2014/01/02,二林,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/02,二林,RH,90,90,91,92,93,93,93,91,83,69,58,53,65,63,64,67,74,78,82,85,86,88,90,90
2014/01/02,二林,SO2,2.7,1.5,1.8,1.8,2.6,3.4,4.2,6.8,9.9,6.7,6.6,7.3,8.7,7.4,9.1,7.5,6.6,5.8,6.4,5,5.4,5.6,4.6,5.5
2014/01/02,二林,WD_HR,199,285,58,60,69,56,57,42,355,41,37,17,303,312,313,324,10,332,298,329,295,57,342,58
2014/01/02,二林,WIND_DIREC,273,112,25,42,82,337,65,40,303,42,51,6.4,347,321,7.8,26,43,300,304,309,232,4.9,313,106
2014/01/02,二林,WIND_SPEED,0.7,0.6,0.8,1.6,1.3,1.2,2.4,1.8,2.3,3.5,2.4,1.9,2.8,2.3,2.4,2.6,2.1,1.1,0.9,0.9,2.3,1.9,1.2,1.5
2014/01/02,二林,WS_HR,0.5,0.2,0.2,1.2,1.4,0.6,0.9,1.4,0.8,1.7,1.7,0.9,1.7,1.3,1.4,1.3,0.7,0.6,0.9,0.8,0.5,0.6,0.5,0.4
2014/01/03,二林,AMB_TEMP,17,17,17,17,17,17,17,17,19,21,23,24,25,25,25,22,21,20,20,20,20,20,19,19
2014/01/03,二林,CO,0.53,0.49,0.43,0.42,0.51,0.49,0.5,0.52,0.51,0.51,0.52,0.4,0.29,0.21,0.2,0.27,0.27,0.34,0.34,0.34,0.49,0.52,0.54,0.61
2014/01/03,二林,NO,1.9,2,2.3,1,0.8,1.6,1.9,5.9,7.9,7.1,4.3,3.8,2,1,0.8,0.8,0.8,0.9,0.9,0.6,1,0.7,0.7,0.6
2014/01/03,二林,NO2,13,13,14,19,25,26,23,21,21,21,20,21,11,5.1,4.3,6.5,9.4,18,17,14,16,24,25,18
2014/01/03,二林,NOx,15,15,17,20,26,27,24,27,29,28,24,25,13,6,5.1,7.3,10,19,18,15,17,24,26,19
2014/01/03,二林,O3,19,12,11,8.7,5.3,3.2,3.5,6.6,15,30,43,47,58,57,54,61,56,51,50,50,39,22,20,29
2014/01/03,二林,PM10,99,104,93,108,117,125,120,110,89,88,85,91,76,53,41,56,75,88,86,97,99,104,97,102
2014/01/03,二林,PM2.5,53,67,64,72,66,73,67,68,58,61,58,57,45,27,21,23,40,45,51,51,51,49,51,54
2014/01/03,二林,RAINFALL,NR,NR,NR,NR,NR,0.2,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/03,二林,RH,91,91,92,92,92,92,92,92,90,83,76,63,55,57,60,73,80,81,77,76,74,75,79,82
2014/01/03,二林,SO2,4,2.8,3.4,4.3,6.4,6.3,3.8,3.7,5.9,7.3,6.7,11,5.8,2.5,2.1,2.5,3.5,5.4,5.3,5.5,5.6,6.5,6.6,7.4
2014/01/03,二林,WD_HR,124,357,40,20,50,43,45,22,341,9.2,334,323,326,309,302,308,310,315,56,37,43,8.9,37,323
2014/01/03,二林,WIND_DIREC,301,319,45,39,65,36,328,348,26,46,295,301,327,287,307,311,1.3,306,47,317,62,315,55,297
2014/01/03,二林,WIND_SPEED,0.9,0.9,2.1,2,1.4,1.6,1.2,1.2,2.7,2.7,2.6,3.2,2.4,2,2.8,2.7,2.6,2.6,2.3,1.8,1.7,1.1,2.2,1.4
2014/01/03,二林,WS_HR,0.4,0.5,1,0.4,1.6,1.5,1.2,0.7,1,1.2,0.9,1.1,0.9,1.6,2,2.1,1.1,0.3,0.5,0.2,0.6,0.5,0.3,0.6
2014/01/04,二林,AMB_TEMP,19,19,18,18,18,17,17,17,18,19,20,21,21,21,21,20,19,18,17,16,15,14,14,14
2014/01/04,二林,CO,0.48,0.62,0.7,0.53,0.44,0.37,0.43,0.49,0.52,0.56,0.58,0.64,0.7,0.68,0.75,0.92,0.99,0.92,0.87,0.88,0.87,0.85,1.15,1.22
2014/01/04,二林,NO,0.8,0.7,0.8,0.5,0.2,0.4,0.4,0.6,1.3,2.2,2.5,2.4,2.6,2.1,1.7,2.1,1.3,0.7,0.4,0.4,0.2,0.3,0.5,0.4
2014/01/04,二林,NO2,20,25,23,22,16,15,17,18,19,20,20,22,24,21,22,34,34,33,32,33,30,30,31,29
