日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2014/01/01,嘉義,AMB_TEMP,15,15,14,14,13,13,14,14,14,16,19,21,22,24,24,23,22,21,20,19,18,18,18,17
2014/01/01,嘉義,CH4,1.8,1.9,1.9,2,2,2,2,2,1.9,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.7,1.7,1.8,1.8,1.8,1.9,2,2
2014/01/01,嘉義,CO,0.88,1.12,0.89,0.93,0.78,0.8,0.8,1.17,0.95,0.75,0.77,0.71,0.56,0.44,0.51,0.54,0.58,0.81,0.92,1.08,1.15,1.21,1.28,1.01
2014/01/01,嘉義,NMHC,0.34,0.45,0.34,0.38,0.47,0.43,0.38,0.54,0.41,0.29,0.28,0.23,0.16,0.09,0.11,0.13,0.15,0.26,0.28,0.34,0.37,0.39,0.45,0.34
2014/01/01,嘉義,NO,3.1,14,8.3,17,12,11,6.1,26,15,8.5,6.6,4.9,2.8,1.6,1.9,1.7,1.7,2,2.1,2.6,4,7.9,14,10
2014/01/01,嘉義,NO2,34,33,29,23,25,25,24,22,25,22,23,26,19,11,14,15,18,31,40,45,45,46,44,36
2014/01/01,嘉義,NOx,37,47,37,40,37,36,30,48,39,30,30,30,22,13,16,17,20,33,43,48,49,54,59,47
2014/01/01,嘉義,O3,7.7,1.4,1.6,1.1,1.3,1.5,2.5,2.8,10,22,33,43,57,66,68,65,54,35,22,14,8.7,3.9,1.5,1.3
2014/01/01,嘉義,PM10,91,100,117,114,106,96,92,98,110,118,113,100,86,75,74,79,82,122,118,125,135,144,146,133
2014/01/01,嘉義,PM2.5,57,68,71,69,68,61,63,58,66,72,71,70,65,64,65,49,41,46,46,56,81,82,56,52
2014/01/01,嘉義,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/01,嘉義,RH,80,82,84,85,86,87,86,86,85,77,66,57,49,42,45,47,51,57,63,68,73,76,78,82
2014/01/01,嘉義,SO2,5.1,5,3.8,3.2,26,4.8,4.1,4.6,6.9,6.7,5.1,5.6,4.5,3.4,5.1,5,4.9,6.5,8.6,9.8,9.1,7.9,7.9,4.3
2014/01/01,嘉義,THC,2.1,2.3,2.3,2.4,2.5,2.5,2.4,2.6,2.3,2.1,2.1,2,1.9,1.8,1.8,1.8,1.9,2,2.1,2.1,2.2,2.3,2.4,2.3
2014/01/01,嘉義,WD_HR,47,357,51,292,19,19,72,348,354,353,331,348,343,318,307,317,319,321,356,356,343,327,335,172
2014/01/01,嘉義,WIND_DIREC,61,325,139,327,63,46,105,351,348,0.2,323,4.5,337,309,305,325,324,319,27,329,345,320,129,276
2014/01/01,嘉義,WIND_SPEED,1.2,0.9,0.5,1.4,0.9,1.2,0.7,1.5,2.9,1.6,2.1,1.8,2.3,2.5,3,3,2.8,1.7,1.8,1.2,1,1,0.6,0.5
2014/01/01,嘉義,WS_HR,1.2,0.6,0.4,0.5,0.6,0.5,0.7,0.4,0.9,1,1.3,0.7,1,1.1,2,2.3,2.2,1.5,0.6,0.8,0.6,0.9,0.5,0.3
2014/01/02,嘉義,AMB_TEMP,16,16,16,16,16,15,15,16,17,19,22,24,25,26,26,26,24,23,22,21,20,19,19,19
2014/01/02,嘉義,CH4,2,2.1,2.5,2.4,2.4,2.5,2.1,2.5,2.3,1.8,1.8,1.7,1.6,1.6,1.6,1.7,1.7,1.8,1.8,1.9,2,2,2,2.1
2014/01/02,嘉義,CO,0.97,1.01,1.27,1.25,0.72,0.83,0.68,2.12,2.63,1.18,0.87,0.41,0.36,0.32,0.39,0.54,0.71,0.99,0.98,1.21,1.05,0.93,0.79,0.79
