日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2014/01/01,土城,AMB_TEMP,15,15,15,15,15,15,14,14,16,18,20,21,22,23,22,21,20,19,18,18,18,18,18,18
2014/01/01,土城,CH4,2,2,2,2,2,2,2.1,2.1,2,2,2,1.9,1.9,1.9,2,2,2,2,2,2,2,1.9,1.9,1.9
2014/01/01,土城,CO,0.52,0.53,0.48,0.41,0.35,0.35,0.56,0.71,0.79,0.57,0.49,0.45,0.42,0.42,0.46,0.46,0.57,0.61,0.75,0.74,0.62,0.46,0.46,0.35
2014/01/01,土城,NMHC,0.16,0.15,0.14,0.12,0.1,0.11,0.22,0.3,0.31,0.2,0.16,0.14,0.12,0.13,0.17,0.17,0.24,0.21,0.29,0.27,0.21,0.12,0.12,0.08
2014/01/01,土城,NO,1.5,1.3,1.5,1.2,1,1.1,1.3,3.2,8.4,4.3,3.3,2.3,2.1,1.9,2.2,1.9,1.6,1.3,1.5,1.3,1.4,1.4,1.2,1.1
2014/01/01,土城,NO2,17,18,17,12,9.5,9.7,18,25,24,16,12,9.5,8.5,8.7,14,15,18,18,24,27,23,16,15,11
2014/01/01,土城,NOx,18,19,18,13,11,11,20,28,33,21,15,12,11,11,16,17,20,19,25,28,24,18,16,12
2014/01/01,土城,O3,29,25,30,33,32,32,25,19,21,37,50,53,56,57,60,59,52,51,43,39,42,48,49,53
2014/01/01,土城,PM10,44,44,42,42,38,35,39,43,51,53,50,46,43,44,51,55,53,56,54,48,43,39,38,42
2014/01/01,土城,PM2.5,31,28,28,31,30,28,30,33,36,39,36,30,28,32,37,30,30,31,30,30,27,25,23,29
2014/01/01,土城,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/01,土城,RH,71,74,73,72,72,73,75,75,71,62,54,50,48,47,50,54,57,61,63,63,64,66,69,66
2014/01/01,土城,SO2,2.6,2.1,2,1.8,1.6,1.5,1.9,2.5,3.4,3.7,3.3,2.9,2.7,2.6,3.4,3.5,3.5,2.9,2.9,2.6,2.2,2.2,1.9,1.9
2014/01/01,土城,THC,2.2,2.2,2.2,2.1,2.1,2.1,2.3,2.4,2.4,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2.2,2.2,2.3,2.3,2.2,2,2,2
2014/01/01,土城,WD_HR,321,300,342,320,7.6,323,321,330,333,288,249,188,128,237,193,276,268,258,294,287,290,129,295,265
2014/01/01,土城,WIND_DIREC,85,323,41,97,278,323,299,345,322,301,233,141,296,324,207,273,256,319,297,263,260,251,357,323
