日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2014/01/01,大園,AMB_TEMP,14,14,14,14,14,14,14,14,17,18,20,21,21,20,20,20,20,18,18,18,18,18,18,18
2014/01/01,大園,CO,0.6,0.58,0.48,0.46,0.45,0.55,0.49,0.57,0.45,0.39,0.38,0.36,0.31,0.27,0.26,0.28,0.36,0.38,0.37,0.33,0.32,0.29,0.28,0.3
2014/01/01,大園,NO,11,4.1,2.7,1.5,2.7,3.6,5.5,41,15,4.4,3.7,3.6,2.6,1.7,1.5,2.2,1.9,1.6,1.1,1.1,1,1.1,0.7,0.7
2014/01/01,大園,NO2,51,41,30,31,28,34,37,46,35,18,17,17,11,6.6,7.3,17,17,24,19,16,19,17,16,18
2014/01/01,大園,NOx,62,45,33,33,31,38,43,87,50,22,20,21,13,8.3,8.8,19,19,26,20,17,20,18,17,19
2014/01/01,大園,O3,12,18,29,26,25,18,18,11,28,48,52,53,62,68,68,59,57,48,52,53,48,50,50,46
2014/01/01,大園,PM10,68,65,63,56,54,55,64,65,68,56,50,39,42,42,48,50,50,49,45,47,50,52,54,54
2014/01/01,大園,PM2.5,31,29,31,28,32,39,43,37,42,36,36,31,36,32,32,28,32,29,32,26,25,25,30,31
2014/01/01,大園,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/01,大園,RH,74,77,77,79,84,90,80,83,67,58,53,49,53,56,58,59,57,61,63,62,64,65,67,69
2014/01/01,大園,SO2,8.9,15,8.1,8.1,13,12,19,14,9.9,6.9,4.6,4.3,4.5,4.4,4.6,7.2,6,6.6,8.1,5.5,3.5,4,6,8.6
2014/01/01,大園,WD_HR,47,48,56,53,29,40,36,44,58,67,71,71,37,31,32,38,67,94,97,103,111,116,118,129
2014/01/01,大園,WIND_DIREC,50,52,71,38,31,36,37,40,55,74,84,76,34,31,33,45,80,96,100,107,111,118,118,133
2014/01/01,大園,WIND_SPEED,2.5,2,2.1,2,3.4,2.7,3,2.7,2.9,5.5,4.3,3.4,6.9,8.5,8.3,5.2,4.4,5.2,5,5.9,4.7,6.3,5.5,3.8
2014/01/01,大園,WS_HR,1.8,2.5,2.2,1.6,2.9,3,3,2.8,3.2,4.6,4.6,3.4,5.4,7.6,7.9,6.3,4.6,4.5,4.4,5.3,4.8,5.7,6.1,3.9
2014/01/02,大園,AMB_TEMP,18,18,18,18,17,17,15,15,18,20,21,20,21,21,21,21,19,19,19,19,19,18,18,17
2014/01/02,大園,CO,0.3,0.3,0.31,0.28,0.33,0.37,0.43,0.72,0.84,0.63,0.57,0.4,0.37,0.35,0.32,0.3,0.33,0.38,0.45,0.59,0.8,0.51,0.37,0.35
2014/01/02,大園,NO,0.9,0.8,0.7,0.9,0.5,0.8,1,11,19,14,14,7.5,4.7,5.4,3.7,3.7,3,2.4,4.5,10,18,2.7,1.6,1.2
2014/01/02,大園,NO2,13,11,10,12,9.2,18,21,30,34,35,34,24,20,23,19,23,26,29,41,57,56,37,22,21
2014/01/02,大園,NOx,14,12,11,13,9.8,19,22,41,53,49,48,32,25,28,23,27,29,31,46,67,73,40,23,22
2014/01/02,大園,O3,48,51,48,44,42,29,20,11,14,23,26,36,47,50,57,53,50,43,27,6.8,5.9,24,34,24
2014/01/02,大園,PM10,51,47,46,51,48,51,48,64,69,81,86,87,83,64,58,50,59,64,79,93,115,114,96,73
2014/01/02,大園,PM2.5,29,28,25,24,22,31,29,29,31,36,50,43,43,34,34,37,36,41,43,50,57,54,52,44
