日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2014/01/01,恆春,AMB_TEMP,19,19,18,18,18,18,18,19,21,22,23,24,24,24,24,23,22,21,21,21,21,21,20,20
2014/01/01,恆春,CO,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.2,0.21,0.21,0.21,0.21,0.22,0.22,0.22,0.21
2014/01/01,恆春,NO,0,0.3,-0.3*,2.3,2.1,2.4,2,2.5,2.4,2.2,2.1,2.4,2.4,2.8,2.5,2.2,2.8,2.5,2.2,2.1,2,2.2,2.4,1.9
2014/01/01,恆春,NO2,2.9,2.9,3*,1.6,1.7,1.2,1.8,1.5,1.5,1.9,1.9,1.9,1.6,1.6,1.6,1.6,1.7,1.8,2,1.8,1.7,1.8,1.9,2
2014/01/01,恆春,NOx,2.9,3.1,2.7*,4,3.8,3.7,3.8,4,3.9,4.1,4,4.3,4,4.4,4.1,3.7,4.5,4.3,4.1,3.9,3.7,4,4.3,3.9
2014/01/01,恆春,O3,50,50,50,50,50,48,47,47,48,52,56,60,63,64,63,65,68,66,67,64,63,63,63,63
2014/01/01,恆春,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/01,恆春,PM10,40,44,40,34,33,33,35,33,35,40,42,38,40,39,37,37,33,38,40,43,44,42,44,44
2014/01/01,恆春,PM2.5,21,20,19,21,16,18,14,17,21,18,19,18,25,16,19,19,15,23,19,15,28,21,21,21
2014/01/01,恆春,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/01,恆春,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/01,恆春,RH,82,82,81,80,80,80,79,76,71,68,67,66,66,66,65,66,69,72,73,73,75,76,76,77
2014/01/01,恆春,SO2,1.5,1.6,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.6,1.6,1.4,1.2,1.1,1.4,1.5,1.4,1.6,1.7,1.5,1.2,1.4,1.4
2014/01/01,恆春,WD_HR,33,34,35,37,33,29,27,29,30,36,34,39,41,40,41,41,41,41,41,41,40,38,37,35
2014/01/01,恆春,WIND_DIREC,32,33,37,32,29,26,30,29,31,37,35,43,43,42,40,43,42,40,44,42,42,39,37,38
2014/01/01,恆春,WIND_SPEED,7.3,7.1,7.6,7.4,7.2,6.8,6.5,6.9,8.4,9.5,9.2,9.6,9.5,9.8,9.9,9.7,8.6,7.4,6.9,7.1,7.3,7.9,8.7,7.6
2014/01/01,恆春,WS_HR,7.2,7.2,7.3,7.9,7.2,7,6.9,6.6,7.3,9.3,9.2,9.4,9.9,9.5,9.3,9.5,8.9,8.2,7.4,6.8,7.4,7.6,8.2,7.6
2014/01/02,恆春,AMB_TEMP,20,21,20,21,21,21,20,20,21,23,24,25,25,25,24,24,23,23,22,22,22,22,21,22
