日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2014/01/01,朴子,AMB_TEMP,14,14,13,13,13,13,13,13,15,18,20,22,23,23,23,22,21,19,18,17,17,17,16,16
2014/01/01,朴子,CO,0.41,0.4,0.41,0.44,0.5,0.52,0.54,0.62,0.66,0.67,0.42,0.38,0.42,0.39,0.35,0.31,0.33,0.36,0.34,0.34,0.36,0.36,0.36,0.34
2014/01/01,朴子,NO,1,0.9,0.9,1.3,1.6,1.9,3.1,8.9,10,9.1,4,2.4,2.1,2.3,1.8,1.6,1.4,1.2,1.1,1,1.2,1.1,1.1,1.1
2014/01/01,朴子,NO2,13,15,18,19,21,24,23,21,20,19,12,10,11,11,8.4,8.4,11,13,11,12,13,13,12,9.9
2014/01/01,朴子,NOx,14,16,18,20,23,26,26,30,30,28,16,12,13,13,10,10,12,14,12,13,14,14,13,11
2014/01/01,朴子,O3,31,22,15,10,6.6,3.5,3.9,6.3,14,25,43,56,61,64,67,66,61,56,51,44,40,38,38,38
2014/01/01,朴子,PM10,82,82,98,99,115,108,109,115,123,121,94,84,80,55,58,88,99,99,99,90,88,83,84,91
2014/01/01,朴子,PM2.5,44,49,61,64,66,61,61,65,65,63,54,51,48,28,30,43,40,36,37,37,37,39,45,49
2014/01/01,朴子,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/01,朴子,RH,80,82,83,85,86,88,88,88,81,66,54,47,41,43,43,47,54,66,76,81,83,85,87,89
2014/01/01,朴子,SO2,3.9,3.7,3.4,3.4,4.3,4.8,3.7,4.2,7.1,7.6,4.8,4.4,5.4,5.3,4.4,4.3,4.6,3.6,2.5,2.5,2.5,2.9,2.6,2.2
2014/01/01,朴子,UVB,0,0,0,0,0,0,0,0.3,1.1,2.6,4.2,5.2,5.1,4.2,2.8,1.3,0.3,0,0,0,0,0,0,0
2014/01/01,朴子,WD_HR,51,48,40,43,40,46,39,44,65,60,50,353,347,327,340,348,341,322,51,38,332,332,34,38
2014/01/01,朴子,WIND_DIREC,43,47,47,33,58,58,47,50,66,51,34,17,322,308,2.1,45,43,316,62,338,354,328,35,32
2014/01/01,朴子,WIND_SPEED,1.2,1.4,1.2,1.8,1.3,1.1,1.3,1.5,2.1,2.2,2.1,2.1,2,2,2.6,2.7,1.7,1.9,1.6,1.5,1.2,1.1,1.2,1
2014/01/01,朴子,WS_HR,0.8,0.9,0.9,1,1,1.1,0.8,1,1.3,1.3,1.4,1,1.1,1,1.1,0.9,0.8,0.8,0.5,0.6,0.5,0.6,0.6,0.8
2014/01/02,朴子,AMB_TEMP,16,15,15,15,14,15,15,15,17,19,22,24,25,26,25,25,23,22,21,20,19,19,19,19
2014/01/02,朴子,CO,0.33,0.31,0.34,0.38,0.43,0.47,0.56,0.76,0.69,0.56,0.46,0.4,0.3,0.32,0.36,0.4,0.44,0.56,0.5,0.42,0.39,0.44,0.37,0.32
2014/01/02,朴子,NO,1.1,1.2,1.2,0.4,0.7,0.5,5.2,16,14,8.9,5.7,2.2,1.2,0.9,1,1,0.7,0.7,0.7,0.7,0.7,0.8,0.5,0.6
2014/01/02,朴子,NO2,9.8,9.9,12,12,13,16,22,22,22,20,17,12,7.7,7.2,8.8,11,15,20,19,16,14,18,13,11
2014/01/02,朴子,NOx,11,11,14,12,14,17,27,38,36,29,23,14,8.9,8.1,9.8,12,15,21,20,17,15,19,14,12
2014/01/02,朴子,O3,33,32,20,21,14,11,3.8,4.7,11,22,37,58,66,73,76,67,55,41,38,39,40,34,35,31
2014/01/02,朴子,PM10,102,100,95,102,104,106,99,101,107,99,94,94,89,91,88,109,113,117,121,121,123,108,112,109
2014/01/02,朴子,PM2.5,52,50,49,43,50,49,60,58,70,63,64,53,52,38,39,45,55,53,55,62,65,65,62,67
2014/01/02,朴子,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/02,朴子,RH,90,92,93,94,95,94,92,90,83,68,53,43,37,36,41,47,52,60,70,78,80,82,83,87
