日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2014/01/01,松山,AMB_TEMP,14,14,14,14,13,13,13,13,15,18,20,21,21,21,20,20,19,18,18,18,17,18,18,18
2014/01/01,松山,CH4,2.1,2,2.1,2.1,2.2,2,2.1,2.1,2,2,1.9,1.9,1.9,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
2014/01/01,松山,CO,1.12,1.02,0.82,0.72,0.77,0.62,0.66,0.75,0.74,0.7,0.42,0.39,0.36,0.34,0.35,0.37,0.41,0.51,0.55,0.58,0.61,0.5,0.4,0.44
2014/01/01,松山,NMHC,0.37,0.33,0.23,0.22,0.27,0.19,0.23,0.26,0.23,0.24,0.13,0.1,0.07,0.06,0.07,0.09,0.11,0.15,0.17,0.18,0.2,0.14,0.1,0.11
2014/01/01,松山,NO,24,17,6.4,3.8,6.9,3.7,8.6,14,15,15,5,4,3.4,2.5,2.8,2.8,2.8,2.5,2.9,3.2,3.8,3.2,2.4,2
2014/01/01,松山,NO2,41,39,38,31,34,27,32,32,33,37,18,14,12,10,13,15,20,28,31,35,37,29,17,19
2014/01/01,松山,NOx,65,57,44,35,41,31,41,46,49,52,23,18,15,13,15,18,23,31,34,39,40,32,20,21
2014/01/01,松山,O3,2.3,3,5.5,8.9,4.4,11,5.5,7.4,15,24,47,53,59,64,63,59,54,43,38,31,27,36,48,42
2014/01/01,松山,PM10,39,38,38,46,46,34,31,33,45,43,45,48,53,47,48,45,52,46,56,49,47,39,39,44
2014/01/01,松山,PM2.5,24,24,26,29,24,23,19,27,28,31,30,27,26,17,22,25,30,29,25,28,22,24,23,24
2014/01/01,松山,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/01,松山,RH,78,80,79,80,81,82,82,83,76,63,53,50,50,51,53,55,57,59,61,62,64,64,67,69
2014/01/01,松山,SO2,3.4,3.5,3.2,2.9,3.4,3.7,4.3,4.6,5.5,5.9,4.4,4,3.9,4.1,4.5,4,3.8,3.4,3.2,3.2,3.2,3.1,2.5,2.7
2014/01/01,松山,THC,2.4,2.4,2.3,2.3,2.4,2.2,2.3,2.3,2.2,2.2,2,2,1.9,1.9,1.9,1.9,2,2,2.1,2.1,2.1,2,2,2
2014/01/01,松山,WD_HR,94,92,78,84,88,85,81,96,94,79,61,63,59,58,55,57,64,68,70,77,80,75,89,83
2014/01/01,松山,WIND_DIREC,89,93,94,87,95,84,96,95,86,64,67,64,55,57,52,63,65,70,73,85,78,71,89,89
