日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2014/01/01,板橋,AMB_TEMP,16,16,16,15,15,15,15,15,17,19,21,23,23,23,23,21,21,20,19,19,19,19,19,19
2014/01/01,板橋,CH4,1.7,1.9,1.8,1.7,1.8,1.9,2.2,2,1.7,1.8,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.8,1.8
2014/01/01,板橋,CO,0.62,1.02,0.78,0.51,0.57,0.72,0.99,1.05,0.64,0.76,0.58,0.53,0.46,0.5,0.48,0.46,0.57,0.67,0.73,0.73,0.63,0.62,0.58,0.52
2014/01/01,板橋,NMHC,0.25,0.39,0.34,0.22,0.26,0.36,0.54,0.42,0.26,0.3,0.19,0.15,0.11,0.15,0.14,0.13,0.19,0.23,0.25,0.27,0.21,0.21,0.17,0.15
2014/01/01,板橋,NO,1.8,4.3,2.1,0.7,0.9,3.6,13,17,8,9,3.5,3.6,2.3,2.4,2,1.5,1.4,1.4,1.7,1.4,0.9,1.2,1.2,1
2014/01/01,板橋,NO2,23,35,34,17,21,29,37,37,26,29,21,20,14,16,17,17,24,28,32,31,26,25,22,19
2014/01/01,板橋,NOx,25,40,36,17,22,33,50,54,34,38,24,23,16,18,19,19,25,29,34,33,27,26,23,20
2014/01/01,板橋,O3,20,14,16,24,21,12,5,10,21,29,45,46,55,55,56,57,49,42,37,35,40,41,43,44
2014/01/01,板橋,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/01,板橋,PM10,44,49,50,46,42,42,49,56,50,48,50,45,42,43,49,54,57,57,53,56,51,39,40,44
2014/01/01,板橋,PM2.5,26,28,30,29,28,24,28,33,32,31,31,34,35,33,34,29,24,26,28,27,31,31,26,25
2014/01/01,板橋,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/01,板橋,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/01,板橋,RH,70,70,70,71,71,73,75,73,68,60,51,47,45,46,49,52,55,58,59,60,60,63,66,67
2014/01/01,板橋,SO2,2.9,1.7,3.4,2.6,2.3,1.5,2.1,2,2.1,2.5,2.9,2.3,1.9,2.8,4.5,3.5,2.6,2.4,2.5,2.4,1.8,1.6,1.4,1.3
2014/01/01,板橋,THC,2,2.3,2.1,2,2.1,2.3,2.7,2.4,2,2.1,1.9,1.9,1.8,1.9,1.8,1.8,1.9,2,2,2.1,2,2,1.9,1.9
2014/01/01,板橋,UVB,0,0,0,0,0,0,0,0.2,1,2.2,3.5,4.3,4.3,3.4,2.1,0.9,0.2,0,0,0,0,0,0,0
2014/01/01,板橋,WD_HR,118,59,124,121,95,90,40,62,89,73,67,80,98,68,66,67,63,62,65,53,49,47,46,45
2014/01/01,板橋,WIND_DIREC,97,125,111,92,109,116,59,66,89,73,75,102,98,69,72,63,59,67,62,53,50,41,41,70
2014/01/01,板橋,WIND_SPEED,0.9,0.7,1.1,0.6,1.2,0.5,0.5,1.1,1.5,2.7,2.3,1.9,2.3,3.2,4.3,3.6,2.8,3,2.5,2.9,2.2,2.5,1.9,1.4
2014/01/01,板橋,WS_HR,1.3,0.9,1.3,1.1,0.6,0.5,0.4,0.6,1.2,1.6,2.4,1.8,1.8,2.4,3.2,3.6,3.2,2.6,2.2,2.3,2.4,1.9,2.1,1.3
2014/01/02,板橋,AMB_TEMP,20,20,19,19,19,18,17,17,19,21,22,23,25,25,24,24,24,23,22,21,21,21,21,20
2014/01/02,板橋,CH4,1.8,1.8,1.8,1.8,1.8,2,2.2,2.1,1.8,1.8,1.9#,1.7x,1.8#,1.8#,1.7,1.7,1.7,2,2.6,2.6,1.8,1.8,1.9,2
