日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2014/01/01,林口,AMB_TEMP,14,14,14,14,14,14,14,14,15,17,18,19,20,21,20,19,18,17,16,16,16,16,16,16
2014/01/01,林口,CO,0.73,0.67,0.56,0.61,0.39,0.38,0.37,0.46,0.53,0.56,0.35,0.34,0.34,0.34,0.31,0.3,0.32,0.36,0.37,0.36,0.34,0.35,0.36,0.36
2014/01/01,林口,NO,1.3,1.3,1,1.8,1.5,1.3,1.3,1.8,3.5,5.9,3.1,2.5,2.2,2.2,2.2,2.1,1.6,1.4,1.2,1.4,1.4,1.4,1.2,1.5
2014/01/01,林口,NO2,34,30,21,24,13,12,13,17,22,24,10,9.3,9.1,9.3,9.4,9,10,13,14,17,15,15,16,15
2014/01/01,林口,NOx,35,31,22,25,14,14,14,19,25,30,13,12,11,11,12,11,12,15,16,19,17,17,17,16
2014/01/01,林口,O3,22,25,34,30,41,42,44,38,34,36,51,54,57,59,60,62,58,55,52,48,48,46,44,45
2014/01/01,林口,PM10,57,56,50,50,51,45,43,51,53,50,50,45,42,44,50,50,50,51,50,46,43,44,44,42
2014/01/01,林口,PM2.5,34,37,35,32,31,29,29,37,38,34,33,31,30,33,37,36,33,31,30,27,24,25,24,24
2014/01/01,林口,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/01,林口,RH,77,78,77,79,79,80,79,77,76,70,61,59,57,56,57,60,64,68,68,68,71,73,76,78
2014/01/01,林口,SO2,2.4,9.6,6.2,2.6,2.3,3.1,13,13,7.5,5.8,5,3.5,3.1,3.7,3.9,3.7,6.1,10,8.5,6,4.1,7.1,13,12
2014/01/01,林口,WD_HR,88,86,87,89,87,78,61,58,85,88,89,87,88,75,71,71,75,89,87,87,86,87,90,89
2014/01/01,林口,WIND_DIREC,89,93,89,83,82,75,58,66,91,89,81,93,86,74,69,71,93,95,85,87,84,94,91,95
2014/01/01,林口,WIND_SPEED,1.6,1.6,1.4,1.2,1.7,2.2,1.6,1.4,2.8,3.9,3.4,3.2,3.3,3.5,3.7,4.7,3.3,3.9,3.4,2.8,3.4,3.4,2.6,2.5
2014/01/01,林口,WS_HR,1,1.4,1.5,1,1.4,1.7,1.6,1.5,2.1,3.3,3.3,3.1,3,2.9,3.3,3.9,3.6,3.3,3.3,3.2,3.2,3,2.8,2.3
2014/01/02,林口,AMB_TEMP,17,17,17,17,17,16,16,17,18,19,21,21,21,22,22,22,21,21,21,20,19,19,19,19
2014/01/02,林口,CO,0.31,0.28,0.25,0.23,0.24,0.26,0.29,0.71,0.76,0.87,0.48,0.46,0.49,0.33,0.27,0.27,0.31,0.48,0.92,1.01,1.14,0.89,0.54,0.43
2014/01/02,林口,NO,1.5,1.5,1.1,1.3,1.4,1.4,1.3,13,15,29,9.2,7.3,8.6,3.8,3.1,2.2,1.9,1.7,9.6,8.4,9.3,2.9,2,1.5
2014/01/02,林口,NO2,12,9.4,7.2,5.9,5,6.6,10,28,30,38,20,23,26,14,12,11,15,22,49,59,53,37,20,15
2014/01/02,林口,NOx,13,11,8.3,7.2,6.4,8,12,42,45,67,30,31,34,17,15,13,17,23,58,67,63,40,22,16
2014/01/02,林口,O3,48,50,52,53,54,50,43,25,14,11,32,35,36,54,54,56,51,47#,16,7.2,6.4,14,28,29
2014/01/02,林口,PM10,38,37,40,39,38,38,38,42,49,55,53,55,73,72,53,46,53,59,71,86,83,65,48,39
2014/01/02,林口,PM2.5,26,25,27,31,30,29,27,29,34,34,35,41,50,50,39,34,32,35,41,50,56,48,36,29
2014/01/02,林口,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/02,林口,RH,78,79,80,81,81,84,85,81,74,70,58,59,67,59,54,52,59,55,58,68,76,77,72,71
2014/01/02,林口,SO2,11,15,5.7,3,2.8,2.5,2.4,3.2,11,4.1,5.5,9.9,8.7,6.5,5.8,4.8,5.6,4.2,5.6,6.7,5.3,3.7,3,2.8
2014/01/02,林口,WD_HR,90,97,100,90,114,153,178,168,93,123,81,59,345,345,118,129,310,15,125,118,108,142,128,165
2014/01/02,林口,WIND_DIREC,96,99,81,145,148,175,204,74,99,99,88,346,306,360,149,257,93,39,129,113,140,175,127,141
2014/01/02,林口,WIND_SPEED,1.7,1.8,1.6,1.1,1,0.7,0.7,0.5,0.9,1.6,1.2,1.2,1.9,1.6,1.5,1,0.6,0.5,0.8,1.1,1.4,0.9,0.8,0.7
2014/01/02,林口,WS_HR,1.8,1.7,1.4,1.3,0.7,0.6,0.4,0.1,1,0.9,1.2,0.5,0.4,0.3,0.3,0.2,0.1,0.2,0.5,0.9,1.3,0.9,0.7,0.8
2014/01/03,林口,AMB_TEMP,18,17,17,17,17,17,17,17,18,18,19,21,20,19,20,20,21,19,18,17,18,18,18,17
2014/01/03,林口,CO,0.64,0.47,0.39,0.36,0.39,0.42,0.52,1,1.2,0.64,0.68,0.52,0.38,0.33,0.48,0.41,0.41,0.44,0.35,0.34,0.31,0.58,0.72,0.94
2014/01/03,林口,NO,12,3.7,1.6,0.7,1.1,1.2,8.7,48,62,22,29,10,4.4,3,6.4,2.8,2.2,1.4,1,0.9,0.7,1,1.7,1.8
2014/01/03,林口,NO2,36,32,21,21,26,21,30,37,39,33,43,30,19,17,37,30,30,24,19,13,9.5,27,36,48
2014/01/03,林口,NOx,48,35,22,22,27,23,39,85,101,55,73,40,23,20,44,33,32,26,20,14,10,28,37,50
2014/01/03,林口,O3,12,18,18,14,8.6,14,4.9,1.8,2.7,8.5,9.1,33,41,42,27,36,31,31,42,48,53,32,19,7
2014/01/03,林口,PM10,54,79,83,73,81,95,93,109,145,138,125,117,88,78,100,104,83,83,78,57,51,56,67,76
2014/01/03,林口,PM2.5,39,59,64,55,50,56,61,76,98,104,98,87,68,58,68,72,54,52,51,40,40,39,43,56
2014/01/03,林口,RAINFALL,NR,NR,NR,NR,NR,0.2,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/03,林口,RH,76,92,94,95,95,95,95,94,90,90,83,70,76,86,81,73,68,81,78,77,72,71,75,79
2014/01/03,林口,SO2,9.2,12,5.6,5.7,10,10,5.7,9.5,8.4,17,21,7.8,5.8,4.3,7.2,6,3,5,5.4,2.8,2.4,6.7,6.4,5.6
2014/01/03,林口,WD_HR,284,258,165,210,266,272,181,191,235,261,244,247,279,300,235,233,285,303,115,117,101,58,76,109
2014/01/03,林口,WIND_DIREC,256,230,213,300,250,186,161,88,336,267,229,231,310,280,230,224,322,114,172,162,76,107,106,80
2014/01/03,林口,WIND_SPEED,0.9,0.8,0.7,0.7,1.1,0.8,0.9,0.6,0.9,0.9,1.7,2,1.4,0.9,0.7,1.1,0.7,0.8,0.7,1.1,1.2,0.5,0.8,0.8
2014/01/03,林口,WS_HR,0.8,0.5,0.1,0.3,0.3,0.7,0.3,0.4,0.2,0.7,1.5,1.9,0.4,0.9,0.6,0.4,0.3,0.2,0.3,0.3,0.5,0.8,0.3,0.5
2014/01/04,林口,AMB_TEMP,17,17,17,17,17,16,16,16,16,17,17,17,16,16,16,15,15,15,15,14,14,14,13,13
2014/01/04,林口,CO,0.85,0.75,0.77,0.62,0.45,0.49,0.53,0.58,0.57,0.57,0.52,0.56,0.67,0.92,0.92,0.83,0.78,0.74,0.71,0.67,0.7,0.73,0.73,0.75
2014/01/04,林口,NO,1.8,1.2,1.1,1.2,1,0.9,1,1.4,2.7,3.2,3,2.4,2,2,2.1,1.9,1.7,1.5,1.3,1.2,1.1,1.1,1.1,0.8
2014/01/04,林口,NO2,39,33,37,18,7.8,8.4,12,20,26,22,21,19,23,34,35,32,29,26,20,17,19,19,17,15
