日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2014/01/01,桃園,AMB_TEMP,14,14,14,14,14,13,13,14,16,18,20,22,23,23,23,21,20,18,18,17,17,17,17,18
2014/01/01,桃園,CH4,2,1.9,2,2,2,2,2,2.2,2,2,2,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
2014/01/01,桃園,CO,0.7,0.51,0.68,0.75,0.45,0.43,0.51,0.75,0.6,0.52,0.52,0.49,0.41,0.41,0.44,0.45,0.48,0.55,0.56,0.57,0.53,0.52,0.49,0.45
2014/01/01,桃園,NMHC,0.24,0.16,0.19,0.23,0.14,0.12,0.13,0.23,0.15,0.13,0.13,0.11,0.08,0.07,0.09,0.09,0.11,0.15,0.15,0.15,0.14,0.13,0.12,0.1
2014/01/01,桃園,NO,1.3,1.1,1.1,1.8,1.7,1.8,1.5,4.1,5,3.8,4.2,3.6,2.8,2.6,2.8,2.7,2.5,2,2,1.7,1.7,1.8,1.6,1.8
2014/01/01,桃園,NO2,28,19,23,28,17,16,19,30,20,15,17,15,9.8,11,15,16,18,22,24,24,24,23,21,18
2014/01/01,桃園,NOx,30,20,24,30,19,17,20,34,25,19,21,18,13,13,17,19,21,24,26,26,25,25,22,20
2014/01/01,桃園,O3,21,33,28,23,31,30,26,17,36,45,50,53,59,61,59,58,54,47,44,41,40,39,42,44
2014/01/01,桃園,PM10,70,70,70,70,57,42,28,35,43,50,49,44,44,47,54,63,61,58,51,55,61,54,45,37
2014/01/01,桃園,PM2.5,30,33,30,32,29,21,26,28,35,29,36,28,32,20,21,21,22,28,23,30,28,32,28,26
2014/01/01,桃園,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/01,桃園,RH,79,79,78,79,80,81,83,83,74,66,61,56,54,53,57,60,65,68,69,70,71,72,74,75
2014/01/01,桃園,SO2,4.1,4.6,4.1,4.4,4.1,3.9,3.3,3.8,8.4,7.1,4.4,4,3.8,3.6,4.7,5.2,4.8,5.5,6.5,5.9,6.8,6.4,4.9,5.4
2014/01/01,桃園,THC,2.2,2.1,2.2,2.3,2.1,2.1,2.2,2.4,2.2,2.1,2.1,2,2,2,2,2,2,2.1,2.1,2.1,2.1,2.1,2,2
2014/01/01,桃園,UVB,0,0,0,0,0,0,0,0.3,1.1,2.5,3.8,4.6,4.6,3.7,2.3,1,0.3,0,0,0,0,0,0,0
2014/01/01,桃園,WD_HR,98,101,98,94,95,87,112,105,97,92,91,88,88,88,76,80,80,89,88,88,92,93,94,92
2014/01/01,桃園,WIND_DIREC,100,102,91,95,84,81,110,85,102,93,91,99,90,85,81,79,86,93,89,88,91,93,95,92
2014/01/01,桃園,WIND_SPEED,1.8,1.8,1.9,1.6,1.2,0.6,0.7,1,2.6,3.5,2.3,3.2,3.1,2.7,2.3,3.2,2.5,3.2,2.8,3.5,3.4,3.5,3.2,2.6
2014/01/01,桃園,WS_HR,1.5,1.5,1.8,1.7,1.4,0.7,0.7,0.8,1.8,3,2.8,2.4,2.6,2.2,2.3,2.5,2.3,2.8,2.9,2.6,3.2,2.9,3.3,2.7
2014/01/02,桃園,AMB_TEMP,18,18,18,18,17,16,16,16,18,20,22,23,23,24,25,24,23,22,20,19,19,19,19,18
2014/01/02,桃園,CH4,1.9,1.9,1.9,1.9,2,2.1,2.1,2.1,2,2.1,2,2.1,2.1,2,2,1.9,1.9,2.1,2.1,2.1,2.1,2.2,2.3,2.5
