日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2014/01/01,橋頭,AMB_TEMP,15,14,14,14,13,13,13,13,15,18,21,23,25,25,25,25,24,22,21,20,20,19,18,17
2014/01/01,橋頭,CO,0.67,0.72,0.72,0.74,0.66,0.6,0.63,0.78,0.61,0.56,0.54,0.61,0.56,0.44,0.4,0.41,0.49,0.98,1.09,0.91,0.8,1.09,1.12,0.86
2014/01/01,橋頭,NO,1.9,2.1,2.3,2.5,2.3,3.3,4.5,13,9.4,7.7,5.6,3.6,2.1,1.7,1.4,1.5,1.4,1.2,1.3,1.2,1.6,4.7,26,14
2014/01/01,橋頭,NO2,29,26,24,22,19,18,17,16,14,14,14,15,14,9.2,8.7,9.5,13,28,38,34,36,44,46,37
2014/01/01,橋頭,NOx,31,28,26,25,21,22,21,30,23,22,19,19,16,11,10,11,14,29,40,35,38,49,72,51
2014/01/01,橋頭,O3,7.9,7.1,6.4,4,3.5,2.5,3.3,4.9,12,20,34,56,79,79,73,66,69,56,37,30,22,9.1,0.6,0.6
2014/01/01,橋頭,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/01,橋頭,PM10,114,119,121,123,123,108,94,100,98,88,88,93,98,79,60,55,60,100,139,143,126,116,119,115
2014/01/01,橋頭,PM2.5,67,69,69,75,75,68,59,60,57,48,45,50,57,47,33,27,29,51,80,86,74,64,67,66
2014/01/01,橋頭,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/01,橋頭,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/01,橋頭,RH,84,86,87,87,88,89,89,88,81,73,64,57,49,48,48,49,53,61,64,69,69,71,77,80
2014/01/01,橋頭,SO2,5.7,5.2,3.9,3.9,7.1,5.4,3.9,4.5,4.7,3.7,3.7,4.5,5.6,4.9,3.7,3.4,4.5,7.7,11,6.3,5.6,4.8,6.6,4.7
2014/01/01,橋頭,UVB,0,0,0,0,0,0,0,0.3,1.1,2.5,3.9,4.8,4.7,4,2.7,1.3,0.3,0,0,0,0,0,0,0
2014/01/01,橋頭,WD_HR,38,35,38,37,42,43,40,45,34,1.3,346,310,268,260,264,266,274,301,36,54,40,25,67,46
2014/01/01,橋頭,WIND_DIREC,30,14,43,36,44,36,332,73,323,44,25,286,267,249,269,266,294,309,52,103,357,62,65,57
2014/01/01,橋頭,WIND_SPEED,1.8,1.6,1.6,1.6,2.1,2,1.6,1.9,2.1,1.5,1.6,1.5,2.5,2.7,2.7,2.6,2.5,1.5,1.5,1.3,1.1,0.7,1,1.1
2014/01/01,橋頭,WS_HR,1.1,0.9,1,1,1.4,1.5,0.8,0.8,1.4,0.6,0.6,0.8,2.3,2.5,2.5,2.4,2.3,1.3,0.7,1.2,0.8,0.4,0.9,1
2014/01/02,橋頭,AMB_TEMP,16,16,16,15,15,15,15,15,18,21,24,25,26,26,26,25,24,24,23,23,23,22,21,21
2014/01/02,橋頭,CO,0.6,0.67,0.7,0.63,0.46,0.45,0.63,1.03,0.86,0.52,0.31,0.34,0.36,0.57,0.47,0.41,0.47,0.72,0.91,1.12,1.63,1.23,0.76,0.56
2014/01/02,橋頭,NO,4.2,3.2,7.7,2.9,2.8,2.7,12,40,39,11,6.1#,2.9,2.5,1.8,1.5,1.2,1.1,1,1.1,1.2,2.3,15,2.7,1
2014/01/02,橋頭,NO2,26,28,29,20,15,20,28,31,32,24,16#,11,11,21,16,14,14,23,34,42,54,62,41,31
2014/01/02,橋頭,NOx,30,31,36,23,18,23,40,71,71,35,22#,14,13,22,18,15,15,24,35,43,57,77,44,32
2014/01/02,橋頭,O3,10,3.3,1.1,4.9,11,9.9,2.6,1.9,6.3,27,41,47,55,93,90,84,80,62,50,35,16,2,14,20
2014/01/02,橋頭,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/02,橋頭,PM10,105,106,112,111,93,72,70,77,93,98,72,49,43,67,94,83,66,75,108,131,128,132,122,100
2014/01/02,橋頭,PM2.5,59,65,71,65,56,49,44,43,43,41,30,18,15,34,54,45,36,38,50,66,69,74,71,59
2014/01/02,橋頭,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/02,橋頭,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/02,橋頭,RH,82,84,84,85,86,86,86,83,76,62,50,47,45,50,52,52,56,61,68,67,68,72,72,73
2014/01/02,橋頭,SO2,3,3.6,3,2.7,2.1,3.4,5,8.6,9,4.6,2.7,2.3,2.7,6.2,4.5,5.1,5.4,4.7,5.9,7.9,6.9,6.9,6,4.4
2014/01/02,橋頭,UVB,0,0,0,0,0,0,0,0.3,1.2,2.6,4.3,5,5.1,3.8,2.4,1.1,0.3,0,0,0,0,0,0,0
2014/01/02,橋頭,WD_HR,46,46,46,40,55,63,63,84,80,84,43,325,315,272,265,259,268,285,292,166,133,68,65,75
2014/01/02,橋頭,WIND_DIREC,41,26,38,60,50,72,88,84,88,59,43,310,270,269,273,251,278,293,133,154,11,90,49,78
