日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2014/01/01,汐止,AMB_TEMP,13,13,13,13,12,12,12,12,14,18,20,21,22,22,21,20,19,18,18,18,18,18,18,17
2014/01/01,汐止,CO,0.6,0.67,0.68,0.72,0.65,0.6,0.63,0.69,0.78,0.7,0.35,0.33,0.35,0.32,0.32,0.29,0.31,0.34,0.43,0.37,0.44,0.37,0.33,0.4
2014/01/01,汐止,NO,20,26,27,31,23,23,29,41,40,22,3.3,2.4,2.9,2.5,2.4,1.7,1.8,1.6,1.8,1.5,2.6,1.9,1.3,2
2014/01/01,汐止,NO2,33,31,31,27,25,26,26,27,31,33,12,8.9,10,11,11,9.9,12,16,25,18,26,19,15,23
2014/01/01,汐止,NOx,53,57,57,58,48,49,55,68,70,55,15,11,13,13,14,12,14,17,27,19,29,21,17,25
2014/01/01,汐止,O3,2.5,2.1,2,1.9,2.3,2.2,2.4,3.5,6.8,18,47,51,52,54,56,57,53,47,36,42,32,39,44,29
2014/01/01,汐止,PM10,46,50,43,42,39,35,33,38,49,61,56,45,44,43,45,49,51,48,45,44,42,40,38,37
2014/01/01,汐止,PM2.5,33,40,34,31,32,31,28,30,36,38,35,30,30,30,31,29,27,30,29,22,24,26,25,27
2014/01/01,汐止,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/01,汐止,RH,89,90,90,91,92,92,92,92,87,74,57,54,54,55,57,59,63,66,68,67,70,71,71,77
2014/01/01,汐止,SO2,13,12,12,11,11,14,11,15,11,9.1,4.8,4.1,3.9,3.5,3.4,3.1,3.2,3.2,3.3,3.1,3.9,2.6,2.5,4.2
2014/01/01,汐止,WD_HR,82,82,82,71,75,81,79,83,85,79,51,55,57,56,59,55,50,49,43,50,72,90,82,86
2014/01/01,汐止,WIND_DIREC,86,82,84,65,76,45,76,88,90,55,50,60,58,67,69,57,43,43,46,61,86,98,39,77
2014/01/01,汐止,WIND_SPEED,1.8,1.1,1.7,1.1,1.9,0.6,2.2,2.1,2,1.9,2.7,2.4,2.7,2.7,2.3,3.3,2.7,2,2.5,1.7,1.1,2.7,1.7,1.8
2014/01/01,汐止,WS_HR,1.9,1.8,1.5,0.7,1.5,1.2,1.2,2.3,2,1.3,1.9,1.6,1.7,2.2,2,2.2,2.2,1.8,1.5,1.5,0.9,1.3,1.2,1.5
2014/01/02,汐止,AMB_TEMP,17,17,17,17,16,16,15,15,17,20,23,26,26,26,24,23,22,21,20,19,19,19,18,18
2014/01/02,汐止,CO,0.47,0.46,0.38,0.28,0.33,0.48,0.77,1.17,1.18,0.83,0.61#,0.75,0.98,0.69,0.31,0.37,0.49,0.76,1,1.02,0.95,1.03,1.08,1.43
2014/01/02,汐止,NO,2.5,3.2,3.1,1.8,2.6,19,58,102,69,38,31#,19,18,9.2,4,2.6,5.4,15,42,42,50,55,69,109
2014/01/02,汐止,NO2,30,29,25,15,19,34,33,35,37,41,41#,46,57,41,17,22,37,55,51,41,39,35,31,31
2014/01/02,汐止,NOx,33,32,28,17,21,53,91,137,107,79,72#,65,75,50,21,24,42,71,93,83,89,90,100,139
2014/01/02,汐止,O3,17,16,17,25,22,4.8,2.6,2.7,5.4,11,15,22#,30,39,43,39,27,7.3,2.1,1.9,1.8,1.8,1.8,1.8
2014/01/02,汐止,PM10,40,42,38,37,37,35,42,50,56,65,67,,71,68,57,49,57,71,77,71,68,67,59,56
2014/01/02,汐止,PM2.5,29,30,30,32,31,30,31,35,35,36,35,,47,41,35,30,32,43,50,41,36,36,36,35
2014/01/02,汐止,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/02,汐止,RH,80,83,87,88,89,91,93,94,90,75,59,48,46,46,53,64,73,77,82,84,86,87,89,90
2014/01/02,汐止,SO2,8.4,5.9,3.8,5.1,4.9,4.3,4.2,4.7,4.5,4,3.8#,4.2,4.2,6.8,7.1,5.5,7,14,7.4,6.6,7.8,9,7.8,6.1
2014/01/02,汐止,WD_HR,78,65,74,73,138,77,86,87,77,84,287,268,253,282,92,50,78,78,68,51,74,79,118,148
2014/01/02,汐止,WIND_DIREC,104,74,84,73,216,111,105,301,87,171,324,262,261,41,69,84,89,42,107,74,68,29,223,184
