日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2014/01/01,湖口,AMB_TEMP,14,14,13,13,13,13,13,14,16,18,20,22,23,23,22,22,21,20,19,18,18,18,18,19
2014/01/01,湖口,CO,0.47,0.56,0.68,0.48,0.39,0.48,0.6,0.57,0.6,0.55,0.48,0.42,0.42,0.3,0.3,0.31,0.41,0.54,0.54,0.47,0.43,0.41,0.39,0.35
2014/01/01,湖口,NO,1.9,1.7,3.2,0.6,1,1.7,2.8,4.2,6.3,3.5,3.5,2.3,2.6,1.7,2.5,1.9,1.8,1,1.8,1.8,1.5,1.4,1.5,1.6
2014/01/01,湖口,NO2,19,25,33,18,15,24,28,29,27,18,14,11,12,8.3,8.6,11,17,21,20,17,17,17,18,14
2014/01/01,湖口,NOx,21,27,36,18,16,26,31,33,34,22,17,13,14,10,11,13,19,22,22,19,18,18,19,16
2014/01/01,湖口,O3,30,18,8.8,24,26,14,14,23,31,45,52,57,66,65,65,62,53,45,40,42,42,40,37,37
2014/01/01,湖口,PM10,68,67,70,68,61,57,61,68,70,61,54,50,48,51,53,57,62,66,65,57,50,46,46,45
2014/01/01,湖口,PM2.5,40,43,47,44,39,39,39,45,47,46,46,36,20,18,29,33,36,41,41,43,41,35,33,30
2014/01/01,湖口,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/01,湖口,RH,71,75,77,76,76,77,78,76,70,63,55,50,47,51,52,56,57,60,64,65,66,65,64,63
2014/01/01,湖口,SO2,5.2,8.7,13,6.4,4.9,9.2,8.2,12,8.5,7.2,6,5.2,4.9,4.4,4,4.3,5.4,6.1,4.5,3.8,3.3,3.4,3.6,2.8
2014/01/01,湖口,WD_HR,69,50,80,76,53,77,72,64,70,67,69,66,49,40,44,41,54,71,87,96,101,98,89,109
2014/01/01,湖口,WIND_DIREC,61,60,72,100,55,99,67,62,75,62,70,66,43,42,45,46,63,95,101,95,103,90,97,115
2014/01/01,湖口,WIND_SPEED,2.1,2.7,2.2,1.6,3.1,1.8,2,2.6,3.4,5.1,4,2.8,3.4,4.8,5.1,4.4,4.2,2.5,3.5,3.2,3.9,3.1,2.5,2.5
2014/01/01,湖口,WS_HR,2.1,2.3,1.8,1.8,2.5,2.2,2.2,2.6,3.1,4.3,4.3,3,3.1,4.4,5,4.4,3.8,2.8,2.8,3.1,3.7,3.3,2.3,2.5
2014/01/02,湖口,AMB_TEMP,19,19,19,18,17,16,15,15,18,20,21,22,23,24,24,24,23,22,22,21,19,18,18,18
2014/01/02,湖口,CO,0.33,0.29,0.28,0.32,0.42,0.39,0.49,1.17,0.95,0.38,0.43,0.48,0.49,0.5,0.42,0.34,0.4,0.63,0.77,0.85,0.71,0.47,0.37,0.64
2014/01/02,湖口,NO,1.3,0.9,1,2.2,2.1,4.3,32,62,41,7.5,3.5,2.9,5.3,3.6,2.9,2.1,1.5,1.5,2.6,6.5,2.9,1.3,1.6,9.9
2014/01/02,湖口,NO2,13,11,8.9,15,22,24,29,33,34,17,15,19,23,24,20,14,18,34,44,53,44,25,14,36
