日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2014/01/01,竹山,AMB_TEMP,13,13,13,12,,12,12,12,14,17,20,22,23,23,24,23,22,21,20,19,19,18,18,18
2014/01/01,竹山,CO,0.58,0.54,0.48,0.51,,0.48,0.67,0.79,0.44,0.32,0.3,0.28,0.27,0.29,0.33,0.53,0.55,0.51,0.64,0.86,0.8,0.61,0.6,0.62
2014/01/01,竹山,NO,3.9,2.8,1.9,2.1,,2.6,7.8,12,3.7,2.8,2.7,2.2,1.9,2,1.9,1.8,1.5,1.2,1.1,1.2,1.3,1.4,1.6,1.3
2014/01/01,竹山,NO2,23,19,17,17,,15,19,20,11,7.6,7.8,6.3,5.6,6.4,7.8,15,19,20,26,34,28,27,23,22
2014/01/01,竹山,NOx,27,22,19,19,,18,27,32,14,10,11,8.5,7.5,8.4,9.8,17,20,21,27,36,29,28,24,24
2014/01/01,竹山,O3,4,5,6.7,4.7,,3.1,3.2,6.8,22,33,40,49,64,74,81,81,65,57,41,21,19,16,18,12
2014/01/01,竹山,PM10,87,88,82,81,,71,73,76,71,64,70,73,57,54,71,108,149,149,130,126,122,114,111,112
2014/01/01,竹山,PM2.5,57,56,53,51,,49,50,49,44,34,32,30,27,33,42,64,83,84,83,86,87,82,77,78
2014/01/01,竹山,RAINFALL,NR,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/01,竹山,RH,80,82,83,82,,83,83,82,74,62,54,45,41,40,39,44,49,52,56,63,67,70,70,73
2014/01/01,竹山,SO2,2.5,1.9,1.5,1.4,,1.4,1.5,2.4,1.9,1.9,1.7,2.1,2.1,2.4,2.4,6.2,6.2,5.1,4.3,6.3,3.3,2.2,2.2,1.9
2014/01/01,竹山,WD_HR,147,130,120,137,,143,115,175,214,307,201,278,312,297,297,304,285,289,47,49,266,333,357,264
2014/01/01,竹山,WIND_DIREC,141,149,111,244,,194,101,241,207,275,247,298,314,311,301,308,263,329,27,44,275,345,353,212
2014/01/01,竹山,WIND_SPEED,0.7,1,0.9,0.7,,0.5,0.6,0.9,0.5,1.1,0.9,1.7,2.4,2.3,1.8,2.1,1.6,1,0.6,0.5,0.5,0.5,0.5,0.8
2014/01/01,竹山,WS_HR,0.7,0.8,0.6,0.6,,0.7,0.7,0.4,0.2,0.5,0.1,0.8,1.4,2,1.9,2.1,1.9,0.8,0.4,0.5,0.2,0.4,0.5,0.4
2014/01/02,竹山,AMB_TEMP,17,16,15,14,14,14,13,14,16,19,22,24,25,25,26,25,24,23,20,19,18,18,18,18
2014/01/02,竹山,CO,0.57,0.42,0.38,0.33,0.32,0.37,0.52,0.86,0.56,0.36,0.26,0.17,0.21,0.22,0.24,0.37,0.51,0.96,0.79,0.76,0.56,0.58,0.58,0.44
2014/01/02,竹山,NO,1.2,1.4,1.3,1.3,1.5,1.5,7.5,12,4.8,2.5,2.9,1.8,1.9,2,1.9,1.8,1.1,1.8,1.4,1.5,1.2,1.4,1.2,1.1
2014/01/02,竹山,NO2,17,11,10,10,12,16,21,25,15,9.8,8.5,5.2,5.3,6.5,7.1,13,18,37,31,28,21,21,22,18
2014/01/02,竹山,NOx,18,13,12,11,13,17,29,37,20,12,11,7,7.2,8.5,9,15,19,39,32,29,22,22,24,19
2014/01/02,竹山,O3,13,19,19,19,16,11,6.2,8.2,27,40,43,54,66,80,84,96,86,36,39,33,33,28,22,22
2014/01/02,竹山,PM10,108,94,76,67,65,65,66,67,60,54,51,48,44,53,75,103,121,131,130,103,87,81,78,72
2014/01/02,竹山,PM2.5,80,67,53,46,42,40,41,43,40,33,28,22,18,27,35,49,71,86,85,71,63,59,52,43
2014/01/02,竹山,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/02,竹山,RH,77,77,79,79,80,81,81,79,69,57,46,35,36,36,36,42,47,55,64,67,70,72,71,71
2014/01/02,竹山,SO2,1.4,1.6,1.3,1.3,1.2,1.2,1.4,1.8,1.7,1.7,1.9,1.2,1.8,2.2,2.5,4.2,5.1,4.1,2.2,2.2,1.9,1.9,2.3,1.9
2014/01/02,竹山,WD_HR,205,138,146,121,144,140,135,131,334,353,2.4,356,294,317,299,301,305,127,173,127,232,99,203,123
