日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2014/01/01,美濃,AMB_TEMP,15,15,14,14,14,14,13,14,18,21,23,26,27,27,27,26,25,23,21,20,19,18,17,17
2014/01/01,美濃,CO,0.5,0.47,0.41,0.55,0.57,0.55,0.59,0.73,0.66,0.33,0.33,0.26,0.24,0.26,0.33,0.38,0.5,0.51,0.5,0.63,0.53,0.46,0.48,0.47
2014/01/01,美濃,NO,2.6,2.5,2.7,8.9,7.3,10,16,20,14,2.9,2.2,2,2.3,1.9,2.8,1.7,2.1,2.4,1.9,2,2.5,2.3,1.9,2.2
2014/01/01,美濃,NO2,13,11,7.8,15,14,13,13,14,16,5.5,4.5,2.6,2.5,3.5,5.8,8.5,15,17,16,23,16,13,12,9.7
2014/01/01,美濃,NOx,16,13,11,24,21,23,28,34,30,8.4,6.7,4.6,4.8,5.4,8.6,10,17,20,17,25,19,15,14,12
2014/01/01,美濃,O3,8.7,8.3,11,0.9,0.6,1.1,0.6,2.4,10,33,45,55,54,59,70,80,76,63,57,35,31,30,29,30
2014/01/01,美濃,PM10,62,61,62,62,68,66,62,71,72,55,45,43,37,34,38,53,68,81,89,92,83,70,68,75
2014/01/01,美濃,PM2.5,41,41,39,42,44,41,41,42,41,30,26,25,20,26,28,33,43,48,49,59,56,48,48,50
2014/01/01,美濃,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/01,美濃,RH,89,90,90,91,91,91,92,90,77,62,51,40,39,40,40,41,46,56,61,70,77,81,82,83
2014/01/01,美濃,SO2,0.8,1.1,1,1.1,1.2,1.2,1.4,1.6,1.7,1.6,1.9,1.7,1.6,1.8,2.3,2.8,4.8,4.9,5,3.4,2.1,1.8,1.8,1.9
2014/01/01,美濃,WD_HR,168,101,73,279,189,324,322,158,169,161,222,229,252,227,282,272,280,268,277,71,75,70,73,51
2014/01/01,美濃,WIND_DIREC,160,77,165,294,168,302,316,146,158,135,247,211,239,263,282,279,272,245,305,69,92,69,61,37
2014/01/01,美濃,WIND_SPEED,0.4,0.6,0.5,0.4,0.4,0.5,0.5,0.6,1.1,1.1,0.8,1.3,2.2,1.4,1.6,1.7,1.3,1.4,0.8,0.7,1.2,0.7,0.9,0.6
2014/01/01,美濃,WS_HR,0.2,0.3,0.1,0.2,0.1,0.1,0.3,0.3,0.3,0.7,0.8,0.8,1,0.9,1.4,1.4,1.5,1.4,0.8,0.7,0.9,0.8,0.5,0.4
2014/01/02,美濃,AMB_TEMP,16,16,15,15,14,14,14,15,18,21,24,26,28,28,27,27,26,24,23,22,21,21,21,20
2014/01/02,美濃,CO,0.5,0.46,0.46,0.44,0.43,0.3,0.32,0.62,0.52,0.36,0.34,0.26,0.23,0.23,0.24,0.26,0.38,0.57,0.5,0.54,0.47,0.46,0.46,0.44
2014/01/02,美濃,NO,2.8,2,2.4,1.5,1.6,1.3,1.2,10,6.7,3.3,2.1,1.9,1.2,1.6,0.8,0.8,2.1,1.3,1.6,1.7,1.5,1.6,2,1.1
2014/01/02,美濃,NO2,12,9.2,9,8.7,10,6.7,9.9,17,14,8.5,6,3.3,2.5,3.2,4,5.5,12,18,17,20,16,14,13,11
2014/01/02,美濃,NOx,14,11,11,10,12,8,11,27,21,12,8.1,5.2,3.7,4.8,4.8,6.2,14,19,18,21,17,15,15,12
2014/01/02,美濃,O3,19,23,14,10,7.7,14,12,7.6,19,33,44,55,56,57,60,64,63,75#,64,42,29,34,35,32
2014/01/02,美濃,PM10,72,71,73,71,64,49,38,42,48,46,45,44,35,26,24,31,46,78,87,76,67,65,67,66
2014/01/02,美濃,PM2.5,50,50,50,44,39,30,22,20,20,22,21,21,25,22,15,14,19,36,45,44,41,38,43,44
2014/01/02,美濃,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/02,美濃,RH,86,87,89,89,90,88,86,82,70,60,49,40,36,37,39,40,46,56,60,67,73,72,73,75
2014/01/02,美濃,SO2,1.6,1.2,0.9,0.8,0.7,0.8,0.7,1,1.1,1.1,1.3,1.4,1.2,1.1,1.2,1.6,2,3.1,3.3,2.3,1.5,1.7,1.7,1.6
2014/01/02,美濃,WD_HR,284,56,250,80,354,63,58,50,91,172,219,269,230,230,193,189,231,287,235,1.1,62,76,63,75
2014/01/02,美濃,WIND_DIREC,348,350,159,331,59,29,61,62,68,153,221,234,224,219,200,197,277,284,194,83,73,69,191,84
2014/01/02,美濃,WIND_SPEED,0.8,0.6,0.5,0.5,1,0.8,0.7,0.8,0.9,0.9,1.3,1.2,1.4,1.5,1.6,1.3,1.7,1.3,1.8,0.9,1.1,1.1,0.7,0.9
2014/01/02,美濃,WS_HR,0.1,0.5,0.2,0.1,0.1,0.5,0.5,0.3,0.3,0.7,0.9,0.3,0.6,1.2,1,1.3,1,1.2,1.2,0.1,1,0.8,0.2,0.6
2014/01/03,美濃,AMB_TEMP,20,20,20,20,20,19,19,20,22,25,28,29,29,30,30,29,27,25,24,23,23,22,22,21
2014/01/03,美濃,CO,0.4,0.39,0.33,0.31,0.35,0.36,0.51,0.58,0.5,0.36,0.27,0.16,0.17,0.18,0.26,0.34,0.37,0.37,0.31,0.35,0.36,0.45,0.4,0.36
2014/01/03,美濃,NO,1.2,1.4,1.1,1.7,1.6,2.5,9.7,11,8.7,3.7,3,1.6,1.9,2.1,2.1,1.6,1.9,2.5,2.1,2,1.1,2.3,1.8,1.4
2014/01/03,美濃,NO2,8.8,9.4,7.4,8.1,9.6,11,16,16,13,9.3,5.5,2.2,2,2.3,6,8.1,9.6,11,9.3,12,12,14,15,11
2014/01/03,美濃,NOx,10,11,8.5,9.8,11,13,26,26,22,13,8.6,3.8,3.9,4.4,8.1,9.7,11,14,11,14,13,17,16,13
2014/01/03,美濃,O3,33,25,22,18,12,8.1,1.8,4,12,29,38,35,35,42,62,76,72,58,41,38,38,23,21,23
2014/01/03,美濃,PM10,66,67,59,48,46,50,53,51,42,38,34,22,13,17,28,48,60,62,57,50,50,51,49,54
2014/01/03,美濃,PM2.5,43,41,36,35,34,34,34,26,19,16,15,13,16,14,17,28,34,34,24,16,23,31,34,41
2014/01/03,美濃,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/03,美濃,RH,75,77,79,80,83,85,86,84,76,63,56,56,54,48,49,52,56,60,63,66,68,76,76,79
2014/01/03,美濃,SO2,1.7,2.1,1.9,1.8,1.6,1.7,1.7,1.8,1.9,2,2.1,1.5,1.5,2.1,3.4,3.9,4.2,4.5,3.4,3.9,3.7,2.4,2.5,2.3
2014/01/03,美濃,WD_HR,126,44,68,8.1,177,137,54,73,84,97,223,199,265,280,288,289,289,287,283,298,347,139,207,222
2014/01/03,美濃,WIND_DIREC,208,58,201,266,152,246,31,57,101,184,214,318,258,284,294,289,288,288,306,309,69,201,57,84
2014/01/03,美濃,WIND_SPEED,0.5,1,0.7,0.7,0.6,0.5,0.5,0.9,1.1,0.9,1.6,0.9,1.7,1.7,1.6,1.5,1.7,1.6,1.3,1,0.8,0.7,0.5,0.7
2014/01/03,美濃,WS_HR,0.1,0.2,0.3,0.1,0.4,0.2,0.3,0.4,0.6,0.5,0.3,1,1.3,1.5,1.4,1.5,1.3,1.4,0.9,0.6,0.4,0.4,0.1,0.2
2014/01/04,美濃,AMB_TEMP,20,20,20,19,19,18,18,19,20,23,25,25,26,27,27,26,24,22,21,20,18,17,16,16
2014/01/04,美濃,CO,0.4,0.31,0.32,0.31,0.35,0.35,0.4,0.45,0.51,0.46,0.38,0.42,0.38,0.42,0.48,0.55,0.64,0.76,0.82,0.87,0.88,0.85,0.86,0.71
2014/01/04,美濃,NO,1.8,1.8,2.5,2.4,2.5,3.4,3.6,5.2,6.8,4.9,3.9,4.3,2.6,2.2,2.6,2.1,2.3,1.9,2.1,2.1,2.7,2.6,2.7,2.5
2014/01/04,美濃,NO2,13,8.2,9.5,11,10,11,12,10,11,11,8.9,12,7.9,10,8.3,11,16,22,23,24,24,23,21,14
2014/01/04,美濃,NOx,15,10,12,13,13,15,16,16,17,15,13,16,10,12,11,13,18,24,25,26,27,25,24,17
2014/01/04,美濃,O3,11,14,9.8,8.1,4.4,2.3,1.6,4.8,9,21,35,45,56,67,78,82,76,64,56,46,35,30,22,22
2014/01/04,美濃,PM10,60,56,53,51,50,50,53,53,54,60,66,78,79,70,82,100,117,145,175,185,182,199,202,154
2014/01/04,美濃,PM2.5,43,36,33,34,32,31,32,31,35,36,34,41,52,54,55,62,67,77,91,99,101,107,113,95
2014/01/04,美濃,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/04,美濃,RH,84,85,87,88,90,90,90,89,84,73,65,61,58,50,40,41,45,55,60,63,71,75,80,84
2014/01/04,美濃,SO2,1.9,1.7,1.7,1.8,1.6,1.5,1.6,1.8,1.8,1.9,3,5.4,3.2,4.5,4.7,5.3,6.4,7.8,8.6,7.6,5.7,4.9,3.8,2.4
2014/01/04,美濃,WD_HR,84,62,164,103,103,98,160,101,174,203,193,208,282,288,292,291,289,269,251,276,98,255,100,218
2014/01/04,美濃,WIND_DIREC,40,288,174,101,64,231,129,177,183,125,240,179,272,291,290,276,281,135,276,256,224,223,83,268
2014/01/04,美濃,WIND_SPEED,0.8,0.6,0.9,0.7,0.9,0.6,0.9,0.6,0.5,0.9,1.5,1.2,1.7,1.6,2.6,1.9,1.2,1.4,1,0.8,0.9,0.5,1,0.9
2014/01/04,美濃,WS_HR,0.8,0.1,0.7,0.4,0.4,0.3,0.4,0.2,0.4,0.2,0.5,1.3,1.2,1.7,1.8,1.3,0.6,0.4,0.4,0.8,0.4,0.7,0.8,0.1
2014/01/05,美濃,AMB_TEMP,15,15,15,15,14,14,13,14,16,19,22,24,25,26,26,25,23,21,19,18,17,17,16,16
2014/01/05,美濃,CO,0.82,0.73,0.78,0.76,0.67,0.73,0.72,0.77,0.7,0.76,0.53,0.45,0.52,0.6,0.7,0.73,0.73,0.82,0.92,0.79,0.71,0.72,0.68,0.72
2014/01/05,美濃,NO,2.8,2.7,2.8,3.9,3.6,4.4,5.3,9.8,8.8,6.5,4.9,4.3,4.1,3.9,3.8,3.7,3.8,4.4,4.1,3.7,4.2,3.2,3.7,3.6
2014/01/05,美濃,NO2,16,13,14,11,8.4,12,12,9.4,11,12,5.6,3,3.9,7,12,12,11,16,23,19,14,15,9.6,13
2014/01/05,美濃,NOx,19,16,17,14,12,16,17,19,19,19,10,7.3,8,11,16,16,15,20,27,23,18,18,13,16
