日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2014/01/01,花蓮,AMB_TEMP,17,17,17,17,17,17,17,17,18,18,19,22,22,22,21,21,21,20,20,20,20,19,19,19
2014/01/01,花蓮,CO,0.51,0.42,0.39,0.32,0.31,0.31,0.37,0.4,0.41,0.53,0.5,0.54,0.57,0.46,0.48,0.56,0.69,0.83,0.99,0.84,0.97,0.57,0.49,0.44
2014/01/01,花蓮,NO,1.8,1.4,1,0.9,0.9,0.8,2.3,2.7,3.3,6.3,4.2,3.3,2.1,1.1,0.8,0.9,1.4,2.6,6.4,4.2,4.9,1.1,0.8,0.7
2014/01/01,花蓮,NO2,13,12,8.1,6.6,5.9,6.5,6.9,8.5,9.7,13,12,16,15,12,13,16,20,25,30,24,29,16,12,12
2014/01/01,花蓮,NOx,15,13,9.1,7.5,6.8,7.4,9.2,11,13,20,16,19,18,13,14,17,21,28,37,28,34,17,13,13
2014/01/01,花蓮,O3,19,19,15,17,14,13,13,12,11,11,18,40,50,58,58,53,37,25,14,19,14,22,24,22
2014/01/01,花蓮,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/01,花蓮,PM10,53,51,42,37,32,28,27,24,26,31,38,45,50,49,48,50,56,61,62,60,66,61,50,53
2014/01/01,花蓮,PM2.5,36,34,27,23,21,21,18,16,17,17,21,25,26,28,26,26,31,35,34,31,35,34,33,33
2014/01/01,花蓮,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/01,花蓮,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/01,花蓮,RH,87,87,86,85,84,81,79,76,72,73,73,63,62,63,63,64,67,68,69,70,73,77,77,78
2014/01/01,花蓮,SO2,2.3,1.1,1.1,1,0.9,1,1,1.6,1.7,2.3,2.2,2.8,2.2,2.3,2.3,2,2,2.2,1.9,1.5,1.5,1.3,1.1,1.2
2014/01/01,花蓮,WD_HR,251,266,249,255,239,238,236,231,231,235,238,35,29,38,21,337,313,312,310,303,262,238,239,241
2014/01/01,花蓮,WIND_DIREC,244,267,240,272,237,228,232,236,233,232,275,9.9,41,31,8.7,321,316,310,311,298,222,244,239,248
2014/01/01,花蓮,WIND_SPEED,1.9,1.5,1.6,1.2,2.2,1.2,2.9,2,2.2,2,0.9,2.2,2.2,1.6,1.3,1.9,1.5,1.8,1.6,1.2,1.4,1.9,2.3,1.5
2014/01/01,花蓮,WS_HR,1.6,1.3,1.2,1.2,1.6,1.6,2.1,2,2,1.9,1.7,0.7,1,1.2,0.9,0.9,1.5,1.7,1.6,1.7,1,1.6,2,2
2014/01/02,花蓮,AMB_TEMP,19,19,19,19,19,19,18,19,19,20,21,24,25,26,25,24,23,23,22,21,21,20,20,20
2014/01/02,花蓮,CO,0.35,0.24,0.2,0.18,0.22,0.21,0.34,0.56,0.52,0.37,0.28,0.28#,0.33,0.43,0.41,0.41,0.49,1.03,1.25,1.48,1.07,0.77,0.36,0.27
2014/01/02,花蓮,NO,0.7,0.2,0*,0.9,0.7,0.8,2.2,6.1,5.5,3.7,3,2.7#,1.6,2,1.7,1.3,1.4,3.4,9.1,17,14,7.7,2.8,0.9
