日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2014/01/01,萬里,AMB_TEMP,13,13,13,13,12,12,12,13,15,18,19,19,19,19,19,19,19,18,18,16,16,15,16,16
2014/01/01,萬里,CO,0.25,0.25,0.25,0.25,0.25,0.25,0.27,0.32,0.42,0.38,0.33,0.3,0.27,0.25,0.26,0.28,0.27,0.25,0.27,0.34,0.29,0.27,0.27,0.24
2014/01/01,萬里,NO,0.9,0.9,1.1,1.2,1.4,1.4,1.5,1.7,3.6,4,2.9,2.6,2.4,1.5,1.5,1.6,1.6,1.6,1.5,2,2,1.7,1.5,1.3
2014/01/01,萬里,NO2,4.1,4,3.5,2.4,2.5,3,4.1,5.7,11,11,11,7.6,6.6,5,7.2,8.4,8.8,9.3,12,16,12,8.4,8.3,5.1
2014/01/01,萬里,NOx,5,4.9,4.6,3.6,3.9,4.4,5.6,7.4,14,15,13,10,8.9,6.5,8.7,10,10,11,13,18,14,10,9.8,6.4
2014/01/01,萬里,O3,36,36,37,38,36,36,34,31,28,45,56,63,68,71,70,68,66,65,56,33,33,34,37,42
2014/01/01,萬里,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/01,萬里,PM10,38,39,34,33,29,32,35,34,35,43,49,50,50,49,46,46,48,43,39,40,43,37,37,35
2014/01/01,萬里,PM2.5,31,26,22,28,27,25,27,26,29,29,26,24,24,25,25,22,22,23,22,25,25,22,21,23
2014/01/01,萬里,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/01,萬里,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/01,萬里,RH,86,86,86,86,88,88,88,87,82,67,61,62,60,64,64,65,64,64,67,78,80,81,78,80
2014/01/01,萬里,SO2,1.7,1.8,1.9,1.9,2.1,2.1,2,2.2,2.5,4.1,4.7,4.7,5.6,3.6,5.2,3.9,3.7,3.6,3.2,3.7,3.7,2.6,2.3,1.8
2014/01/01,萬里,WD_HR,211,210,211,211,212,212,212,209,201,90,57,58,54,49,50,59,64,69,119,194,191,207,201,204
2014/01/01,萬里,WIND_DIREC,212,210,213,212,213,213,211,209,192,69,44,58,49,50,48,57,77,66,200,208,205,206,200,207
2014/01/01,萬里,WIND_SPEED,4.7,5.1,5,4.5,4.5,4.5,4.4,4.3,1.7,1.4,1.4,3.3,5,4.6,4.4,4,3.2,3,2.1,2.5,3.4,3.7,3,3.8
2014/01/01,萬里,WS_HR,4.5,4.9,4.9,4.4,4.6,4.4,4.4,4.6,2.9,0.4,1.4,2.3,3.8,5,4.4,3.4,3.3,2.6,0.9,2.3,2.7,3.7,2.9,3.8
2014/01/02,萬里,AMB_TEMP,16,16,17,16,16,15,15,15,17,19,20,21,21,21,21,21,21,19,19,19,19,19,19,18
