日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2014/01/01,西屯,AMB_TEMP,15,15,14,14,13,13,13,13,15,18,21,23,23,24,23,23,22,20,19,18,18,17,17,17
2014/01/01,西屯,CH4,1.9,1.9,1.9,1.9,1.9,1.9,2,2,1.8,1.8,1.8,1.7,1.8,1.8,1.7,1.7,1.7,1.8,1.8,1.9,1.9,2.3,2.2,2.1
2014/01/01,西屯,CO,0.61,0.72,0.67,0.67,0.57,0.58,0.65,0.87,0.58,0.57,0.58,0.46,0.44,0.41,0.37,0.34,0.38,0.5,0.69,1.12,1.14,1.17,1.39,2.07
2014/01/01,西屯,NMHC,0.29,0.33,0.35,0.35,0.28,0.29,0.44,0.42,0.23,0.22,0.2,0.19,0.24,0.13,0.09,0.1,0.11,0.17,0.28,0.39,0.63,1.24,1.15,0.99
2014/01/01,西屯,NO,2.2,5.9,34,14,9.6,5.4,28,30,9.4,13,16,5.3,2.9,1.8,1.3,1.2,0.9,0.8,0.9,3.9,7,18,32,76
2014/01/01,西屯,NO2,30,34,36,32,29,28,27,25,22,25,33,21,16,13,9.7,9.8,11,19,35,52,53,49,50,53
2014/01/01,西屯,NOx,32,40,70,46,39,33,55,55,31,38,50,26,19,15,11,11,12,20,36,56,60,67,81,129
2014/01/01,西屯,O3,9.5,2.7,1.5,1.5,3.8,2.4,1.8,3.9,16,18,19,42,52,61,70,65,61,45,27,11,3.4,1.7,2,2.1
2014/01/01,西屯,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/01,西屯,PM10,91,88,79,67,59,55,52,53,60,56,55,47,58,63,84,89,96,93,88,92,96,92,85,81
2014/01/01,西屯,PM2.5,53,58,58,56,52,48,41,41,40,41,41,31,39,41,53,50,52,54,53,54,56,60,64,67
2014/01/01,西屯,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/01,西屯,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/01,西屯,RH,78,80,82,83,82,82,83,83,70,58,49,42,48,48,50,52,57,66,71,74,77,79,82,83
2014/01/01,西屯,SO2,2.8,4.7,4.8,4.1,4.4,4.3,4.3,4.7,6.3,7.7,6.1,4.9,5.7,5.5,5.1,5.2,5.2,4.8,4.1,4.1,4.4,4.8,4.7,5.8
