日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2014/01/01,觀音,AMB_TEMP,14,15,15,14,13,15,16,17,18,19,20,21,20,20,20,20,19,19,18,18,17,18,18,18
2014/01/01,觀音,CO,0.65,0.52,0.52,0.53,0.55,0.59,0.45,0.42,0.33,0.38,0.42,0.34,0.28,0.27,0.28,0.28,0.29,0.38,0.4,0.37,0.36,0.35,0.35,0.39
2014/01/01,觀音,NO,7.2,3.9,12,3.3,0.9,1.2,1.3,2,2.1,3.2,3.6,1.9,0.9,0.7,1,1.4,1.3,1.1,0.8,0.7,0.7,0.5,0.6,0.5
2014/01/01,觀音,NO2,53,44,50,34,30,31,25,25,14,18,18,11,4.7,4.7,7.8,12,13,20,17,16,13,11,11,14
2014/01/01,觀音,NOx,60,48,62,37,30,33,26,27,16,21,21,13,5.6,5.4,8.8,13,15,21,17,16,14,11,12,15
2014/01/01,觀音,O3,2.9,7.3,2.5,8.9,12,13,22,26,35,33,35,44,50,51,50,48,42,34,36,36,36,37,36,32
2014/01/01,觀音,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/01,觀音,PM10,86,81,85,76,73,78,82,77,62,59,61,60,58,58,69,72,73,72,70,62,55,50,54,55
2014/01/01,觀音,PM2.5,39,42,45,42,38,37,38,39,35,31,29,27,23,24,24,33,28,36,30,38,29,33,25,26
2014/01/01,觀音,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/01,觀音,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/01,觀音,RH,72,73,72,74,77,79,75,69,61,56,54,55,57,59,60,61,64,64,63,64,66,64,64,66
2014/01/01,觀音,SO2,14,19,34,18,12,28,37,37,7.3,11,16,6.2,3.4,3.2,7.8,15,11,7.1,4.3,4.8,3.2,2.4,2.3,2.9
2014/01/01,觀音,WD_HR,87,85,86,104,92,66,60,65,84,76,73,64,60,61,59,62,71,90,89,92,97,106,109,117
2014/01/01,觀音,WIND_DIREC,85,88,92,100,78,84,60,87,86,78,66,59,65,61,57,60,86,91,90,91,101,110,112,119
2014/01/01,觀音,WIND_SPEED,3.4,3.2,3.4,3.2,2.9,3,4.8,4.6,5,5.3,4.9,6.2,6.3,7.6,8,7.3,4.4,5.5,5.2,5.4,5.3,5.9,4.6,4.5
2014/01/01,觀音,WS_HR,3.1,2.9,3.4,3.1,2.8,3.5,4.3,4.6,4.9,4.8,4.5,4.9,6,6.2,7.1,7.4,5.3,4.7,5.4,5.2,4.7,5.6,5.2,4.5
2014/01/02,觀音,AMB_TEMP,18,19,19,18,17,16,16,16,18,20,20,20,21,21,21,21,19,19,19,19,19,18,18,18
2014/01/02,觀音,CO,0.4,0.39,0.42,0.42,0.37,0.42,0.5,1.06,0.96,0.58,0.45,0.65,0.48,0.37,0.34,0.29,0.33,0.42,0.48,0.65,0.52,0.31,0.29,0.32
2014/01/02,觀音,NO,0.7,0.7,0.8,1,0.7,2.6,10,68,35,11,5.5,7.1,4,2.1,1.3,1.3,0.5,0.9,1.3,1.7,1.4,0.6,0.4,0.3
2014/01/02,觀音,NO2,23,16,20,20,19,29,28,29,29,25,23,28,21,15,18,15,16,25,34,37,22,15,9.9,11
2014/01/02,觀音,NOx,24,17,21,21,20,32,38,97,64,36,28,35,25,17,19,16,17,26,35,39,24,15,10,11
2014/01/02,觀音,O3,29,30,26,19,17,1.5,0.8,2.1,7.9,16,26,40,32,41,45,45,42,30,19,12,24,26,29,24
2014/01/02,觀音,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/02,觀音,PM10,62,57,62,67,75,76,66,79,90,102,97,99,104,102,96,82,84,85,101,117,116,102,77,69
2014/01/02,觀音,PM2.5,28,26,31,31,33,37,37,44,42,42,44,55,66,59,49,32,41,42,54,61,60,51,39,32
2014/01/02,觀音,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/02,觀音,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
