日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2014/01/01,頭份,AMB_TEMP,14,13,13,12,12,12,11,11,14,17,20,21,22,21,22,22,21,20,19,18,17,17,17,17
2014/01/01,頭份,CH4,1.9,2,2,2.1,2.2,2.3,2.3,2.2,2,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.9,2.1,2.2,2.2,2.2,2,2
2014/01/01,頭份,CO,0.53,0.52,0.58,0.45,0.47,0.54,0.57,0.8,0.65,0.49,0.38,0.38,0.38,0.33,0.35,0.38,0.45,0.7,1.06,1.07,1.06,0.88,0.59,0.52
2014/01/01,頭份,NMHC,0.19,0.24,0.24,0.17,0.18,0.24,0.22,0.27,0.2,0.14,0.11,0.13,0.09,0.06,0.07,0.13,0.24,0.42,0.47,0.42,0.37,0.3,0.18,0.15
2014/01/01,頭份,NO,2,2,4.4,3.2,4.2,12,18,27,13,9.4,6.6,5.7,3.5,3.1,2.8,2.9,2.7,2.7,5.5,11,14,9.9,2.8,1.8
2014/01/01,頭份,NO2,24,24,33,16,16,20,18,19,17,16,14,15,11,11,12,15,20,36,53,45,42,35,23,17
2014/01/01,頭份,NOx,26,26,38,19,20,32,35,46,31,25,20,21,14,14,15,18,23,39,59,56,56,45,25,19
2014/01/01,頭份,O3,7.9,8.4,1.9,4.4,5.2,1.2,1.6,2.6,9.7,20,32,36,58,64,64,61,53,30,9.3,6.8,1.5,1.6,11,13
2014/01/01,頭份,PM10,76,76,61,49,40,45,45,50,50,43,44,45,56,70,65,62,68,77,90,95,84,73,62,55
2014/01/01,頭份,PM2.5,53,58,47,37,30,30,30,35,36,31,28,28,32,34,32,35,42,47,55,61,58,52,47,44
2014/01/01,頭份,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/01,頭份,RH,80,82,83,82,82,83,84,82,75,66,56,50,57,60,59,58,59,64,68,76,80,81,80,80
2014/01/01,頭份,SO2,2.8,3.6,4,1.5,1.3,2.5,1.7,1.9,1.8,2.2,2.2,2.1,3.8,3.5,3.5,4.9,6.4,7.5,4.6,3,2.3,2,1.7,1.4
2014/01/01,頭份,THC,2.1,2.2,2.2,2.3,2.4,2.5,2.5,2.5,2.2,2,1.9,1.9,1.9,1.9,1.9,2,2.1,2.4,2.6,2.6,2.6,2.5,2.2,2.2
2014/01/01,頭份,WD_HR,94,44,78,114,354,83,114,105,132,95,76,102,305,63,16,37,42,25,79,114,98,107,129,127
2014/01/01,頭份,WIND_DIREC,71,34,86,170,4.3,97,96,120,134,32,102,33,294,123,348,38,33,0.9,75,161,87,126,125,124
2014/01/01,頭份,WIND_SPEED,0.9,1.4,1.3,0.7,0.7,1.2,1.2,1.3,1,1.7,1.3,1.3,3.3,3.1,2.4,2.7,1.3,0.5,1,0.8,1.2,0.9,1.3,1.4
2014/01/01,頭份,WS_HR,1,0.6,1,0.5,0.2,0.7,1.1,1,0.7,0.8,1.1,0.4,0.8,1,0.6,1.1,1.3,0.6,0.7,0.6,0.9,0.5,1.3,1.1
2014/01/02,頭份,AMB_TEMP,17,17,17,16,16,15,15,15,17,19,21,22,22,22,23,21,21,20,20,20,19,18,18,18
2014/01/02,頭份,CH4,2.1,2.1,2.3,2.5,2.4,2.5,2.4,2.2,2.1,2,1.9,1.9,1.9,1.8,1.8,1.9,1.9,1.9,2.1,2.3,2,1.9,1.9,2
2014/01/02,頭份,CO,0.48,0.4,0.4,0.51,0.48,0.46,0.68,1.15,0.89,0.71,0.52,0.49,0.46,0.36,0.39,0.45,0.47,0.66,0.98,1.39,0.73,0.41,0.38,0.49
2014/01/02,頭份,NMHC,0.15,0.14,0.16,0.27,0.24,0.22,0.27,0.4,0.27,0.26,0.15,0.16,0.13,0.07,0.08,0.12,0.13,0.26,0.42,0.66,0.32,0.11,0.09,0.15
2014/01/02,頭份,NO,1.8,1.9,1.6,2.9,4.3,9.1,26,43,25,15,7.1,6.7,6.6,2.5,2.4,2.8,1.9,1.8,5.2,23,8.4,1.5,1.2,1.5
