日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2014/01/01,馬公,AMB_TEMP,17,17,17,17,16,16,16,16,17,18,19,20,20,20,20,19,19,18,18,18,18,18,17,17
2014/01/01,馬公,CO,0.86,0.35,0.27,0.25,0.25,0.27,0.31,0.35,0.34,0.34,0.34,0.32,0.32,0.3,0.29,0.32,0.31,0.3,0.29,0.27,0.28,0.25,0.23,0.22
2014/01/01,馬公,NO,14,1.7,1.2,0.8,0.7,0.6,0.7,0.8,0.8,1,1,0.9,1,0.9,0.8,0.9,0.7,0.7,0.7,0.7,0.7,0.6,0.8,0.7
2014/01/01,馬公,NO2,10,4.8,3.7,4.3,4.1,4.1,5.9,5.9,6,6,5.6,5.4,5.5,5.2,5.1,6.1,6,5.5,5.5,5.1,5.4,4.7,4.4,4
2014/01/01,馬公,NOx,24,6.6,4.9,5.1,4.8,4.7,6.6,6.6,6.8,7,6.6,6.3,6.5,6,5.9,7,6.7,6.3,6.2,5.8,6,5.4,5.2,4.7
2014/01/01,馬公,O3,53,56,56,57,57,54,52,53,52,54,58,63,66,69,70,71,72,69,66,64,61,60,58,56
2014/01/01,馬公,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/01,馬公,PM10,136,128,43,42,45,48,53,60,65,65,65,66,68,71,67,66,73,67,57,55,54,55,51,51
2014/01/01,馬公,PM2.5,210*,202*,23,22,21,25,28,32,35,34,35,33,34,36,34,34,35,34,29,26,26,25,25,22
2014/01/01,馬公,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/01,馬公,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/01,馬公,RH,68,64,68,74,77,80,81,81,79,74,71,68,66,66,67,70,73,75,77,78,78,79,80,81
2014/01/01,馬公,SO2,4.1,3,2.7,2.7,2.4,2.3,2.2,2.3,2.4,2.4,3.3,4.4,4.3,4.1,4.2,4.4,4.1,3.7,3.7,3.5,3.6,3.4,3.3,3.4
2014/01/01,馬公,WD_HR,71,77,84,85,82,88,87,77,78,78,71,81,88,77,76,79,81,77,73,67,68,71,66,16
2014/01/01,馬公,WIND_DIREC,72,88,94,81,77,98,79,80,69,81,75,83,81,75,83,87,82,74,74,61,69,69,62,338
2014/01/01,馬公,WIND_SPEED,4.3,3.9,3.1,3.7,3.2,3.4,3.7,4.5,4.6,4.7,5,4.5,4.5,4.9,5.1,3.7,4.4,3.9,3.5,3.4,2.9,2.4,1.6,1.7
2014/01/01,馬公,WS_HR,2.9,2.6,1.9,1.6,1.7,1.4,1.7,2.4,3.1,3.1,3.4,2.7,2.5,2.9,3.4,2.6,2.2,2.6,2.5,2.4,1.9,1.7,1,0.1
2014/01/02,馬公,AMB_TEMP,17,17,17,17,17,17,17,18,18,19,20,21,21,21,21,21,20,19,19,19,19,19,19,19
2014/01/02,馬公,CO,0.23,0.24,0.24,0.24,0.26,0.27,0.3,0.39,0.41,0.36,0.36,0.35,0.41,0.37,0.36,0.38,0.36,0.44,0.39,0.36,0.35,0.35,0.33,0.33
2014/01/02,馬公,NO,0.6,0.6,0.6,0.7,0.8,0.9,1,1.1,1.3,1.7,1.7,1.6,1.7,1.3,1.4,1.5,1.3,1.2,1,1,0.9,0.9,0.8,0.7
2014/01/02,馬公,NO2,3.8,3.9,4.6,4.2,4.4,4.8,5.7,7.3,8.1,9.2,8.4,7.2,8.3,6.7,7.9,11,11,8.5,8.2,7.5,6.6,6.7,6.4,5.3
2014/01/02,馬公,NOx,4.4,4.5,5.2,4.9,5.2,5.7,6.7,8.4,9.4,11,10,8.8,10,8,9.3,12,12,9.7,9.1,8.4,7.5,7.5,7.1,6
2014/01/02,馬公,O3,55,53,50,52,50,48,46,45,46,47,52,57,59,62,63,61,62,63,62,62,60,55,54,55
2014/01/02,馬公,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/02,馬公,PM10,56,60,57,56,60,64,67,70,72,75,77,76,75,75,77,81,81,79,75,73,73,77,83,79
2014/01/02,馬公,PM2.5,21,26,24,24,25,26,30,33,34,34,34,32,34,36,35,37,39,39,36,43,46,41,43,37
2014/01/02,馬公,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/02,馬公,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
