日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2014/01/01,馬祖,AMB_TEMP,11,11,11,10,10,10,11,11,11,12,13,13,14,14,14,14,13,13,12,12,12,12,12,12
2014/01/01,馬祖,CO,0.36,0.35,0.46,0.73,1.49,1.77,2.14,1.82,1.26,0.68,0.43,0.38,0.4,0.44,0.37,0.34,0.33,0.34,0.32,0.31,0.32,0.3,0.31,0.29
2014/01/01,馬祖,NO,-0.3,-0.2,-0.1,0.7,0.7,0.3,0.9,2.3,2.5,2.4,2.3,2.1,1.6,1,0.7,0.6,0.6,0.9,0.5,0.6,0.5,0.5,0.3,0.2
2014/01/01,馬祖,NO2,16,11,14,16,20,17,17,17,13,10,9.3,9,8.4,8.2,7.1,6.5,11,9.4,8.8,8.2,8.9,9.9,10,7.5
2014/01/01,馬祖,NOx,16,11,14,17,20,17,18,19,16,13,12,11,10,9.2,7.8,7.1,12,10,9.3,8.8,9.4,10,10,7.7
2014/01/01,馬祖,O3,47,53,44,38,33,35,33,34,37,40,43,47,56,67,75,77,72,74,71,70,69,68,70,67
2014/01/01,馬祖,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/01,馬祖,PM10,77,76,79,84,99,111,108,100,89,77,66,61,62,65,60,57,64,65,66,67,65,62,67,65
2014/01/01,馬祖,PM2.5,49,48,47,53,59,63,63,63,58,48,41,40,43,44,42,39,37,41,43,41,39,39,44,44
2014/01/01,馬祖,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/01,馬祖,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/01,馬祖,RH,70,71,74,75,77,71,67,67,66,61,55,55,51,45,49,48,56,63,67,69,69,69,69,65
2014/01/01,馬祖,SO2,5.4,5.1,4.5,6.6,8.3,10,10,7.8,6,4.4,3.8,4.2,4.2,5,4.2,3.9,4.4,3.5,3.3,3.3,3.7,4,4.5,3.5
2014/01/01,馬祖,WD_HR,315,321,317,309,318,107,104,64,49,47,57,59,52,50,56,59,47,45,44,53,129,120,141,276
2014/01/01,馬祖,WIND_DIREC,316,315,318,319,299,106,95,55,51,64,51,52,57,51,74,51,44,44,37,82,204,126,179,299
2014/01/01,馬祖,WIND_SPEED,2.1,1.7,2.4,2.5,2.9,2.8,3.2,3.2,3.9,4.3,4.4,3.5,2.6,3.5,2.5,3.3,2.6,2.3,2.2,2,3.1,3.6,3.8,2.9
2014/01/01,馬祖,WS_HR,1.9,1.9,2.1,2.5,2.3,1.1,0.9,2,2.4,3.3,2.9,1.7,1.9,2.8,2.6,2.5,2.3,2.2,2.2,1.2,0.5,1.1,0.8,0.8
2014/01/02,馬祖,AMB_TEMP,13,13,12,12,13,12,12,12,13,13,13,15,16,16,16,15,15,14,14,14,14,14,14,14
2014/01/02,馬祖,CO,0.29,0.67,1.87,3.12,1.81,2.05,1.31,1.77,1.44,0.52,0.5,0.47,0.66,0.53,0.46,0.34,0.34,0.38,0.34,0.31,0.31,0.27,0.27,0.25
2014/01/02,馬祖,NO,0.3,-0.1,0.5,0.4,0.6,0.3,0.4,1.7,2.7,1.8,2.6,2.6,1.9,2.1,1.7,1.4,0.4,1.3,0.7,0.8,1,0.6,0.2,0.6
2014/01/02,馬祖,NO2,7,8.1,13,20,15,16,14,16,16,10,12,12,13,11,12,12,13,13,12,9.6,9.8,9.1,8.2,8
2014/01/02,馬祖,NOx,7.3,8,13,20,16,17,14,18,18,12,15,15,15,13,14,14,13,15,12,10,11,9.7,8.3,8.7
2014/01/02,馬祖,O3,67,64,52,42,46,43,43,42,44,51,49,53,61,68,70,72,71,80#,73,72,69,68,68,66
2014/01/02,馬祖,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/02,馬祖,PM10,56,59,72,92,93,90,87,78,78,72,68,70,66,62,59,57,56,64,64,59,59,53,51,55
2014/01/02,馬祖,PM2.5,42,40,43,52,51,50,49,47,48,47,47,48,44,39,39,35,33,37,39,37,38,40,36,32
2014/01/02,馬祖,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/02,馬祖,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/02,馬祖,RH,58,63,67,67,67,68,69,67,64,60,62,58,53,49,55,56,56,62,67,69,73,77,76,76
2014/01/02,馬祖,SO2,3.8,4.7,6.5,8.1,7.7,9.7,7.3,8.8,7.6,3.9,4.6,4.5,5.2,5.2,4.7,4,3.5,3.6,3.7,4,4,3.7,3.8,3.5
2014/01/02,馬祖,WD_HR,288,306,63,76,68,106,100,67,81,95,80,43,27,43,46,55,49,52,44,50,55,61,131,134
2014/01/02,馬祖,WIND_DIREC,235,272,65,84,68,121,84,69,60,87,75,50,45,49,48,88,46,56,112,44,52,75,213,165
2014/01/02,馬祖,WIND_SPEED,3.1,3.2,3,2.4,3,3.1,3.1,3.1,3,4.2,3.5,2.7,2,2.4,2.3,2.3,3.4,1.8,2,2.2,2.3,2.1,2.9,2
2014/01/02,馬祖,WS_HR,1.4,0.1,1.4,0.8,0.6,1,0.7,1.2,1.4,1.4,1.4,2.1,1.3,1.4,1.7,2.2,1.9,1.1,0.4,1,1.7,1.4,0.3,0.1
2014/01/03,馬祖,AMB_TEMP,14,14,14,14,14,14,14,14,15,16,17,16,17,17,17,18,18,16,16,15,16,15,15,15
2014/01/03,馬祖,CO,0.26,0.28,0.29,0.34,0.52,0.47,0.5,0.73,0.79,0.52,0.48,0.55,0.38,0.38,0.38,0.48,0.71,0.49,0.55,0.57,0.54,0.55,0.4,0.39
2014/01/03,馬祖,NO,0.6,0.8,0.6,0.9,0.6,0.5,1.1,4.7,9.3,4.4,1.4,7.7,2,3.1,2.6,1.6,3.2,0.7,0.7,0.9,0.9,0.6,0.9,0.7
2014/01/03,馬祖,NO2,9.1,14,9.8,7.3,15,7.7,16,20,28,17,10,24,9.5,18,18,19,40,14,17,14,11,12,8.7,9.5
2014/01/03,馬祖,NOx,9.6,14,10,8.2,16,8.1,17,25,37,21,11,32,11,21,21,20,43,14,18,15,12,13,9.6,10
2014/01/03,馬祖,O3,65,54,60,59,39,55,35,38,28,49,63,41,67,62,62,59,34,68,57,58,61,55,60,57
2014/01/03,馬祖,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/03,馬祖,PM10,57,61,55,51,68,77,72,76,83,89,78,78,78,70,79,88,95,95,90,84,78,72,65,66
2014/01/03,馬祖,PM2.5,32,38,40,34,42,43,41,42,45,52,45,49,48,39,44,47,51,52,48,48,50,47,38,39
