日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2014/01/01,麥寮,AMB_TEMP,15,14,14,15,14,14,14,14,16,18,18,19,19,19,19,19,18,17,17,17,16,16,16,16
2014/01/01,麥寮,CH4,1.8,2.1,2.5,2.1,2,2.1,2,1.9,1.7,1.7,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.7,1.7,1.9,2,2.2,2.4
2014/01/01,麥寮,CO,0.41,0.47,0.47,0.41,0.56,0.59,0.55,0.59,0.47,0.62,0.46,0.42,0.38,0.31,0.28,0.27,0.27,0.29,0.28,0.29,0.29,0.3,0.32,0.29
2014/01/01,麥寮,NMHC,0.14,0.16,0.15,0.13,0.16,0.21,0.19,0.19,0.13,0.1,0.1,0.09,0.07,0.04,0.05,0.03,0.03,0.04,0.04,0.04,0.04,0.05,0.07,0.06
2014/01/01,麥寮,NO,0.8,1.2,2,1.9,2.1,2.6,2.6,5.5,5.3,7.2,5,4.2,2.7,1.5,1.3,1.6,1.1,1.6,1.3,1.4,1.8,1.3,1.3,2
2014/01/01,麥寮,NO2,18,20,19,17,21,27,22,20,18,22,17,15,12,9,8.8,8.9,8.4,9,9.9,8.8,9,9.5,12,9.1
2014/01/01,麥寮,NOx,19,22,21,18,23,29,24,26,24,29,22,19,14,10,10,11,9.5,11,11,10,11,11,13,11
2014/01/01,麥寮,O3,27,19,17,20,12,5.8,12,13,29,35,42,47,58,70,73,72,71,66,63,58,54,49,41,37
2014/01/01,麥寮,PM10,66,75,82,81,79,88,84,81,78,72,65,66,78,82,88,94,76,56,55,57,55,57,61,57
2014/01/01,麥寮,PM2.5,44,52,58,53,53,59,60,59,53,47,46,43,41,38,35,36,32,31,32,31,31,29,29,26
2014/01/01,麥寮,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/01,麥寮,RH,82,85,88,90,92,92,90,89,79,71,69,66,64,66,67,70,75,80,85,87,89,90,92,93
2014/01/01,麥寮,SO2,4.9,5.2,3.6,2.8,3.3,5.4,4.2,5.4,8.1,12,9.1,7.2,5.3,3.8,3.3,3,2.5,2.4,2.3,2.2,1.9,1.9,1.8,1.5
2014/01/01,麥寮,THC,2,2.3,2.7,2.2,2.1,2.3,2.1,2.1,1.9,1.8,1.7,1.7,1.7,1.6,1.6,1.6,1.6,1.7,1.7,1.8,2,2,2.2,2.5
2014/01/01,麥寮,WD_HR,38,36,37,39,30,38,35,37,61,59,58,335,218,196,83,83,67,69,61,42,33,25,21,44
2014/01/01,麥寮,WIND_DIREC,44,39,43,35,27,39,25,49,65,95,316,250,209,192,76,62,57,56,75,37,37,7.5,22,51
2014/01/01,麥寮,WIND_SPEED,1.9,1.8,2.2,2.1,1.9,2.1,2.1,3.3,4.9,4,3.5,4.4,4.8,5.1,4.1,5.2,3.9,3.3,2.5,1.7,1.8,1,1.4,1
2014/01/01,麥寮,WS_HR,1.4,1.5,1.2,1.4,1.9,1.3,1.6,1.7,2,1.9,0.5,0.4,0.7,0.4,0.5,0.8,1.6,1.1,1,1.1,1.2,0.5,1,0.9
2014/01/02,麥寮,AMB_TEMP,15,15,15,15,15,15,15,15,17,19,20,20,20,20,20,20,19,19,18,18,18,18,18,18
2014/01/02,麥寮,CH4,2.1,2,2.1,2.3,2.3,2.3,2.3,2.4,2.1,1.7,1.7,1.7,1.6,1.6#,1.7,1.7,1.7,1.8,1.8,1.8,1.9,2,1.9,1.8
2014/01/02,麥寮,CO,0.3,0.31,0.3,0.3,0.32,0.45,0.68,0.84,0.79,0.62,0.67,0.53,0.44,0.4,0.4,0.37,0.39,0.5,0.44,0.39,0.4,0.4,0.36,0.34
2014/01/02,麥寮,NMHC,0.06,0.08,0.07,0.07,0.08,0.16,0.24,0.31,0.28,0.17,0.19,0.14,0.09,0.06#,0.06,0.05,0.06,0.09,0.08,0.06,0.06,0.06,0.05,0.04
2014/01/02,麥寮,NO,1.7,1.4,1.4,1.9,1.7,2.3,5.7,19,16,6.1,8,5,3.2,2.3,2.2,2,1.8,1.4,1.9,1.8,2,1.6,1.4,1.8
2014/01/02,麥寮,NO2,10,10,11,10,12,17,28,26,26,20,24,18,13,11,12,11,13,18,19,14,12,11,11,9.1
2014/01/02,麥寮,NOx,12,12,12,12,14,19,33,46,42,26,32,23,16,14,14,13,15,20,21,16,14,13,12,11
2014/01/02,麥寮,O3,37,33,36,33,28,15,4.2,5.2,13,32,37,48,61,71,72,67,65,48,48,48,48,46,45,44
2014/01/02,麥寮,PM10,54,60,67,62,60,75,99,103,112,117,106,105,99,95,90,88,90,90,89,86,82,83,92,100
2014/01/02,麥寮,PM2.5,25,36,42,36,32,43,58,63,76,82,79,77,70,63,59,55,55,58,59,58,55,54,60,65
2014/01/02,麥寮,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/02,麥寮,RH,95,96,96,96,96,96,95,93,90,76,70,71,73,73,71,76,82,85,86,88,88,90,92,93
2014/01/02,麥寮,SO2,1.5,4,3,1.6,1.7,3.8,3.9,7.5,6.7,7.5,10,7.6,5.8,4.6,3.9,3.5,2.8,2.9,3.3,2.8,2.1,1.9,2.6,2.6
2014/01/02,麥寮,THC,2.1,2.1,2.2,2.4,2.4,2.4,2.5,2.7,2.3,1.9,1.9,1.8,1.7,1.7#,1.8,1.8,1.8,1.9,1.9,1.8,1.9,2,1.9,1.8
2014/01/02,麥寮,WD_HR,42,45,34,31,36,36,29,36,38,42,22,357,23,2.4,360,64,53,333,33,20,34,66,44,40
2014/01/02,麥寮,WIND_DIREC,42,55,33,37,35,31,31,40,33,59,10,308,45,45,39,66,341,292,74,184,41,75,46,40
2014/01/02,麥寮,WIND_SPEED,1.2,1,2.2,2.1,2.3,2.2,2.2,1.7,3.2,2.7,2.6,2.7,3.4,3.6,3.1,2.7,3.1,1.7,2.4,1.9,1.6,1.9,2.2,2
2014/01/02,麥寮,WS_HR,1.3,1.1,1.8,2.2,2.3,2.2,1.9,1.8,1.4,1.1,1.1,0.4,0.5,0.2,0.4,0.5,0.9,0.7,0.1,0.1,0.5,0.4,0.9,1.9
2014/01/03,麥寮,AMB_TEMP,17,17,17,17,17,17,17,17,18,20,21,21,22,23,22,21,20,20,19,19,19,19,19,19
2014/01/03,麥寮,CH4,1.8,2.2,2.1,2.1,2.1,1.8,2.1,1.9,2,1.7,1.6,1.6,1.6,1.5,1.5,1.6,1.6,1.7,1.7,1.7,1.8,1.8,2,1.8
2014/01/03,麥寮,CO,0.34,0.37,0.49,0.55,0.63,0.57,0.66,0.89,0.71,0.48,0.48,0.43,0.28,0.25,0.24,0.3,0.31,0.37,0.33,0.31,0.32,0.34,0.4,0.31
2014/01/03,麥寮,NMHC,0.05,0.07,0.11,0.14,0.22,0.2,0.18,0.2,0.22,0.16,0.12,0.09,0.05,0.04,0.04,0.05,0.05,0.07,0.08,0.07,0.07,0.08,0.11,0.09
2014/01/03,麥寮,NO,1.5,1.6,1.6,2.1,2.1,1.9,5.1,11,9.5,6.2,4.5,3.6,2.3,2.2,2.2,2.2,1.6,2.7,2.2,1.9,1.2,2.1,2.2,1.5
2014/01/03,麥寮,NO2,11,11,14,17,25,22,20,21,20,15,15,14,6.4,6.5,6.2,8.4,11,15,11,9.4,9.2,12,15,8.9
2014/01/03,麥寮,NOx,12,12,16,19,27,24,25,32,29,21,20,17,8.7,8.7,8.3,11,13,17,13,11,10,14,17,10
2014/01/03,麥寮,O3,33,24,17,12,7.8,10,9.2,9.5,20,37,50,53,58,56,56,67,61,55,63,63,55,45,33,47
2014/01/03,麥寮,PM10,103,109,121,137,139,130,125,125,122,103,98,93,56,33,29,46,67,78,87,82,76,75,84,83
2014/01/03,麥寮,PM2.5,68,75,85,95,94,92,93,89,89,78,73,71,42,22,22,34,45,53,62,63,61,59,63,63
2014/01/03,麥寮,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2014/01/03,麥寮,RH,94,95,96,96,95,95,96,96,91,82,78,72,57,60,61,74,82,85,86,83,81,81,82,83
2014/01/03,麥寮,SO2,2.2,2.8,3.6,5.5,5.3,4.1,4.2,4.4,6.7,6.1,5.4,5.7,2.9,2.3,1.8,2.4,3.2,4,3.2,2.8,2.5,2.8,3.5,2.7
2014/01/03,麥寮,THC,1.9,2.3,2.2,2.3,2.3,2,2.2,2.1,2.2,1.8,1.7,1.7,1.6,1.6,1.6,1.6,1.6,1.7,1.8,1.8,1.8,1.9,2.1,1.9
2014/01/03,麥寮,WD_HR,41,32,35,35,39,34,37,42,38,47,29,285,15,347,290,276,16,70,71,46,38,36,50,73
