日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015/01/01,三義,AMB_TEMP,10,11,11,10,10,9.9,10,10,11,13,14,15,15,15,14,13,12,10,9,8.5,8.1,7.8,7.8,7.9
2015/01/01,三義,CO,0.33,0.26,0.37,0.47,0.56,0.57,0.52,0.49,0.45,0.43,0.43,0.45,0.45,0.43,0.4,0.37,0.36,0.35,0.31,0.3,0.31,0.29,0.26,0.24
2015/01/01,三義,NO,0.9,0.7,0.6,0.4,0.6,0.4,0.6,0.9,1.2,1.5,1.6,1.6,1.6,1.3,1.4,1.2,1,0.7,0.9,0.8,0.6,0.4,0.6,0.7
2015/01/01,三義,NO2,10,5.4,4,6,5.8,5.6,5.1,5.2,5.8,6.2,6.7,7,7.5,7.4,7.4,7.9,9.4,11,9.2,5.4,5.5,5.3,4.4,3.8
2015/01/01,三義,NOx,11,6.1,4.6,6.4,6.4,6,5.7,6.1,7,7.7,8.4,8.6,9.1,8.6,8.8,9.1,10,12,10,6.2,6.1,5.8,4.9,4.5
2015/01/01,三義,O3,31,44,42,38,36,38,40,38,39,43,47,49,52,54,53,51,44,38,38,39,37,36,37,37
2015/01/01,三義,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/01,三義,PM10,54,54,61,83,97,108,106,95,86,81,83,89,93,89,86,78,70,62,53,45,45,43,39,34
2015/01/01,三義,PM2.5,33,33,30,43,48,57,57,46,41,43,40,36,38,37,34,29,26,24,22,16,12,18,16,5
2015/01/01,三義,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/01,三義,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/01,三義,RH,88,81,85,86,87,86,83,83,77,68,59,56,53,53,54,56,61,67,71,72,75,76,74,73
2015/01/01,三義,SO2,2.3,1.8,3.1,3.8,4,3.9,3.7,3.3,3.3,3.6,4,4.2,4,3.7,3.1,2.8,2.5,2.2,1.7,1.5,1.6,1.4,1.3,1.2
2015/01/01,三義,WD_HR,30,35,38,34,35,36,34,34,38,46,50,54,49,48,51,50,41,39,37,31,32,31,34,34
2015/01/01,三義,WIND_DIREC,27,39,36,36,37,36,29,36,44,48,49,51,43,57,47,50,35,35,41,30,32,27,37,35
2015/01/01,三義,WIND_SPEED,2.7,3,3.5,3.8,3.7,3.6,3.5,2.7,2.9,2.2,0.6,2,1.7,1.6,1.5,2.1,3.5,1.8,2.2,3.9,3.5,3.5,1.7,2.3
2015/01/01,三義,WS_HR,2.4,2.2,3.4,3.6,3.8,3.6,3.4,2.9,2.4,1.9,0.9,1.3,1.5,1.9,1.1,1.5,2.3,2.2,2.3,2,3.5,3.3,2.7,2.1
2015/01/02,三義,AMB_TEMP,7.8,7.9,8.1,7.8,7.5,7.5,7.6,7.9,9.2,11,13,15,16,16,16,16,15,14,12,12,11,9.9,9.2,8.4
2015/01/02,三義,CO,0.22,0.2,0.19,0.19,0.17,0.18,0.19,0.2,0.22,0.25,0.25,0.26,0.27,0.28,0.26,0.28,0.3,0.31,0.32,0.35,0.4,0.39,0.47,0.32
2015/01/02,三義,NO,0.4,0.4,0.5,1,1,1,1,1,1.5,2.1,2.6,2.4,2.3,2,1.8,1.6,1.6,1.2,1.1,1,1.3,1.7,5.1,1.8
