日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015/01/01,二林,AMB_TEMP,13,14,14,14,14,14,14,14,16,17,19,20,19,19,18,17,16,14,14,13,13,12,12,12
2015/01/01,二林,CO,0.37,0.31,0.34,0.51,0.59,0.62,0.58,0.53,0.48,0.46,0.45,0.45,0.59,0.57,0.55,0.54,0.6,0.43,0.33,0.31,0.3,0.28,0.25,0.23
2015/01/01,二林,NO,1.8,1.8,1.3,0.7,0.4,0.6,0.6,0.8,1.1,1.6,1.5,1.1,2.1,2.3,2.7,3.8,1.5,0.9,0.7,0.9,0.7,0.6,0.6,0.5
2015/01/01,二林,NO2,15,12,10,9.6,9.2,9.5,8.8,8.9,9.2,9.1,9.9,9.2,16,15,19,20,12,13,11,9.8,9.2,7.5,6.8,7
2015/01/01,二林,NOx,17,14,11,10,9.6,10,9.4,9.7,10,11,11,10,18,17,21,24,14,14,12,11,10,8.1,7.4,7.6
2015/01/01,二林,O3,21,31,39,34,32,33,35,34,36,42,49,54,50,50,46,43,45,40,36,34,33,34,34,32
2015/01/01,二林,PM10,35,33,43,66,95,127,132,121,103,93,98,96,115,132,149,151,135,115,83,65,47,39,37,40
2015/01/01,二林,PM2.5,29,30,41,46,69,78,78,76,66,61,60,60,65,55,56,51,50,46,40,36,33,32,27,22
2015/01/01,二林,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/01,二林,RH,83,77,74,78,78,75,72,70,65,55,48,41,46,47,50,53,55,56,57,58,61,62,61,62
2015/01/01,二林,SO2,2.7,3.1,3.5,3.9,3.6,4.7,4.4,4.4,4,3.9,4.3,4.3,7.5,7.4,9.3,8.4,4.3,3.1,2,2,2.1,1.7,1.7,1.9
2015/01/01,二林,WD_HR,51,39,38,36,37,46,41,39,39,40,43,48,84,67,76,77,49,47,41,39,40,39,37,37
2015/01/01,二林,WIND_DIREC,36,36,36,36,37,38,38,39,40,45,38,70,62,99,80,40,47,47,44,44,38,36,36,36
2015/01/01,二林,WIND_SPEED,2.2,4,3.5,3.5,3.8,4.1,4.4,4.9,6,5,6,5.5,6.8,6.5,6.9,7,5.9,5.6,4.8,5,4.8,4.9,4.7,4.3
2015/01/01,二林,WS_HR,1.1,2.9,3.6,3.1,3.1,2.5,4.4,3.8,5,5.2,4.6,3.9,2.2,2.8,2.9,2.8,4.8,4.7,4.5,4.9,4.2,4.2,4.8,4.1
2015/01/02,二林,AMB_TEMP,12,12,12,12,12,12,12,12,14,15,17,18,19,20,20,19,18,17,16,16,15,14,13,13
2015/01/02,二林,CO,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.25,0.26,0.3,0.28,0.33,0.47,0.47,0.49,0.42,0.39,0.47,0.51,0.71,0.32,0.3,0.43,0.59
2015/01/02,二林,NO,0.8,0.6,0.7,0.8,0.8,0.9,1,1.1,2.1,2.9,3,3.2,3.7,3,2.4,2,1.4,1,1.2,0.8,0.9,1,1.2,1.7
2015/01/02,二林,NO2,7,6.7,6.7,7.9,8,7.9,9.4,9.7,11,12,12,14,18,17,16,16,15,18,21,21,17,20,23,27
2015/01/02,二林,NOx,7.8,7.3,7.4,8.7,8.8,8.9,10,11,13,14,15,17,22,20,18,18,16,19,23,22,18,21,24,29
2015/01/02,二林,O3,31,31,29,29,30,29,28,28,29,32,36,39,42,48,51,45,42,32,26,22,22,17,11,7.2
2015/01/02,二林,PM10,43,42,35,31,36,39,38,32,35,47,58,67,76,88,104,99,95,79,81,70,71,60,57,51
2015/01/02,二林,PM2.5,18,14,14,17,22,23,21,23,22,32,35,39,43,46,57,52,47,38,27,33,30,40,36,32
2015/01/02,二林,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/02,二林,RH,63,65,66,67,67,69,70,70,65,59,52,48,47,47,50,57,63,69,69,65,66,70,74,77
