日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015/01/01,南投,AMB_TEMP,14,13,13,12,12,12,11,12,13,15,17,19,21,22,21,20,18,16,15,14,13,12,12,11
2015/01/01,南投,CH4,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.9
2015/01/01,南投,CO,0.59,0.55,0.66,0.49,0.45,0.46,0.63,0.77,0.81,0.72,0.69,0.63,0.6,0.54,0.54,0.56,0.57,0.6,0.58,0.56,0.52,0.49,0.46,0.45
2015/01/01,南投,NMHC,0.21,0.16,0.21,0.16,0.13,0.14,0.2,0.25,0.25,0.21,0.2,0.17,0.16,0.13,0.12,0.13,0.16,0.18,0.18,0.17,0.15,0.12,0.1,0.09
2015/01/01,南投,NO,4.5,5.3,14,3.1,2.3,2.4,18,20,29,13,7.3,4,2.8,1.8,2.1,2,1.8,1.5,1.7,2,1.9,1.9,2,1.2
2015/01/01,南投,NO2,21,16,18,16,12,12,12,13,18,23,20,18,17,14,14,16,19,23,22,25,23,25,25,22
2015/01/01,南投,NOx,25,21,32,19,14,15,30,33,46,37,27,22,19,15,16,18,21,24,24,26,25,27,27,23
2015/01/01,南投,O3,4.5,4.1,1.4,3.3,5.8,2.9,1.4,2.6,5,16,29,42,58,64,60,51,41,32,25,20,19,13,13,12
2015/01/01,南投,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/01,南投,PM10,76,70,67,65,54,54,56,59,66,76,88,94,95,105,112,117,120,112,104,92,77,71,66,60
2015/01/01,南投,PM2.5,48,44,39,37,34,30,29,32,37,43,45,49,52,50,45,45,45,41,36,30,24,19,18,20
2015/01/01,南投,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/01,南投,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/01,南投,RH,85,87,88,88,88,89,89,88,86,73,63,55,49,42,40,41,46,50,55,58,61,64,67,69
2015/01/01,南投,SO2,1.8,0.9,1.1,0.8,0.6,0.5,0.7,1,1.9,2.6,2.5,2.7,2.7,3.1,3.1,2.8,2.5,2.5,2.2,2,1.8,1.5,1.6,1.3
2015/01/01,南投,THC,2.1,2.1,2.1,2,2,2,2.1,2.2,2.2,2.1,2.1,2,2,1.9,1.9,1.9,2,2,2,2,2,1.9,1.9,2
2015/01/01,南投,UVB,0,0,0,0,0,0,0,0.2,1,2.3,3.6,4.4,4.3,3.6,2.3,1,0.2,0,0,0,0,0,0,0
2015/01/01,南投,WD_HR,183,29,145,172,46,134,117,137,40,46,360,341,353,301,302,302,307,307,308,24,341,33,38,33
2015/01/01,南投,WIND_DIREC,43,35,161,92,51,147,171,34,15,40,317,30,323,328,307,300,299,309,30,16,5.4,46,40,36
2015/01/01,南投,WIND_SPEED,0.6,0.8,1.7,0.7,0.6,0.8,1.4,1.1,1,1.6,1.8,2.1,2.5,2.1,4,3.8,2.6,2.5,1.2,1.4,1.3,1.3,1.3,1.1
2015/01/01,南投,WS_HR,0.9,0.8,0.8,1.1,0.6,0.8,0.3,0.5,0.4,0.7,0.6,0.9,0.8,0.8,2.5,2.2,2.4,2.1,1.1,0.3,0.4,1.1,0.9,0.9
2015/01/02,南投,AMB_TEMP,11,11,11,11,11,10,10,10,11,13,16,18,19,20,20,20,20,18,18,17,16,15,14,13
2015/01/02,南投,CH4,1.9,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.9
