日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015/01/01,土城,AMB_TEMP,17,17,16,16,16,15,15,15,15,15,16,16,16,16,15,15,14,14,14,14,14,14,14,14
2015/01/01,土城,CH4,2,2,2,2,2,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
2015/01/01,土城,CO,0.83,0.82,0.75,0.68,0.56,0.51,0.55,0.62,0.62,0.57,0.54,0.51,0.45,0.41,0.39,0.4,0.42,0.45,0.44,0.36,0.31,0.3,0.27,0.24
2015/01/01,土城,NMHC,0.16,0.16,0.14,0.13,0.12,0.12,0.13,0.15,0.14,0.12,0.12,0.12,0.1,0.09,0.1,0.1,0.11,0.12,0.12,0.09,0.06,0.06,0.06,0.05
2015/01/01,土城,NO,-0.5*,-0.6*,-0.6*,1.1,1.2,0.9,1,1.8,2.3,2.5,2.8,2.9#,2.2,1.9,1.9,1.6,1.5,1.2,1.1,1,1,0.9,1.1,0.9
2015/01/01,土城,NO2,18*,17*,16*,12,11,9.8,12,19,16,12,11,11#,8.6,8.3,9.1,11,12,13,14,11,9,9.1,8.7,7.4
2015/01/01,土城,NOx,18*,17*,16*,13,12,11,13,21,18,15,14,13#,11,10,11,12,14,14,15,12,10,10,9.8,8.3
2015/01/01,土城,O3,38,38,38,39,38,38,34,27,29,33,38,42,45,47,43,39,36,34,33,36,37,35,34,36
2015/01/01,土城,PM10,156,182,171,154,136,117,103,101,106,109,106,97,89,82,76,71,62,55,55,48,42,45,44,40
2015/01/01,土城,PM2.5,75,85,79,72,63,53,49,51,53,52,48,43,39,35,32,29,26,26,26,25,21,17,18,20
2015/01/01,土城,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/01,土城,RH,59,59,60,60,61,60,59,60,56,52,48,46,45,45,47,50,50,51,52,52,53,54,56,56
2015/01/01,土城,SO2,9.8,8.8,8.1,7.7,6.5,5.1,5.7,7.4,6.9,5.9,5.3,4.4,3.3,2.9,2.6,3,3.8,3.7,3,2,2,1.7,1.7,1.5
2015/01/01,土城,THC,2.2,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2,2,2,2,2,2,2,2,2,2,2,1.9,1.9,1.9,1.9
2015/01/01,土城,WD_HR,212,262,228,249,244,245,210,217,219,196,224,175,225,188,221,213,186,225,236,162,165,145,149,151
2015/01/01,土城,WIND_DIREC,233,280,166,234,239,185,179,150,228,191,228,86,253,221,253,220,225,171,186,145,153,131,147,155
2015/01/01,土城,WIND_SPEED,1.9,1.7,1.4,1.7,1.5,1.5,1.1,1.7,1.4,2.6,2.1,2.3,2.4,2.7,2.4,2.3,2.2,2.3,1.8,1.8,1.4,1.8,1.6,1.6
