日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015/01/01,宜蘭,AMB_TEMP,17,16,16,14,15,15,15,14,15,16,16,16,16,16,15,14,14,14,13,13,13,13,13,13
2015/01/01,宜蘭,CO,0.83,0.79,0.73,0.68,0.53,0.46,0.44,0.5,0.51,0.5,0.52,0.49,0.44,0.37,0.34,0.32,0.32,0.35,0.35,0.32,0.28,0.29,0.28,0.21
2015/01/01,宜蘭,NO,0.9,0.9,0.7,1.3,1.2,1,1,1.3,1.8,2.1,2.3,2.4,2.3,2.2,2,1.6,1.4,1.4,1.3,1.3,1.3,1.2,1.2,1.3
2015/01/01,宜蘭,NO2,15,12,9.5,7.8,7.5,6.8,6.9,9.7,10,8.2,8.5,8.2,7.5,7.5,7,7.3,7.9,8.4,10,9.4,6.7,8.2,8.3,5.1
2015/01/01,宜蘭,NOx,16,13,10,9.1,8.7,7.8,7.9,11,12,10,11,11,9.7,9.7,9,8.9,9.3,9.8,11,11,7.9,9.4,9.5,6.4
2015/01/01,宜蘭,O3,40,42,43,34,41,42,41,36,37,39,38,43,45,46,47,44,42,39,38,39,40,35,33,36
2015/01/01,宜蘭,PM10,166,191,180,154,133,125,108,100,103,103,104,101,93,82,78,76,66,60,57,50,49,51,51,46
2015/01/01,宜蘭,PM2.5,85,90,75,68,58,48,42,40,42,40,39,38,36,31,25,20,12,17,25,19,9,15,17,11
2015/01/01,宜蘭,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/01,宜蘭,RH,59,59,59,67,60,60,58,59,54,49,47,43,42,44,44,47,47,48,50,47,48,53,55,55
2015/01/01,宜蘭,SO2,10,8.5,7.1,4.7,5.2,4.8,4.8,5,5.8,5.7,5.1,4.4,3.5,2.8,2.3,2.4,2.1,2.2,2.5,2.1,2.1,2,6.4,4.7
2015/01/01,宜蘭,WD_HR,57,68,63,6,62,61,63,68,64,68,70,68,72,67,70,65,69,66,65,61,327,310,295,220
2015/01/01,宜蘭,WIND_DIREC,57,79,66,322,76,69,53,82,62,65,68,69,74,71,69,65,89,76,64,42,316,297,288,258
2015/01/01,宜蘭,WIND_SPEED,2.2,1.9,1.3,0.7,1.3,2.1,1.9,1.7,2.5,2.7,3.1,3.5,3,2.9,3.7,3.2,2.2,2.3,3,1.3,1.6,1.3,1.8,1.1
2015/01/01,宜蘭,WS_HR,0.8,1.4,1.4,0.4,0.7,0.6,1.3,0.8,1.5,1.5,2.4,2.5,2.1,2.9,3.2,2.9,1.3,1.5,1.5,1.6,1.1,0.9,1.9,0.8
2015/01/02,宜蘭,AMB_TEMP,13,13,13,13,13,13,13,13,13,14,15,15,16,17,16,16,16,16,15,15,15,15,14,14
2015/01/02,宜蘭,CO,0.2,0.18,0.18,0.16,0.2,0.2,0.24,0.29,0.35,0.3,0.29,0.27,0.26,0.27,0.28,0.3,0.31,0.35,0.39,0.28,0.29,0.38,0.31,0.23
2015/01/02,宜蘭,NO,1.1,1.1,1.1,0.7,0.5,0.6,0.5,0.6,1.1,1.7,1.2,0.9,1.1,1.3,1.1,1,0.9,1.1,0.8,0.5,0.9,0.8,0.7,0.6
2015/01/02,宜蘭,NO2,3.9,4.2,3.9,2.9,3.7,4,5,7.2,11,9.1,6.3,5.4,5.7,6,6.8,8.1,9.6,11,14,9.4,9.3,13,9.7,7
2015/01/02,宜蘭,NOx,5,5.3,5,3.5,4.2,4.5,5.5,7.8,12,11,7.5,6.3,6.7,7.3,7.8,9,10,12,14,9.9,10,14,10,7.6
2015/01/02,宜蘭,O3,35,34,34,33,34,32,33,28,25,32,37,40,41,42,42,41,39,38,33,38,38,30,29,31
2015/01/02,宜蘭,PM10,44,43,38,34,34,35,40,39,43,50,57,57,54,53,43,42,43,44,50,49,40,38,40,38
2015/01/02,宜蘭,PM2.5,12,10,9,9,11,12,14,14,12,16,21,23,20,15,10,11,17,14,14,15,13,12,12,14
2015/01/02,宜蘭,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/02,宜蘭,RH,57,56,57,59,59,61,60,60,61,57,54,52,52,50,51,53,54,54,57,56,55,59,65,67
2015/01/02,宜蘭,SO2,3,4.4,4.5,4.9,5.8,7.6,5.3,3.7,3.8,4.4,2.3,1.7,1.5,1.4,1.3,1.3,1.4,1.4,1.5,1.4,1.7,5.3,1.6,2.3
2015/01/02,宜蘭,WD_HR,268,293,286,290,288,296,256,273,286,290,297,318,41,97,88,83,78,76,312,306,306,297,308,275
2015/01/02,宜蘭,WIND_DIREC,288,284,267,288,232,307,279,255,286,287,293,348,106,94,86,74,65,71,296,340,303,304,249,163
2015/01/02,宜蘭,WIND_SPEED,2.6,1.2,1.5,1.9,1,1.4,1.2,1,1.4,1.8,1.4,1.6,1.5,2.4,2.3,2.3,1.5,1.3,1.6,0.8,1.3,1.5,0.7,0.8
2015/01/02,宜蘭,WS_HR,0.9,1.5,1.4,1.2,0.7,0.8,0.5,0.9,0.6,1.8,1.2,0.9,0.5,1.2,1.9,1.7,1.5,1.2,0.9,0.8,0.6,1.1,1,0.6
2015/01/03,宜蘭,AMB_TEMP,14,13,13,13,13,13,13,13,15,17,18,19,19,19,19,19,19,18,17,17,16,16,15,14
2015/01/03,宜蘭,CO,0.25,0.23,0.19,0.19,0.16,0.16,0.26,0.25,0.25,0.28,0.22,0.23,0.24,0.23,0.2,0.23,0.33,0.39,0.43,0.43,0.33,0.66,0.56,0.42
2015/01/03,宜蘭,NO,0.5,0.6,0.6,0.9,0.7,0.7,0.9,1.3,2.2,2.5,1.6,1.5,1.3,1.1,1.3,1.5,1.9,1,1.1,1.2,1,3.2,2.6,1.5
2015/01/03,宜蘭,NO2,6.6,7.1,6.2,6,4.7,3.3,7.1,9.2,7.9,7.4,5,5.4,5.4,5.4,5.5,9.3,12,14,15,17,13,22,22,15
2015/01/03,宜蘭,NOx,7.1,7.8,6.7,6.9,5.4,4.1,8,10,10,9.9,6.6,6.8,6.6,6.5,6.7,11,14,15,16,18,14,25,25,16
