日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015/01/01,小港,AMB_TEMP,17,16,16,16,15,15,15,16,17,19,20,22,22,22,22,21,21,21,20,19,18,18,17,17
2015/01/01,小港,CH4,2.2,2.2,2,2,2,1.9,1.9,1.8,1.8,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.9,1.9,1.9
2015/01/01,小港,CO,0.94,0.9,0.64,0.49,0.49,0.43,0.5,0.57,0.67,0.88,0.84,0.73,0.49,0.43,0.45,0.47,0.52,0.52,0.73,0.83,0.86,0.96,1,0.78
2015/01/01,小港,NMHC,0.35,0.3,0.23,0.16,0.16,0.14,0.14,0.15,0.24,0.34,0.3,0.26,0.18,0.12,0.11,0.09,0.11,0.11,0.21,0.26,0.27,0.31,0.32,0.25
2015/01/01,小港,NO,3.3,4.7,1.3,2,1.9,2.5,3.7,6.9,7.8,11,6.4,4.5,4,2.5,2.6,2.7,2.6,2.7,2,2.7,3,3,2.9,2.7
2015/01/01,小港,NO2,35,34,22,14,15,14,23,29,29,38,29,30,23,16,18,20,23,26,29,44,46,48,41,34
2015/01/01,小港,NOx,39,38,23,16,17,16,27,36,37,48,35,34,27,18,20,22,25,29,31,46,49,50,44,36
2015/01/01,小港,O3,9.1,6.4,18,22,19,22,15,14,24,27,43,57,67,69,65,66,66,60,41,20,12,7.8,8.5,13
2015/01/01,小港,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/01,小港,PM10,148,141,114,90,61,61,59,62,57,81,100,77,76,114,106,104,105,108,140,179,221,220,213,188
2015/01/01,小港,PM2.5,74,73,65,49,41,41,40,36,37,51,52,38,51,70,57,58,60,59,57,64,65,65,66,64
2015/01/01,小港,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/01,小港,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/01,小港,RH,75,75,75,74,75,75,75,74,69,63,60,57,58,60,59,60,62,62,60,53,53,54,55,55
2015/01/01,小港,SO2,7.4,3.8,2.9,2.2,1.8,1.5,2.4,4.3,5.7,6.6,5.2,10,13,8.7,7.7,8.4,8.4,10,6.4,5.1,5,5,4.4,5.3
