日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015/01/01,平鎮,AMB_TEMP,15,15,14,14,14,13,13,13,14,14,15,15,15,15,14,14,13,12,12,11,11,11,11,11
2015/01/01,平鎮,CO,0.76,0.76,0.7,0.64,0.56,0.51,0.52,0.56,0.6,0.56,0.53,0.5,0.46,0.41,0.37,0.36,0.4,0.43,0.4,0.36,0.33,0.31,0.29,0.27
2015/01/01,平鎮,NO,0.7,0.7,0.7,0.9,0.8,0.9,1.1,1.3,1.9,2.4,2.6,2.5,2.4,2.1,1.9,1.6,1.1,1.1,1.2,1.1,1.1,0.9,1.1,0.8
2015/01/01,平鎮,NO2,17,16,14,14,13,12,13,15,15,13,13,12,11,10,9.7,9.8,12,14,15,14,12,13,13,13
2015/01/01,平鎮,NOx,17,17,15,15,13,13,14,16,17,16,15,15,14,12,12,11,13,16,16,15,13,14,14,13
2015/01/01,平鎮,O3,36,35,36,36,35,33,31,30,30,33,36,39,42,45,43,41,35,32,32,32,32,29,28,28
2015/01/01,平鎮,PM10,137,167,180,175,148,128,125,128,120,121,110,106,91,89,85,83,84,84,78,80,72,71,62,59
2015/01/01,平鎮,PM2.5,64,84,78,72,59,56,43,42,46,46,44,42,40,36,26,26,18,15,5,11,14,12,8,12
2015/01/01,平鎮,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/01,平鎮,RH,66,66,66,66,67,67,66,65,62,56,52,50,49,49,49,51,55,55,58,59,61,62,62,64
2015/01/01,平鎮,SO2,11,9#,8,7.1,5.9,5.7,6,6,6.5,6.3,5.7,5,4.4,3.7,3.1,2.8,3,3.1,2.7,3.3,3.4,3.1,3.2,2.9
2015/01/01,平鎮,WD_HR,57,56,56,55,55,49,51,57,58,60,64,68,65,62,77,73,70,64,57,68,68,66,61,61
2015/01/01,平鎮,WIND_DIREC,59,56,57,59,58,55,53,63,53,59,58,61,73,77,57,66,55,58,56,81,52,66,64,59
