日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015/01/01,彰化,AMB_TEMP,14,14,14,13,13,13,13,13,14,16,18,19,19,19,18,17,16,14,13,12,12,11,11,11
2015/01/01,彰化,CH4,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
2015/01/01,彰化,CO,0.77,0.6,0.44,0.39,0.53,0.68,0.69,0.78,0.74,0.6,0.56,0.53,0.54,0.54,0.51,0.49,0.52,0.52,0.51,0.45,0.48,0.45,0.39,0.33
2015/01/01,彰化,NMHC,0.38,0.25,0.2,0.13,0.15,0.19,0.17,0.19,0.21,0.16,0.18,0.16,0.13,0.13,0.12,0.13,0.14,0.14,0.14,0.12,0.12,0.11,0.1,0.1
2015/01/01,彰化,NO,7.4,4.9,2.7,0.8,0.9,0.8,0.8,2,4.2,3.5,2.7,2.3,2.3,2.2,1.8,1.9,1.6,1.1,1.3,1.3,1.3,1.4,1.3,0.9
2015/01/01,彰化,NO2,36,29,21,13,16,15,16,19,20,13,11,10,10,11,12,13,14,15,16,15,16,15,14,11
2015/01/01,彰化,NOx,44,34,23,14,17,15,17,21,24,16,14,13,13,13,13,15,15,17,18,16,18,17,15,12
2015/01/01,彰化,O3,3.3,11,23,30,24,26,27,25,25,36,43,50,53,55,54,48,45,35,30,29,26,25,27,28
2015/01/01,彰化,PM10,49,60,60,57,60,80,94,103,91,90,80,74,71,80,93,97,93,86,73,59,50,48,46,40
2015/01/01,彰化,PM2.5,36,39,36,33,36,45,62,70,63,56,47,46,31,32,47,42,37,34,31,27,18,17,23,23
2015/01/01,彰化,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/01,彰化,RH,70,68,67,67,69,68,66,64,60,54,48,41,40,39,40,45,45,49,52,53,55,56,55,54
2015/01/01,彰化,SO2,5.4,3.4,3.4,4.2,4.4,4.6,6.3,4.3,5,4.2,4.4,4.4,4.4,4.3,4,3.6,3.2,2.6,2.4,2.3,2.1,1.9,1.8,1.9
2015/01/01,彰化,THC,2.3,2.2,2.1,2,2.1,2.1,2.1,2.1,2.1,2,2,2,1.9,2,1.9,1.9,2,2,2,1.9,1.9,1.9,1.9,1.9
2015/01/01,彰化,UVB,0,0,0,0,0,0,0,0.3,1.1,2.7,4.3,5.1,5.1,4.2,2.6,1.2,0.3,0,0,0,0,0,0,0
2015/01/01,彰化,WD_HR,37,40,38,38,28,41,44,47,46,39,48,47,35,57,53,48,54,48,63,52,48,45,38,42
2015/01/01,彰化,WIND_DIREC,38,42,29,39,28,40,43,39,66,65,57,43,58,54,360,53,57,51,64,53,40,46,38,45
2015/01/01,彰化,WIND_SPEED,1.1,1.2,1,1.3,1.6,1.6,1.4,1.7,0.8,2.9,1.6,3.8,4.3,3.7,4.2,3.9,3.8,3.5,3,2.5,2.1,2.3,1.9,1.5
2015/01/01,彰化,WS_HR,0.8,0.8,0.7,1.1,0.7,0.7,1.2,0.9,0.9,1.1,1.2,1.4,1.2,1.3,1.1,1.3,2.4,2.5,1.1,1.6,1.3,1.2,1.6,1.1
2015/01/02,彰化,AMB_TEMP,11,11,11,11,11,11,11,11,12,13,15,17,18,18,19,19,17,16,16,15,14,14,13,13
2015/01/02,彰化,CH4,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.9,2
2015/01/02,彰化,CO,0.28,0.23,0.21,0.2,0.21,0.23,0.29,0.48,0.51,0.47,0.42,0.42,0.43,0.4,0.41,0.4,0.4,0.52,0.63,0.63,0.7,0.75,0.68,0.8
2015/01/02,彰化,NMHC,0.12,0.09,0.06,0.06,0.07,0.08,0.11,0.17,0.18,0.19,0.16,0.16,0.15,0.14,0.15,0.16,0.15,0.2,0.25,0.25,0.28,0.31,0.29,0.37
2015/01/02,彰化,NO,1,0.8,0.6,0.2,0.4,0.7,0.7,3.2,4.7,7.1,6.1,4.2,3.1,2,2,1.5,1.2,1.1,1.4,2,5.5,9.6,11,19
2015/01/02,彰化,NO2,15,8.2,6.3,5.5,6.1,8.6,13,18,18,20,16,15,15,14,14,14,14,20,26,29,33,35,33,31
2015/01/02,彰化,NOx,16,9.1,6.9,5.7,6.5,9.3,14,22,22,27,22,19,18,16,16,16,15,21,27,31,38,44,44,50
2015/01/02,彰化,O3,24,30,31,31,30,27,22,18,20,22,28,34,41,47,48,45,38,27,17,12,6,2.3,1.6,1.4
2015/01/02,彰化,PM10,36,30,31,22,26,28,38,36,38,41,41,51,53,70,76,82,83,81,79,73,63,55,43,46
2015/01/02,彰化,PM2.5,15,8,9,10,8,10,15,19,18,20,26,31,35,33,38,37,39,33,31,27,26,30,34,37
2015/01/02,彰化,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/02,彰化,RH,55,57,59,59,59,60,60,60,60,56,52,48,47,48,50,52,58,61,60,59,60,62,64,66
2015/01/02,彰化,SO2,2.6,2,1.9,1.6,1.9,1.7,3.6,4,2.5,3.5,3.3,3.1,3.5,3.8,3.1,3,2.7,2.9,3,3.5,3.1,3.4,4.1,3.4
2015/01/02,彰化,THC,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2,2,2,2,2,2,2,2,2,2,2,2.1,2.1,2.1,2.2,2.2,2.4
2015/01/02,彰化,UVB,0,0,0,0,0,0,0,0.3,1,2.3,3.7,4.5,3.8,3.2,2.4,1.1,0.3,0,0,0,0,0,0,0
2015/01/02,彰化,WD_HR,43,41,40,42,40,40,48,39,31,350,6.9,324,316,315,321,319,317,14,29,29,42,16,2.5,19
2015/01/02,彰化,WIND_DIREC,53,49,60,41,31,35,46,28,33,4.9,340,315,317,310,314,308,307,349,18,37,43,324,22,20
2015/01/02,彰化,WIND_SPEED,1.4,2.3,1.2,1.4,1.1,1.6,0.9,1.1,1.4,1.4,1.6,2.1,2,2.1,2.1,2.9,2.5,1.6,1.4,1.6,1.3,0.8,0.5,0.7
2015/01/02,彰化,WS_HR,1.1,1,0.8,1,0.7,0.7,1,0.8,0.9,0.5,0.9,1.1,1.2,1.2,1.2,1.6,1.3,0.6,0.6,0.8,0.9,0.5,0.4,0.4
2015/01/03,彰化,AMB_TEMP,13,12,12,12,12,12,13,13,14,15,17,19,20,20,20,19,19,18,17,17,16,15,15,14
2015/01/03,彰化,CH4,2,1.9,1.9,1.9,1.9,2,2,2,2,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.9,2,2.1,2.1,2.1
2015/01/03,彰化,CO,0.62,0.44,0.43,0.35,0.35,0.42,0.67,1.02,1.01,0.65,0.5,0.57,0.55,0.61,0.43,0.42,0.59,0.59,0.69,1.05,1.34,1.51,1.35,1.07
2015/01/03,彰化,NMHC,0.3,0.2,0.19,0.16,0.19,0.24,0.34,0.48,0.46,0.27,0.17,0.15,0.14,0.12,0.1,0.14,0.2,0.22,0.25,0.43,0.56,0.66,0.6,0.55
2015/01/03,彰化,NO,14,1.8,1.4,1.5,1.5,2.5,8.4,14,19,16,5.7,5.9,4.4,4,1.9,1.5,1.5,1.5,1.4,3.2,13,21,22,12
2015/01/03,彰化,NO2,30,25,25,21,22,23,24,25,25,22,15,22,21,19,11,13,24,26,25,42,46,40,37,33
2015/01/03,彰化,NOx,44,27,27,23,24,26,32,39,45,38,21,28,25,23,13,14,26,28,26,45,59,60,59,45
2015/01/03,彰化,O3,1.3,4.7,3.7,7.3,5.2,2.8,1.7,4.2,6,14,28,36,43,46,56,53,41,37,32,11,2.2,2.2,1.6,2.2
2015/01/03,彰化,PM10,52,57,55,49,44,44,41,63,67,70,55,53,54,66,70,77,78,78,67,70,74,78,67,64
2015/01/03,彰化,PM2.5,34,24,24,20,23,23,24,33,42,45,40,38,41,49,50,46,47,42,43,37,41,50,48,52
2015/01/03,彰化,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/03,彰化,RH,67,68,70,69,70,72,73,72,71,67,60,53,50,51,52,52,56,60,66,66,68,72,73,74
2015/01/03,彰化,SO2,4.7,3.4,3.7,4.5,4.3,3.7,2.8,2.8,3.5,6.7,4.4,10,9.7,9.1,4.3,4.1,8.8,4.6,3.5,4.4,3.9,3.6,3.1,3
2015/01/03,彰化,THC,2.3,2.1,2.1,2.1,2.1,2.2,2.4,2.5,2.5,2.2,2,2,2,1.9,1.9,1.9,2,2.1,2.1,2.3,2.6,2.8,2.7,2.7
2015/01/03,彰化,UVB,0,0,0,0,0,0,0,0.3,0.9,2.3,3.8,4.5,4.7,3.4,2.1,0.9,0.3,0,0,0,0,0,0,0
2015/01/03,彰化,WD_HR,356,23,32,358,26,24,31,32,7.4,348,341,303,289,299,305,301,322,333,24,22,31,77,64,71
2015/01/03,彰化,WIND_DIREC,11,33,30,2.3,36,38,19,24,333,323,21,247,291,288,324,315,317,345,35,19,89,73,66,114
2015/01/03,彰化,WIND_SPEED,1.2,1.4,0.8,0.6,0.7,0.8,0.5,0.5,1.7,2,0.9,0.9,1.2,1.9,1.5,1.5,1.2,1.3,0.9,0.6,0.5,0.5,0.5,0.5
2015/01/03,彰化,WS_HR,0.5,0.5,0.6,0.3,0.5,0.4,0.3,0.4,0.5,0.7,0.5,0.4,0.8,1.3,1.1,1,1.1,0.6,0.7,0.5,0.2,0.4,0.3,0.3
2015/01/04,彰化,AMB_TEMP,14,14,13,14,14,14,13,13,15,17,19,21,22,22,22,22,21,20,19,18,18,17,17,16
2015/01/04,彰化,CH4,2.2,2.2,2.1,2,2.1,2.2,2.1,2.1,2,2,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.9,2,2,2,2.1
2015/01/04,彰化,CO,0.92,0.93,0.81,0.61,0.96,0.96,0.91,1.24,0.86,0.94,0.75,0.53,0.49,0.43,0.62,0.74,0.92,0.85,1.19,1.06,1.11,1.15,1.11,1.15
2015/01/04,彰化,NMHC,0.51,0.48,0.36,0.24,0.38,0.44,0.38,0.49,0.33,0.33,0.25,0.15,0.12,0.08,0.09,0.1,0.14,0.25,0.41,0.43,0.44,0.46,0.42,0.49
2015/01/04,彰化,NO,7.1,11,6.6,1.2,8.5,8.5,5.4,19,7.3,6,5.7,2.6,3.9,2.6,2.8,3.3,2.6,1.6,3.6,4.5,5.2,15,8.1,12
2015/01/04,彰化,NO2,30,32,29,18,28,31,28,22,16,19,20,16,15,12,16,17,23,25,38,35,37,44,39,33
2015/01/04,彰化,NOx,37,43,35,19,36,39,34,41,23,25,25,18,19,15,19,20,25,26,42,39,42,59,47,45
2015/01/04,彰化,O3,2,1.4,1.7,9.5,4.6,1.9,4,3.5,15,25,38,52,48,50,46,43,36,34,16,12,7.1,2.5,3.3,1.9
2015/01/04,彰化,PM10,65,68,70,78,81,76,78,71,68,66,64,67,69,67,71,73,81,86,99,105,98,85,94,100
2015/01/04,彰化,PM2.5,49,56,53,62,62,64,60,53,56,58,61,53,46,39,42,41,49,54,68,72,71,59,67,71
2015/01/04,彰化,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/04,彰化,RH,75,76,77,76,76,75,76,77,73,65,58,53,56,53,55,56,59,63,68,66,63,65,69,73
2015/01/04,彰化,SO2,3.3,3,2.8,3,2.8,3,2.8,3,2.9,4.8,4.4,5.5,8,7.8,10,9.6,11,6.3,3.8,3.7,3.3,3.7,4.1,3.4
2015/01/04,彰化,THC,2.7,2.7,2.5,2.2,2.4,2.6,2.5,2.6,2.3,2.3,2.1,2,1.9,1.9,1.9,1.9,1.9,2.1,2.3,2.4,2.4,2.5,2.4,2.6
2015/01/04,彰化,UVB,0,0,0,0,0,0,0,0.3,1.3,2.8,4.5,5.4,5.5,4.8,3,1.4,0.4,0,0,0,0,0,0,0
2015/01/04,彰化,WD_HR,162,44,37,34,31,35,23,24,31,343,25,324,308,306,316,304,322,2.8,32,34,39,33,38,41
2015/01/04,彰化,WIND_DIREC,22,24,27,41,42,267,21,34,23,24,15,318,319,314,332,327,320,29,32,32,32,38,50,30
