日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015/01/01,忠明,AMB_TEMP,15,15,15,14,14,14,13,13,14,16,18,19,19,19,18,17,16,14,13,13,12,12,12,12
2015/01/01,忠明,CH4,1.8,1.7,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.7,1.7,1.8,1.7,1.7,1.7,1.7,1.7
2015/01/01,忠明,CO,1.02,0.44,0.35,0.32,0.53,0.59,0.63,0.64,0.64,0.54,0.49,0.48,0.5,0.49,0.46,0.45,0.44,0.46,0.49,0.44,0.42,0.41,0.4,0.31
2015/01/01,忠明,NMHC,0.36,0.14,0.08,0.09,0.08,0.09,0.1,0.11,0.12,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.1,0.11,0.12,0.1,0.1,0.09,0.08,0.06
2015/01/01,忠明,NO,19,1.3,1.3,0.1,0.2,0.2,0.2,0.9,3.1,3.7,2.9,2.9,2.3,2.1,2,1.7,1.3,1,0.7,0.6,0.5,0.5,0.5,0.4
2015/01/01,忠明,NO2,39,21,16,14,14,14,14,16,19,15,14,14,13,14,14,15,16,19,22,20,20,19,17,12
2015/01/01,忠明,NOx,58,22,17,14,14,15,14,17,22,19,17,17,15,16,16,17,17,20,23,20,21,20,17,13
2015/01/01,忠明,O3,2.9,22,31,28,29,28,30,27,26,33,39,45,50,51,51,47,41,33,26,26,24,24,24,29
2015/01/01,忠明,PM10,85,75,62,45,53,88,111,121,108,97,89,89,89,93,93,88,87,77,72,63,56,49,46,40
2015/01/01,忠明,PM2.5,44,37,38,22,29,43,61,65,62,57,46,42,44,43,44,37,39,28,29,22,24,21,27,26
2015/01/01,忠明,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/01,忠明,RH,65,62,61,61,62,63,62,61,58,51,45,39,37,36,37,39,42,46,49,50,52,53,53,52
2015/01/01,忠明,SO2,4,3.2,3.8,3.3,5.1,5.8,5.2,5.3,4.7,4.9,5.2,4.6,4.5,4.3,4,3.6,3.3,2.9,3.7,2.9,3.2,3.3,3.3,2.6
2015/01/01,忠明,THC,2.2,1.9,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.9,1.9,1.8,1.8,1.8,1.8,1.8
2015/01/01,忠明,WD_HR,347,46,43,47,47,48,41,41,41,27,28,336,353,327,339,324,356,19,49,41,48,44,45,53
2015/01/01,忠明,WIND_DIREC,42,47,43,51,47,50,353,41,48,42,328,309,7.4,312,43,340,318,46,333,39,56,32,54,51
2015/01/01,忠明,WIND_SPEED,0.9,1.9,1.9,2.3,2.2,1.9,1.3,3.1,2.2,2.6,2.2,1.9,2.4,3.4,2.3,2.4,3.5,2.4,1.7,2.7,2.9,2.4,2.7,2.2
2015/01/01,忠明,WS_HR,0.5,1.4,1.4,1.5,1.2,1.5,1.8,1.5,1.7,0.8,1.3,1,1,1.5,1.5,1.1,1,1,0.8,1.9,1.9,1.9,1.9,1.5
2015/01/02,忠明,AMB_TEMP,12,12,12,12,12,12,12,12,13,14,15,17,18,19,19,20,18,17,16,16,15,15,14,14
2015/01/02,忠明,CH4,1.7,1.7,1.7,1.7,1.7,1.8,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.8,1.8,1.9
2015/01/02,忠明,CO,0.28,0.24,0.21,0.2,0.22,0.22,0.26,0.33,0.42,0.43,0.41,0.41,0.38,0.4,0.42,0.45,0.47,0.54,0.58,0.58,0.71,0.79,0.73,0.79
2015/01/02,忠明,NMHC,0.06,0.05,0.04,0.04,0.04,0.05,0.05,0.07,0.1,0.13,0.15,0.14,0.11,0.09,0.1,0.12,0.17,0.22,0.2,0.2,0.26,0.3,0.27,0.27
2015/01/02,忠明,NO,0.2,0.2,0.1,0.8,0.5,0.7,0.6,1.5,5.3,7.4,7.4,5.6,3.8,2.6,2,2,2.3,1.8,2.3,2.8,6.1,11,9,17
2015/01/02,忠明,NO2,11,9.8,9.2,7.1,7.4,8.9,12,14,20,20,18,17,14,14,15,19,27,29,30,32,38,38,36,34
2015/01/02,忠明,NOx,11,10,9.3,7.9,7.9,9.6,12,16,25,28,26,23,18,17,17,21,29,30,32,35,44,49,45,50
2015/01/02,忠明,O3,28,28,29,30,28,25,24,21,18,20,25,33,41,46,52,51,32,23,17,11,3.8,2,2.4,2
