日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015/01/01,恆春,AMB_TEMP,19,19,19,19,18,18,18,18,19,19,20,19,19,21,20,19,19,18,18,17,17,17,17,17
2015/01/01,恆春,CO,0.18,0.16,0.16,0.16,0.19,0.3,0.41,0.51,0.51,0.44,0.37,0.33,0.32,0.29,0.3,0.33,0.31,0.29,0.27,0.23,0.2,0.23,0.21,0.2
2015/01/01,恆春,NO,0.6,0.7,1.2,0.1,-0.1*,0.2,0.1,0.1,-0.2*,0.3,0.2#,2.7,2.8,2.7,2.4,2.7,2.7,2.6,2.3,3,2.5,2.5,2.5,2.3
2015/01/01,恆春,NO2,0.7,0.8,0.4,1.8,2*,3.1,4.1,5.1,4.7*,4.1,3.3#,2.2,1.9,1.8,1.8,1.9,2.2,2,1.9,1.4,1.6,1.6,1.6,1.3
2015/01/01,恆春,NOx,1.4,1.5,1.6,1.9,1.8*,3.3,4.2,5.1,4.5*,4.4,3.5#,4.9,4.6,4.6,4.2,4.6,4.9,4.6,4.2,4.5,4,4.1,4.1,3.6
2015/01/01,恆春,O3,59,60,59,60,61,57,53,49,47,48,47,47,48,55,60,60,60,57,54,55,52,51,48,47
2015/01/01,恆春,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/01,恆春,PM10,45,43,44,45,46,56,68,84,98,99,86,77,79,78,75,75,77,72,62,59,59,56,53,49
2015/01/01,恆春,PM2.5,21,17,19,15,21,31,43,59,50,49,39,28,32,29,33,32,30,38,34,29,21,31,20,19
2015/01/01,恆春,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/01,恆春,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/01,恆春,RH,65,65,64,63,63,69,74,73,72,66,62,64,67,56,53,56,56,59,60,58,58,64,65,65
2015/01/01,恆春,SO2,2,1.7,1.6,1.6,2.1,3.2,4,4.3,3.8,3.2,2.6,2.6,2.7,2.7,2.6,2.7,2.4,2,1.7,1.5,1.3,1.5,1.4,1.5
2015/01/01,恆春,WD_HR,41,43,36,34,34,38,42,44,42,46,41,38,42,40,45,44,46,46,45,44,43,33,32,32
2015/01/01,恆春,WIND_DIREC,45,45,33,33,35,37,42,42,42,50,39,39,40,37,47,46,47,45,43,41,40,32,34,36
2015/01/01,恆春,WIND_SPEED,11,11,11,9.3,9.7,9.9,11,12,11,11,9.2,8.9,9.6,9.4,11,9.3,9.7,9.9,11,10,9.4,11,8.7,8
2015/01/01,恆春,WS_HR,11,11,10,9.8,9.1,9.5,10,11,10,11,11,8.9,8.8,9.8,9.9,10,9.1,10,11,10,9.5,9.6,9.1,9.2
2015/01/02,恆春,AMB_TEMP,16,16,16,16,16,16,16,16,18,19,20,20,20,20,20,19,18,18,17,17,17,17,18,17
2015/01/02,恆春,CO,0.2,0.2,0.19,0.18,0.19,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.17,0.17,0.16,0.16,0.15
2015/01/02,恆春,NO,2.8,2.5,2.3,1,0.8,0.7,0.8,0.9,0.8,0.7,1,1.1,0.6,1,1.1,0.6,0.6,1,0.8,0.7,0.9,1.2,1,1.1
2015/01/02,恆春,NO2,1.2,1.2,1.2,1.8,1.5,1.6,1.7,1.8,1.9,1.4,1.6,1.6,1.7,1.3,1.5,1.5,1.6,1.4,1.9,1.8,1.8,1.8,1.8,1.9
2015/01/02,恆春,NOx,4,3.7,3.4,2.8,2.3,2.3,2.5,2.6,2.7,2,2.6,2.8,2.3,2.3,2.6,2.1,2.2,2.4,2.7,2.5,2.7,3,2.8,2.9
2015/01/02,恆春,O3,46,45,45,45,44,44,43,43,43,44,45,47,48,48,47,46,44,45,44,44,45,44,44,45
2015/01/02,恆春,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/02,恆春,PM10,49,44,44,43,42,40,35,35,32,35,38,35,35,34,32,34,34,28,29,37,35,32,31,33
2015/01/02,恆春,PM2.5,17,17,19,16,15,12,19,14,14,12,16,12,11,13,10,10,15,16,20,16,25,15,14,15
2015/01/02,恆春,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/02,恆春,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/02,恆春,RH,64,65,65,64,63,64,64,63,60,56,56,54,53,53,55,58,62,65,66,65,64,64,65,65
