日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015/01/01,新營,AMB_TEMP,15,15,14,13,13,12,12,12,13,15,17,19,21,21,21,20,17,16,15,14,13,13,12,12
2015/01/01,新營,CH4,2.3,2.2,2.4,2.4,2.4,2.3,2.1,2.1,2.1,2,2,2,2,1.9,1.9,1.9,1.9,1.9,1.9,2,2,2,2,2
2015/01/01,新營,CO,0.78,0.66,0.65,0.75,0.82,0.69,0.49,0.61,0.7,0.72,0.69,0.65,0.54,0.53,0.59,0.58,0.51,0.58,0.59,0.54,0.46,0.43,0.4,0.37
2015/01/01,新營,NMHC,0.23,0.2,0.21,0.24,0.31,0.27,0.15,0.16,0.16,0.14,0.14,0.15,0.11,0.09,0.11,0.1,0.08,0.1,0.1,0.11,0.11,0.1,0.09,0.09
2015/01/01,新營,NO,21,8.5,15,8.6,14,19,2.1,7,11,6.7,7.1,5.2,2.6,1.9,1.8,2,1.6,1.5,1.6,1.4,1.5,1.5,1.6,1.2
2015/01/01,新營,NO2,38,33,31,25,23,27,21,20,21,18,19,20,12,11,14,15,14,20,20,18,17,17,15,15
2015/01/01,新營,NOx,59,41,46,34,38,46,23,27,32,25,26,25,14,13,15,17,16,21,21,20,18,19,17,17
2015/01/01,新營,O3,0.9,2.6,2.3,1,0.7,1.9,9.6,12,14,25,32,44,66,77,71,59,51,36,33,27,27,22,22,20
2015/01/01,新營,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/01,新營,PM10,116,104,87,94,87,91,81,96,118,148,160,153,138,136,167,212,257,251,216,160,120,90,78,71
2015/01/01,新營,PM2.5,50,49,46,48,51,54,49,49,53,65,68,68,70,75,75,73,69,60,56,52,48,37,30,32
2015/01/01,新營,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/01,新營,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/01,新營,RH,85,83,83,86,86,85,81,80,77,69,63,57,51,46,44,47,52,55,57,58,57,60,61,62
2015/01/01,新營,SO2,3.4,2.8,2.6,2.3,2.5,2.4,2.5,3.6,5,6,5.5,5.6,4.4,5.3,6.7,6.7,5.9,6.2,5.5,3.6,2.6,2.3,2,2.7
2015/01/01,新營,THC,2.5,2.4,2.6,2.7,2.7,2.6,2.3,2.3,2.3,2.2,2.2,2.1,2.1,2,2.1,2,2,2,2,2.1,2.1,2.1,2.1,2
2015/01/01,新營,UVB,0,0,0,0,0,0,0,0.2,1,2.2,3.6,4.5,4.5,3.5,2.1,0.9,0.2,0,0,0,0,0,0,0
2015/01/01,新營,WD_HR,332,13,38,69,7.2,13,33,40,35,42,7.6,347,358,340,346,8.1,71,51,50,354,18,14,16,26
2015/01/01,新營,WIND_DIREC,1.1,340,47,86,332,43,39,22,39,353,37,347,358,353,7.9,340,53,51,22,304,14,326,9.2,13
