日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015/01/01,新竹,AMB_TEMP,16,16,15,15,14,14,13,13,14,15,15,16,16,15,15,14,14,13,12,12,12,12,12,12
2015/01/01,新竹,CH4,2,2,2,2,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
2015/01/01,新竹,CO,0.78,0.77,0.73,0.69,0.62,0.53,0.53,0.56,0.56,0.56,0.57,0.52,0.49,0.42,0.4,0.41,0.4,0.41,0.44,0.38,0.33,0.32,0.31,0.29
2015/01/01,新竹,NMHC,0.15,0.15,0.15,0.14,0.13,0.11,0.13,0.15,0.13,0.11,0.12,0.11,0.1,0.09,0.09,0.09,0.08,0.09,0.11,0.11,0.09,0.09,0.09,0.08
2015/01/01,新竹,NO,0.8,0.7,0.7,0.8,0.7,0.6,1,1.5,2.2,2.4,2.8,2.6,2.6,2.2,2.1,1.9,1.6,1.2,1.3,1.2,1.1,1,1,1.1
2015/01/01,新竹,NO2,18,16,15,15,13,11,13,16,15,13,12,12,12,11,11,11,11,12,15,14,12,12,13,12
2015/01/01,新竹,NOx,19,17,16,16,14,12,14,18,17,15,15,14,15,13,13,13,13,13,16,15,14,13,14,13
2015/01/01,新竹,O3,36,36,37,35,35,35,32,29,32,36,39,44,46,47,46,42,40,36,31,33,34,32,30,30
2015/01/01,新竹,PM10,132,165,163,152,134,119,104,98,99,108,109,100,95,97,92,78,68,62,61,53,48,45,39,37
2015/01/01,新竹,PM2.5,68,84,79,73,65,55,45,44,48,48,48,47,43,37,29,26,26,23,21,18,17,17,17,17
2015/01/01,新竹,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/01,新竹,RH,64,63,64,65,67,68,67,65,60,55,52,48,48,50,52,53,52,53,56,57,58,60,61,62
2015/01/01,新竹,SO2,6.6,8.2,7.7,6,5,4.2,4.2,4.3,5.2,5.2,5.4,6.7,4.1,2.7,2.2,2.4,2.6,3.8,1.7,2.1,1.9,1.7,1.8,2
2015/01/01,新竹,THC,2.1,2.1,2.1,2.1,2.1,2,2,2.1,2,2,2,2,2,2,1.9,1.9,1.9,1.9,2,2,2,2,2,2
2015/01/01,新竹,WD_HR,68,74,74,67,74,67,71,70,75,74,73,73,70,64,60,69,69,70,71,71,70,70,62,64
2015/01/01,新竹,WIND_DIREC,72,69,66,71,73,67,73,72,80,76,70,80,70,58,55,71,70,71,78,72,71,72,66,67
2015/01/01,新竹,WIND_SPEED,5.1,4.9,4.1,3.7,3.7,4,4,4.1,5.5,5.4,5.7,4.6,4.9,5.5,6.4,5.2,6,4.8,4,5,5,4.6,4.7,3.6
2015/01/01,新竹,WS_HR,3.8,3.5,3.3,2.8,2.7,3.1,2.9,3,3.8,4.7,4.1,4.7,4,4.3,4.4,3.7,5.2,4.6,3.6,3.5,3.8,3.6,3.4,3
2015/01/02,新竹,AMB_TEMP,12,12,12,12,12,12,12,12,13,15,16,17,17,18,18,18,17,16,15,14,14,14,14,13
2015/01/02,新竹,CH4,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
2015/01/02,新竹,CO,0.27,0.26,0.24,0.25,0.21,0.21,0.24,0.31,0.36,0.34,0.34,0.34,0.32,0.32,0.34,0.32,0.35,0.34,0.38,0.32,0.28,0.29,0.26,0.24
2015/01/02,新竹,NMHC,0.08,0.07,0.06,0.07,0.06,0.06,0.07,0.09,0.12,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.13,0.12,0.13,0.1,0.08,0.08,0.07,0.07
2015/01/02,新竹,NO,0.9,0.7,0.6,0.7,0.9,0.9,1.1,1.6,3.2,3.7,3.3,3.1,2.9,2.8,3,2.4,1.9,1.7,1.6,1.4,1.3,1.4,1.1,1
2015/01/02,新竹,NO2,13,10,8.9,8.1,6.8,6.6,8.1,14,16,12,11,10,10,11,12,12,15,15,17,13,13,14,10,11
2015/01/02,新竹,NOx,14,11,9.5,8.8,7.7,7.5,9.2,15,19,16,14,13,13,14,15,15,17,17,19,15,14,16,12,12
2015/01/02,新竹,O3,29,32,35,34,36,36,33,28,27,32,35,38,40,39,38,37,32,30,28,32,32,30,34,32
2015/01/02,新竹,PM10,37,35,35,37,35,38,37,34,44,51,48,48,49,46,46,46,45,42,38,38,35,32,28,29
2015/01/02,新竹,PM2.5,17,17,15,15,17,17,18,17,21,25,23,24,21,21,22,20,19,19,19,17,15,15,13,12
2015/01/02,新竹,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/02,新竹,RH,64,65,65,65,65,65,63,63,60,55,53,52,51,49,50,51,54,57,60,61,61,62,62,63
2015/01/02,新竹,SO2,4.4x,0.2x,-0.2x,0.2x,1.5x,-0.4x,4.9x,3.6x,0x,0x,-0.5x,-1*,-0.6*,-0.6*,-1*,-0.9*,-0.9*,-0.4x,0x,-0.9*,-0.6*,1.2x,-0.6*,1x
2015/01/02,新竹,THC,2,1.9,1.9,2,1.9,1.9,1.9,2,2,2,2,2,2,2,2,2,2,2,2,2,1.9,1.9,1.9,1.9
2015/01/02,新竹,WD_HR,58,59,73,66,70,71,70,69,69,72,70,69,65,69,65,68,71,70,73,70,65,70,70,63
2015/01/02,新竹,WIND_DIREC,63,65,76,65,70,69,75,72,72,75,77,68,73,64,79,61,73,67,74,74,66,70,72,70
2015/01/02,新竹,WIND_SPEED,4.3,3.5,2.6,3.3,3.2,3.5,3.1,3.3,3.7,3.2,3.2,4.3,4.7,4.6,3.5,3.8,3,3,3.3,3.4,3.5,2.8,2.2,1.6
2015/01/02,新竹,WS_HR,3.1,2.7,2.3,2.5,2.5,2.5,2.8,2.7,3.1,3,2.7,3.4,3.5,3.2,2.6,3.1,2.6,2.8,2.4,3.1,3.1,2.4,1.8,1.6
2015/01/03,新竹,AMB_TEMP,13,13,13,12,13,13,13,13,14,15,17,18,20,20,20,20,20,19,18,17,16,16,15,15
2015/01/03,新竹,CH4,1.9,1.9,2,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2,2.3,2.3,2.3,2.2,2.2,2.1
2015/01/03,新竹,CO,0.21,0.2,0.22,0.21,0.2,0.2,0.24,0.33,0.41,0.43,0.44,0.43,0.52,0.41,0.42,0.43,0.51,0.78,1.85,1.7,1.7,1.86,1.72,1.22
2015/01/03,新竹,NMHC,0.06,0.06,0.11,0.17,0.18,0.15,0.17,0.12,0.27,0.17,0.16,0.13,0.18,0.13,0.11,0.1,0.13,0.25,0.7,0.62,0.69,1.09,0.98,0.73
2015/01/03,新竹,NO,0.9,0.9,0.8,1.2,0.9,0.9,1.1,1.9,3.7,8.4,6.2,5.6,5.3,3.4,2.2,1.5,1.2,1.3,23,19,29,62,53,26
2015/01/03,新竹,NO2,10,9.8,10,10,7.5,6.4,9.7,16,20,23,20,17,22,14,13,12,15,30,56,54,53,52,45,41
2015/01/03,新竹,NOx,11,11,11,11,8.4,7.4,11,18,24,31,26,23,28,18,15,13,16,31,79,73,82,113,98,67
2015/01/03,新竹,O3,33,33,29,28,31,31,27,23,24,20,25,34,41,53,57,64,61,40,5.1,4.5,5.3,1.6,1.5,1.2
2015/01/03,新竹,PM10,29,26,27,26,23,26,21,22,31,33,37,42,55,64,57,64,73,71,73,77,81,99,109,95
