日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015/01/01,新莊,AMB_TEMP,16,16,15,15,15,14,14,14,14,15,15,15,15,15,14,14,13,12,12,12,12,13,13,13
2015/01/01,新莊,CO,0.73,0.72,0.67,0.62,0.46,0.46,0.48,0.52,0.51,0.48,0.45,0.4,0.35,0.31,0.3,0.31,0.34,0.35,0.31,0.3,0.33,0.25,0.25,0.22
2015/01/01,新莊,NO,0.8,0.9,0.8,1,0.8,0.8,0.8,1,1.5,2,2.2,2.1,1.9,1.6,1.5,1.3,0.9,0.9,0.9,0.9,0.9,0.9,1,0.9
2015/01/01,新莊,NO2,13,14,13,11,9.9,11,13,14,12,12,9.7,8.9,8.2,7.3,7.4,8.5,10,11,12,13,15,12,11,10
2015/01/01,新莊,NOx,14,15,14,12,11,11,14,15,14,14,12,11,10,8.9,9,9.8,11,12,12,14,16,13,12,11
2015/01/01,新莊,O3,41,39,40,39,39,36,33,31,32,34,38,43,46,46,45,41,38,36,36,33,29,31,31,31
2015/01/01,新莊,PM10,156,159,148,134,121,109,100,98,105,104,94,84,73,68,66,61,56,55,49,40,38,35,34,35
2015/01/01,新莊,PM2.5,84,84,77,68,58,51,46,45,49,47,41,38,34,26,21,19,15,13,15,17,12,11,11,6
2015/01/01,新莊,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/01,新莊,RH,60,59,60,61,61,61,60,58,55,51,48,46,45,45,47,49,52,52,53,53,56,55,55,58
2015/01/01,新莊,SO2,9.3,7.7,6.5,5.7,4.8,4.7,4.7,5.7,5.6,5.3,4.2,3.2,2.5,2,1.8,1.8,1.9,1.7,1.4,1.6,1.5,1.5,1.5,1.1
2015/01/01,新莊,WD_HR,59,64,62,62,70,72,71,68,68,71,70,70,73,71,69,63,74,64,68,85,87,78,79,99
2015/01/01,新莊,WIND_DIREC,56,66,64,72,69,72,69,76,62,81,69,79,82,79,82,76,66,65,73,96,78,72,79,97
2015/01/01,新莊,WIND_SPEED,6.9,5.3,5.2,4.7,4.9,3.3,4.4,4.8,6.5,6.3,6.4,4.8,5.9,6.8,6.1,5.6,5.9,6.8,5.7,4.3,3.6,5.5,3.8,4.3
2015/01/01,新莊,WS_HR,6.2,5.6,4.9,4.5,4.4,3.6,4,4.6,5.3,5.2,5.6,5.4,5.5,6.1,5.9,5.9,5.6,5.6,4.9,4.7,3.7,4.6,4.4,3.9
2015/01/02,新莊,AMB_TEMP,13,13,13,13,13,12,12,13,14,15,16,17,17,17,17,17,16,15,15,14,14,14,14,13
2015/01/02,新莊,CO,0.21,0.2,0.18,0.19,0.21,0.23,0.33,0.47,0.41,0.31,0.29,0.25,0.26,0.25,0.25,0.26,0.29,0.34,0.38,0.36,0.37,0.35,0.37,0.34
2015/01/02,新莊,NO,0.8,0.7,0.7,0.9,0.9,0.8,0.9,2.1,3.7,4,3.5,2.5,2.3,2.3,2.1,2.1,1.7,1.2,1,1.1,1.1,1.1,1,1
2015/01/02,新莊,NO2,9,8,6.1,7,5.8,7.4,13,18,15,12,9.6,7.1,7.4,7.4,8.6,9.3,11,14,16,19,19,18,20,16
2015/01/02,新莊,NOx,9.8,8.7,6.7,7.9,6.7,8.2,14,20,19,16,13,9.6,9.7,9.7,11,11,13,15,17,20,20,19,21,17
2015/01/02,新莊,O3,32,35,36,36,38,34,27,22,27,31,35,38,39,40,39,39,36,34,31,27,26,28,26,30
2015/01/02,新莊,PM10,35,34,32,32,34,34,37,39,39,44,45,38,38,39,39,40,39,34,33,33,31,27,22,24
2015/01/02,新莊,PM2.5,9,12,12,13,15,13,13,14,14,17,20,19,16,18,18,16,12,6,10,12,12,12,10,7
