日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015/01/01,林園,AMB_TEMP,15,16,15,15,15,14,14,15,16,19,21,22,22,21,21,21,21,20,19,18,18,17,17,17
2015/01/01,林園,CH4,2.9,2.9,2.5,2.9,3,2.8,2.4,2.3,2.3,2.2,2,2,2,2,2,2,2,1.9,1.9,2,2.2,2.4,2.2,2.1
2015/01/01,林園,CO,0.88,0.91,0.69,0.66,0.67,0.57,0.49,0.51,0.55,0.61,0.56,0.8,0.61,0.49,0.46,0.47,0.43,0.44,0.44,0.42,0.65,0.75,0.73,0.68
2015/01/01,林園,NMHC,0.39,0.62,0.31,0.16,0.32,0.47,0.25,0.06,0.06,0.1,0.05,0.08,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.15,0.2,0.1,0.09
2015/01/01,林園,NO,1,1.2,0.8,1.4,1.3,1.2,1.8,3.1,5.7,5.2,3.5,4.6,3,1.6,1.3,1.2,1.3,1.1,1.4,1.4,1.5,1.5,1.4,1.7
2015/01/01,林園,NO2,35,33,24,21,21,17,17,17,16,19,17,29,17,15,11,8.5,8.2,8.6,9.1,7.9,22,33,26,37
2015/01/01,林園,NOx,36,34,25,22,22,19,18,20,22,24,20,33,20,16,12,9.6,9.5,9.7,10,9.3,24,35,27,38
2015/01/01,林園,O3,9.2,8.1,11,10,8.2,10,14,15,20,33,52,60,76,83,77,79,56,45,44,44,31,20,21,12
2015/01/01,林園,PM10,101,94,82,73,67,60,55,54,64,69,71,84,81,74,65,66,50,68,60,57,151,169,155,139
2015/01/01,林園,PM2.5,71,77,63,59,56,49,45,41,48,50,53,71,67,59,49,46,29,43,42,42,94,91,81,74
2015/01/01,林園,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/01,林園,RH,81,78,80,82,83,84,81,79,75,67,57,56,59,61,62,62,54,53,53,53,58,60,63,61
2015/01/01,林園,SO2,3.9,3.6,3.2,2.2,2.1,2.3,2.9,3.9,4.8,7.8,12,13,9.4,8,6.3,5,3.1,2.6,2.6,2.7,6.6,9.2,6.8,13
2015/01/01,林園,THC,3.3,3.5,2.8,3,3.3,3.3,2.7,2.4,2.4,2.3,2.1,2.1,2.1,2,2,2,2,2,2,2,2.4,2.6,2.3,2.2
2015/01/01,林園,WD_HR,36,29,31,46,39,28,35,36,35,27,46,252,268,276,266,217,142,120,104,84,38,58,65,285
2015/01/01,林園,WIND_DIREC,31,34,38,42,39,29,33,33,38,28,353,269,271,271,240,201,111,112,102,60,8.7,93,270,288
2015/01/01,林園,WIND_SPEED,1.6,1.9,1.8,1.8,2.2,3,3,3.2,2.6,2.9,1.1,3,2.8,3.1,2.3,2,3.4,2.7,4.3,1.9,1.2,1.1,0.7,1.4
2015/01/01,林園,WS_HR,1.5,2.1,1.7,1.7,1.8,2.3,2,2.3,2.7,2.2,1.6,2.2,2.7,2.8,2.4,2.3,2.1,2.7,3.4,2.9,1.1,0.3,0.5,1.5
2015/01/02,林園,AMB_TEMP,16,16,15,15,15,14,13,14,15,18,20,20,20,20,20,20,19,19,18,18,18,18,18,17
2015/01/02,林園,CH4,2.1,2.2,2.3,2.2,2.2,2.2,2.3,2.3,2.4,2.2,2,2.1,2,2,2,2,1.9,1.9,1.9,2,2.1,2.1,2.2,2.2
2015/01/02,林園,CO,0.6,0.72,0.77,0.69,0.55,0.55,0.62,0.68,0.7,1.16,0.72,0.51,0.44,0.42,0.36,0.32,0.31,0.36,0.38,0.47,0.45,0.46,0.4,0.43
2015/01/02,林園,NMHC,0.1,0.12,0.13,0.16,0.14,0.15,0.17,0.21,0.15,0.14,0.07,0.06,0.04,0.03,0.03,0.03,0.03,0.03,0.04,0.13,0.07,0.05,0.13,0.18
2015/01/02,林園,NO,1.9,2.9,2.3,1.5,1.3,2,7.7,9.4,8.3,5.5,2.4,4.4,1.9,1.3,0.5,-0.1*,0.1,0.1,0*,-0.2*,0.2,-0.1*,0,0
2015/01/02,林園,NO2,37,38,38,38,35,34,34,29,23,22,17,21,14,16,12,8.8*,8.9,10,12*,16*,18,16*,16,17
