日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015/01/01,永和,AMB_TEMP,17,16,16,16,15,15,14,14,15,15,15,15,15,15,14,14,14,13,13,13,13,13,13,13
2015/01/01,永和,CH4,2,2,2,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.9,1.9,1.8,1.8,1.8,1.8,1.9,1.9,1.9,1.9,1.8,1.8
2015/01/01,永和,CO,0.92,0.92,0.77,0.65,0.52,0.52,0.61,0.77,0.75,0.68,0.72,0.62,0.52,0.53,0.52,0.5,0.51,0.58,0.46,0.4,0.36,0.33,0.31,0.28
2015/01/01,永和,NMHC,0.27,0.25,0.17,0.15,0.13,0.14,0.17,0.21,0.21,0.23,0.24,0.28,0.21,0.17,0.16,0.15,0.15,0.18,0.16,0.15,0.13,0.12,0.12,0.1
2015/01/01,永和,NO,1.7,2.3,2.1,2.3,1.8,2.5,3.9,7.7,6.4,7.5,8.6,6.6,5.6,7.1,7,4.5,4.8,6,4.5,3,3,2.7,2.5,2.3
2015/01/01,永和,NO2,20,21,17,12,10,10,13,20,17,14,16,15,13,15,15,13,16,18,14,12,12,12,12,10
2015/01/01,永和,NOx,21,23,19,14,12,13,17,28,23,22,24,21,19,22,22,18,21,24,19,15,15,15,14,12
2015/01/01,永和,O3,35,33,36,38,38,37,33,25,28,31,33,37,41,40,38,36,32,30,33,34,33,30,29,30
2015/01/01,永和,PM10,183,183,154,138,117,103,95,97,101,103,98,93,83,73,72,64,55,57,54,42,38,37,39,39
2015/01/01,永和,PM2.5,90,94,75,68,56,42,40,42,45,46,43,38,32,27,24,19,16,21,19,13,12,13,11,11
2015/01/01,永和,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/01,永和,RH,63,63,64,64,65,63,63,64,59,57,53,52,50,51,54,56,54,56,56,58,60,61,63,63
2015/01/01,永和,SO2,9.5,9.2,8.3,6.7,5.4,5,5.5,6.9,6.2,5.7,5,4.2,3.4,2.9,2.7,2.8,4.2,3,3.3,2.4,2.1,1.9,1.8,1.6
2015/01/01,永和,THC,2.3,2.3,2.1,2.1,2,2,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2,2,2,2,2,2,2,2,2,2,2
2015/01/01,永和,WD_HR,80,84,82,83,76,78,92,89,82,80,68,73,77,71,75,84,82,88,93,99,100,101,101,98
2015/01/01,永和,WIND_DIREC,80,77,81,86,72,80,98,73,84,74,67,68,88,70,79,83,82,90,93,95,101,101,99,100
2015/01/01,永和,WIND_SPEED,3,2.9,2.7,2.6,2.7,2.3,1.8,2.1,3.3,3.5,3.7,3,3.9,3.1,3.5,3.1,3.1,3.2,2.4,3,2.5,2.5,2.6,2.3
2015/01/01,永和,WS_HR,3.6,2.7,2.9,2.7,2.5,2.8,2.1,1.9,2.8,3.4,2.9,3.1,3.2,3.2,3.3,3.3,2.7,2.6,2.6,2.4,2.6,2.5,2.4,2.3
2015/01/02,永和,AMB_TEMP,13,13,13,13,13,13,13,13,14,15,16,16,17,17,17,17,16,15,15,15,15,14,14,14
2015/01/02,永和,CH4,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.8,1.8,1.8
2015/01/02,永和,CO,0.26,0.22,0.22,0.22,0.22,0.28,0.27,0.34,0.46,0.45,0.45,0.43,0.36,0.39,0.37,0.35,0.36,0.4,0.39,0.37,0.37,0.35,0.3,0.24
2015/01/02,永和,NMHC,0.09,0.09,0.1,0.1,0.1,0.13,0.11,0.13,0.17,0.16,0.17,0.21,0.15,0.16,0.21,0.17,0.16,0.16,0.17,0.21,0.16,0.14,0.12,0.1
2015/01/02,永和,NO,2,1.1,1.7,1.5,2,2.9,2,3.6,9.1,8.8,9,9.3,6.9,6.6,7.4,6.2,5.3,5,5.5,4.5,5.4,4,4.2,3.4
2015/01/02,永和,NO2,7.9,5,4.1,3.6,5.4,7.8,7.3,11,14,12,13,15,12,12,13,12,13,12,14,14,14,12,12,9.3
2015/01/02,永和,NOx,9.8,6.1,5.7,5.1,7.3,11,9.3,14,23,21,22,24,19,18,21,19,18,17,19,18,19,16,16,13
2015/01/02,永和,O3,33,37,37,38,37,34,32,29,28,31,32,31,35,36,36,36,35,36,34,34,33,34,35,37
2015/01/02,永和,PM10,35,37,34,33,37,34,33,37,42,40,42,43,37,34,37,40,40,34,29,27,27,26,21,20
2015/01/02,永和,PM2.5,10,9,11,11,9,9,11,13,15,15,15,13,10,14,16,12,11,12,11,13,13,9,9,8
2015/01/02,永和,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/02,永和,RH,63,62,63,64,62,61,65,63,60,58,57,56,54,54,55,57,59,61,61,60,61,61,61,61
2015/01/02,永和,SO2,1.2,1.3,1.3,1.1,1.2,1.3,1.2,1.3,1.4,1.3,1.4,1.4,1.4,1.2,1.1,1.2,1.3,1.3,1.2,1.2,1.1,1.1,1,1.3
2015/01/02,永和,THC,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.1,2,2,2,2,2.1,2,2,1.9,1.9
2015/01/02,永和,WD_HR,97,100,98,88,86,98,102,100,98,86,81,83,83,79,80,83,85,87,87,90,96,89,87,84
