日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015/01/01,汐止,AMB_TEMP,16,16,16,15,15,14,14,14,,14,14,15,14,14,14,13,13,13,13,13,13,13,13,13
2015/01/01,汐止,CO,0.72,0.67,0.63,0.57,0.47,0.48,0.5,0.53,,0.52,0.5,0.43,0.41,0.36,0.36,0.37,0.36,0.37,0.34,0.35,0.31,0.27,0.3,0.29
2015/01/01,汐止,NO,1.5,1.5,1.5,0.7,0.9,0.9,0.8,1.4,,2.6,2.3,2.2,2.1,1.6,1.5,1.4,1.6,1.6,1.2,1.4,1.1,1,1,1.3
2015/01/01,汐止,NO2,15,13,12,11,8.8,8.3,13,14,,11,9.8,9.4,9.8,7.8,8.3,11,10,14,15,15,13,12,14,11
2015/01/01,汐止,NOx,16,15,14,12,9.7,9.2,14,15,,14,12,12,12,9.4,9.8,12,12,16,17,16,14,13,15,12
2015/01/01,汐止,O3,40,42,40,39,41,40,33,32,,15,39,41,43,46,42,37,39,34,33,31,32,32,29,33
2015/01/01,汐止,PM10,169,170,155,137,117,105,97,99,,97,93,88,77,68,67,64,55,50,45,43,39,33,34,34
2015/01/01,汐止,PM2.5,79,72,61,58,49,42,44,45,,45,43,41,36,28,23,20,18,18,19,19,18,16,15,18
2015/01/01,汐止,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/01,汐止,RH,62,62,62,64,64,63,63,61,,56,53,52,52,51,56,57,54,57,55,58,58,58,61,61
2015/01/01,汐止,SO2,12,8.2,7.7,8.8,5.2,4.6,6.4,6.1,,4.1,3.5,2.1,1.7,1.1,1.7,2.7,2.3,3.4,4,2.9,0.9,1.5,2,-0.4
2015/01/01,汐止,WD_HR,63,64,60,62,66,65,60,59,,65,68,65,69,64,65,63,59,63,59,74,66,71,75,96
2015/01/01,汐止,WIND_DIREC,62,63,48,65,84,71,64,73,,57,77,61,74,57,63,57,64,51,49,82,45,82,83,81
2015/01/01,汐止,WIND_SPEED,2.6,2.5,2.2,2,2.2,1.4,1.8,2.5,,2.8,2.5,2.7,2.6,4,2.7,2.6,2.5,2.1,1.8,1.2,2,1.8,1.2,0.8
2015/01/01,汐止,WS_HR,1.7,1.7,1.2,1.3,1.6,1.3,1.1,1.6,,1.9,2,1.9,1.7,2,2.2,1.6,1.8,1.4,1.3,0.8,1,1,1,1.5
2015/01/02,汐止,AMB_TEMP,13,13,13,13,13,12,12,13,14,15,16,16,17,17,17,16,15,15,14,14,14,13,13,12
2015/01/02,汐止,CO,0.27,0.25,0.23,0.24,0.28,0.31,0.35,0.47,0.49,0.35,0.27,0.29,0.26,0.25,0.24,0.24,0.26,0.34,0.41,0.37,0.38,0.36,0.38,0.37
2015/01/02,汐止,NO,1.2,0.7,1,0.9,0.6,0.9,1.7,7.4,12,5.3,2.7,2.6,2.1,2,1.8,1.4,1.2,1.3,1.6,1.5,2,1.6,2,2.2
2015/01/02,汐止,NO2,10,6.7,7.1,7,12,19,23,32,29,15,7.7,8.2,7.6,7,6.1,7.3,11,16,18,19,23,21,25,24
2015/01/02,汐止,NOx,12,7.4,8.1,7.8,12,20,24,39,41,20,10,11,9.7,9,7.9,8.7,12,17,20,20,25,23,27,26
