日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015/01/01,沙鹿,AMB_TEMP,14,14,14,14,14,14,13,13,15,16,17,18,18,18,18,16,15,13,12,12,12,11,11,11
2015/01/01,沙鹿,CO,0.36,0.35,0.55,0.6,0.65,0.61,0.55,0.51,0.47,0.45,0.44,0.47,0.48,0.45,0.42,0.39,0.37,0.35,0.33,0.32,0.31,0.28,0.25,0.22
2015/01/01,沙鹿,NO,1.3,1.3,1.2,1,1.1,1.2,1.2,1.6,1.9,2.1,2,1.8,1.8,1.7,1.5,1.8,1.5,1.4,1.4,1.3,1.2,1.2,1.2,1
2015/01/01,沙鹿,NO2,16,12,11,9.9,9.5,8.6,8.8,9.5,9.2,9.9,9.3,9.8,10,10,9.8,11,10,11,10,9.6,9,8.2,6.9,6.5
2015/01/01,沙鹿,NOx,17,13,12,11,11,9.8,10,11,11,12,11,12,12,12,11,13,12,12,12,11,10,9.5,8.1,7.5
2015/01/01,沙鹿,O3,29,41,40,37,37,39,38,36,38,42,47,51,55,57,55,51,48,40,38,36,35,37,37,36
2015/01/01,沙鹿,PM10,43,53,87,119,132,138,126,111,101,97,93,99,105,103,99,99,92,79,66,54,48,40,38,37
2015/01/01,沙鹿,PM2.5,15,21,37,56,67,64,53,44,39,40,40,39,37,35,34,31,25,19,16,9,4,5,4,1
2015/01/01,沙鹿,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/01,沙鹿,RH,69,68,70,71,69,68,67,66,61,54,46,42,40,39,42,46,46,51,53,55,57,56,55,56
2015/01/01,沙鹿,SO2,2.8,3.5,5.5,5.5,6,5.3,5.4,4.7,4.5,5.1,4.8,5.1,4.7,4.3,3.7,3.3,3,2.8,2.4,2.2,2.1,2,1.8,1.8
2015/01/01,沙鹿,UVB,0,0,0,0,0,0,0,0.3,1.3,2.9,4.6,5.4,5.4,4.4,2.7,1.2,0.3,0,0,0,0,0,0,0
2015/01/01,沙鹿,WD_HR,31,46,42,41,41,51,49,46,42,54,54,58,49,61,54,59,51,51,48,52,49,48,41,42
