日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015/01/01,線西,AMB_TEMP,15,15,15,15,14,14,14,14,15,16,18,18,18,18,17,16,15,14,13,13,12,12,12,12
2015/01/01,線西,CH4,1.9,1.9,2,2,2,2,2,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
2015/01/01,線西,CO,0.3,0.42,0.59,0.66,0.66,0.6,0.56,0.5,0.46,0.5,0.48,0.82,0.86,0.77,0.83,0.88,0.58,0.37,0.33,0.34,0.29,0.27,0.26,0.23
2015/01/01,線西,NMHC,0.08,0.08,0.12,0.13,0.13,0.12,0.11,0.11,0.1,0.12,0.11,0.1,0.09,0.08,0.07,0.07,0.08,0.09,0.08,0.08,0.07,0.07,0.07,0.07
2015/01/01,線西,NO,1,0.9,1.1,1.1,1,1,0.7,1.4,2.5,3.1,2.6,3,3.4,3.3,2.5,2.3,1.8,1.3,1.1,1,1,1,0.9,1
2015/01/01,線西,NO2,10,15,13,12,13,11,13,14,11,11,9.1,13,13,13,11,12,12,12,12,11,10,9.4,9.9,11
2015/01/01,線西,NOx,11,16,14,13,14,12,13,15,14,15,12,16,17,16,14,15,14,13,13,12,11,10,11,12
2015/01/01,線西,O3,40,41,37,35,33,36,33,32,36,43,51,49,50,51,52,48,45,40,35,34,33,34,32,30
2015/01/01,線西,PM10,40,55,93,126,131,128,117,105,100,101,119,149,164,152,138,133,116,86,59,50,50,43,38,39
2015/01/01,線西,PM2.5,24,31,53,73,77,75,69,59,50,49,50,52,52,47,39,37,36,32,28,24,26,22,16,17
2015/01/01,線西,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/01,線西,RH,67,64,68,69,68,66,65,65,60,54,47,48,49,51,53,54,55,53,53,54,56,55,56,57
2015/01/01,線西,SO2,3.9,6.8,7.1,7.7,8.5,8,7.8,6.9,6.2,6.3,6,8.2,8.5,7.8,7.4,7.2,4.9,3.8,4.1,3.8,4.4,4,3.7,4.2
2015/01/01,線西,THC,2,2,2.1,2.1,2.1,2.1,2.1,2.1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015/01/01,線西,WD_HR,38,41,41,39,41,41,40,43,43,44,44,43,46,47,44,47,44,45,42,45,40,43,42,40
2015/01/01,線西,WIND_DIREC,37,40,41,40,41,44,41,44,42,47,45,38,42,45,45,45,40,41,42,45,39,43,42,39
2015/01/01,線西,WIND_SPEED,4.7,5.8,5.7,5.4,5.5,7,6.4,6.7,7.6,6.4,7.1,9.4,9.1,8.4,9.2,9.8,8,7.8,7.5,7,7.2,6.5,6.2,6.1
2015/01/01,線西,WS_HR,3.5,5.3,5.2,5.4,5.4,6.1,6.3,5.5,6.4,5.5,6.9,7.3,7.8,7.5,8.4,8.4,7.4,7,7,6.3,6.8,6.4,6,5.6
2015/01/02,線西,AMB_TEMP,12,12,12,12,12,12,12,12,13,14,16,17,18,18,19,18,17,17,16,16,15,14,14,13
