日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015/01/01,臺西,AMB_TEMP,16,15,16,15,15,15,15,15,16,16,17,17,17,17,16,16,15,15,14,14,13,13,13,12
2015/01/01,臺西,CH4,2,2.1,1.9,2,2,2,1.9,2,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.9,1.9,1.9,1.9,1.9
2015/01/01,臺西,CO,0.36,0.32,0.43,0.62,0.8,0.81,0.73,0.72,0.53,0.49,0.45,0.48,0.44,0.4,0.35,0.32,0.3,0.31,0.3,0.31,0.31,0.35,0.5,0.52
2015/01/01,臺西,NMHC,0.07,0.09,0.09,0.12,0.13,0.13,0.13,0.12,0.1,0.1,0.09,0.09,0.08,0.07,0.06,0.05,0.05,0.06,0.07,0.07,0.07,0.07,0.08,0.07
2015/01/01,臺西,NO,0.1,0.3,0.3,0.6,0.5,0.5,0.9,2,2.4,2.3,1.8,1.9,1.3,1,0.9,0.9,0.7,0.6,0.4,0.8,0.6,0.7,0.7,0.8
2015/01/01,臺西,NO2,18,12,14,12,15,17,20,22,13,12,9.4,10,8.8,8,7.6,7.2,7.3,8.2,8.3,8.9,9.5,13,26,26
2015/01/01,臺西,NOx,18,13,14,13,15,17,21,24,16,14,11,12,10,9,8.5,8.2,8.1,8.8,8.7,9.7,10,14,27,27
2015/01/01,臺西,O3,32,32,37,36,30,28,27,25,36,43,51,55,60,62,62,59,54,48,41,38,35,28,16,16
2015/01/01,臺西,PM10,51,53,67,105,134,145,147,142,143,153,156,150,165,172,134,103,95,84,108,125,122,121,87,59
2015/01/01,臺西,PM2.5,27,34,43,65,90,97,91,79,66,56,59,61,62,61,47,39,38,35,32,30,35,35,31,27
2015/01/01,臺西,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.2,0.2,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/01,臺西,RH,76,78,75,75,76,75,73,73,69,66,66,64,64,66,68,68,69,70,69,69,67,68,66,66
2015/01/01,臺西,SO2,7,3.6,7.2,6.2,6.7,8.3,11,11,7.2,6.4,5.1,5.7,4.5,3.9,3.3,2.7,2.5,2.5,2.1,2.3,2.6,4.7,10,9.8
2015/01/01,臺西,THC,2,2.2,2,2.1,2.2,2.1,2.1,2.1,2,2,2,2,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2,2
2015/01/01,臺西,WD_HR,31,33,33,35,33,32,26,32,30,27,28,27,25,26,26,26,26,26,29,30,32,31,38,40
2015/01/01,臺西,WIND_DIREC,24,34,33,32,37,29,34,30,32,27,23,25,25,27,27,25,27,28,31,34,31,34,39,41
2015/01/01,臺西,WIND_SPEED,3.9,6,7.2,4.6,6.1,7.8,5.5,9,10,11,11,13,14,14,14,13,14,11,8.5,8.4,9.3,8.5,6.9,5.8
2015/01/01,臺西,WS_HR,2.8,4.7,6.2,5.7,5.2,6.3,7.9,7,9.5,10,11,11,13,12,13,13,13,12,10,8.9,8.7,8.5,6.9,6.4
2015/01/02,臺西,AMB_TEMP,12,12,12,13,13,13,13,13,14,15,16,16,17,18,18,18,17,17,16,16,16,15,15,15
2015/01/02,臺西,CH4,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.9
2015/01/02,臺西,CO,0.52,0.49,0.47,0.46,0.35,0.44,0.27,0.31,0.35,0.23,0.2,0.23,0.23,0.32,0.31,0.25,0.2,0.2,0.18,0.2,0.21,0.23,0.24,0.23
