日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015/01/01,花蓮,AMB_TEMP,18,18,17,17,17,17,16,16,16,16,16,16,15,15,14,14,14,14,14,13,13,13,13,14
2015/01/01,花蓮,CO,0.39,0.59,0.62,0.68,0.62,0.53,0.49,0.46,0.45,0.47,0.5,0.51,0.51,0.47,0.43,0.4,0.38,0.38,0.35,0.32,0.33,0.37,0.43,0.27
2015/01/01,花蓮,NO,0.6,0.7,0.8,0.2,0.3,0.2,0.1,0.3,0.8,1.8,2,1.7,1.7,0.8,0.8,0.6,0.6,0.5,0.5,0.5,0.5,0.6,1.1,0.7
2015/01/01,花蓮,NO2,9.9,18,14,13,16,11,6.8,9.3,9.8,17,18,15,17,12,14,13,11,12,10,9.3,9.6,10,15,9.8
2015/01/01,花蓮,NOx,10,18,15,14,16,11,6.9,9.6,11,19,20,17,19,13,15,13,12,13,11,9.8,10,11,16,10
2015/01/01,花蓮,O3,53,39,39,37,34,40,43,39,39,34,36,40,39,46,41,44,43,39,39,38,37,35,26,33
2015/01/01,花蓮,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/01,花蓮,PM10,56,93,126,138,144,133,121,114,103,98,95,95,94,89,81,75,67,67,66,54,48,46,51,51
2015/01/01,花蓮,PM2.5,21,39,51,59,67,56,45,38,37,34,34,38,37,36,29,25,24,20,20,20,13,12,17,12
2015/01/01,花蓮,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/01,花蓮,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/01,花蓮,RH,55,62,62,62,60,55,54,55,53,52,52,53,54,55,57,56,54,53,53,51,50,50,56,51
2015/01/01,花蓮,SO2,3.4,7.2,7.1,6.6,5.4,4.3,4.2,4,3.8,4.2,4.4,4.4,4.1,3.9,3.2,2.9,2.6,2.4,2.3,2.3,2.3,2.4,2.9,2.4
2015/01/01,花蓮,WD_HR,59,62,62,60,68,57,59,61,59,65,64,60,66,56,64,61,57,56,55,55,57,41,313,338
2015/01/01,花蓮,WIND_DIREC,61,65,56,56,62,60,61,64,62,67,66,54,65,53,68,59,62,54,54,58,58,311,309,301
2015/01/01,花蓮,WIND_SPEED,2.9,4,4.1,3.8,4.3,4.5,4.5,4.3,3.8,3.5,4,4.5,4.8,3.5,4.5,4.3,3.9,3.9,3.8,4.3,3.3,2.2,1.4,1.9
2015/01/01,花蓮,WS_HR,2.1,3.8,3.4,3.7,3.8,4.1,4,3.8,3.8,3.5,3.8,3.8,3.3,3.5,3.6,3.4,3.5,3.3,3.1,3.5,3.2,1.6,1.3,0.7
2015/01/02,花蓮,AMB_TEMP,13,14,13,13,13,13,13,13,13,14,16,16,16,17,16,16,16,16,16,16,15,15,15,14
2015/01/02,花蓮,CO,0.29,0.26,0.24,0.21,0.26,0.27,0.34,0.44,0.38,0.46,0.34,0.33,0.32,0.3,0.31,0.39,0.45,0.57,0.56,0.5,0.52,0.63,0.68,0.46
2015/01/02,花蓮,NO,0.4,0.1,0.3,0.1,0.4,0.3,0.8,1.4,2.4,3.2,2.8,3.1,2.4,1.5,1,1,1.3,2.2,3.2,2.6,2.9,5,5,1.9
2015/01/02,花蓮,NO2,9.2,7.1,6.4,5.8,6.5,7.2,10,11,11,14,11,13,9.7,8.1,8.2,11,16,22,25,24,25,25,22,16
2015/01/02,花蓮,NOx,9.6,7.2,6.8,5.9,6.8,7.5,11,13,13,17,14,16,12,9.5,9.2,12,18,24,28,27,28,30,27,17
