日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015/01/01,苗栗,AMB_TEMP,13,15,15,14,14,14,14,13,14,15,16,17,16,16,16,15,14,13,12,12,11,11,12,11
2015/01/01,苗栗,CO,0.63,0.65,0.7,0.68,0.61,0.59,0.55,0.51,0.49,0.52,0.5,0.49,0.47,0.44,0.4,0.38,0.37,0.4,0.38,0.37,0.32,0.3,0.25,0.22
2015/01/01,苗栗,NO,8.5,1.9,1.8,0.7,0.6,1,1.3,1.3,1.5,2.1,2.1,2.1,1.8,1.6,1.4,1.4,1.4,1.5,1.7,1.4,1.2,1.3,0.9,0.7
2015/01/01,苗栗,NO2,29,13,12,11,11,11,12,11,11,11,10,10,10,9.9,9.5,9.5,10,12,12,11,10,9.5,8.6,7.8
2015/01/01,苗栗,NOx,37,15,13,12,11,12,13,12,13,13,12,12,12,11,11,11,12,14,13,13,11,11,9.5,8.5
2015/01/01,苗栗,O3,13,36,37,37,37,36,34,34,36,39,41,44,48,50,50,48,42,36,35,33,35,34,33,33
2015/01/01,苗栗,PM10,59,128,152,143,134,119,104,94,93,100,103,95,88,83,82,70,62,57,57,44,45,37,38,34
2015/01/01,苗栗,PM2.5,25,45,67,74,67,57,49,38,37,38,38,38,37,36,32,30,28,23,19,12,8,8,8,8
2015/01/01,苗栗,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/01,苗栗,RH,72,67,65,65,64,63,64,63,58,50,46,43,41,40,40,43,48,50,52,54,53,54,55,57
2015/01/01,苗栗,SO2,2.5,8.4,9.6,8.9,8.6,8.3,7,6.2,6.4,6.1,5.7,5.1,4.7,4.1,3.5,3.1,3,2.9,3,3,2.8,2.9,3,3.3
2015/01/01,苗栗,UVB,0,0,0,0,0,0,0,0.3,1,2.5,3.9,4.9,4.9,3.9,2.5,1.1,0.3,0,0,0,0,0,0,0
2015/01/01,苗栗,WD_HR,48,54,49,53,54,53,54,50,54,56,56,58,54,56,56,54,57,60,53,59,50,51,51,51
2015/01/01,苗栗,WIND_DIREC,64,48,55,54,60,55,54,54,57,59,58,58,53,52,62,51,61,60,51,55,47,56,46,52
2015/01/01,苗栗,WIND_SPEED,2.5,3.4,3.8,3.9,4,5.5,4.8,4.7,5.2,5.7,5.8,6,6.8,7.3,6.2,5.8,5.5,4.6,4.7,4.6,3.6,3.5,3.6,3.9
2015/01/01,苗栗,WS_HR,0.9,2.5,2.9,3.3,3.2,4.3,4,3.9,4.5,5.4,5.3,5.4,5.8,5.7,5.9,5.3,4.9,4.3,3.7,3.4,3.2,2.9,3.1,3.4
2015/01/02,苗栗,AMB_TEMP,11,11,11,12,11,11,11,11,12,14,15,17,18,18,19,18,17,16,15,14,14,13,12,12
2015/01/02,苗栗,CO,0.21,0.2,0.2,0.2,0.21,0.25,0.39,0.55,0.47,0.34,0.34,0.35,0.34,0.31,0.34,0.33,0.41,0.52,0.48,0.51,0.58,0.69,0.55,0.67
2015/01/02,苗栗,NO,0.5,0.4,0.3,0.6,0.5,0.7,0.8,2.8,5.8,3.3,3,3.1,2.8,1.8,2,1.9,2.2,2.5,3,3.4,3.8,7.1,4.2,12
2015/01/02,苗栗,NO2,7.7,7,7.1,6.7,6.4,7.7,15,21,20,10,10,11,10,8.3,10,11,16,21,21,22,23,28,25,27
2015/01/02,苗栗,NOx,8.2,7.5,7.4,7.3,6.9,8.4,16,23,26,13,13,14,13,10,12,13,18,23,24,25,27,35,29,39
2015/01/02,苗栗,O3,32,33,34,33,34,31,23,19,20,30,33,36,40,44,42,39,33,25,21,20,17,11,10,2
2015/01/02,苗栗,PM10,35,32,37,28,33,38,48,50,48,39,44,46,53,51,49,50,50,50,55,48,45,54,35,42
2015/01/02,苗栗,PM2.5,10,11,14,16,16,14,14,16,18,23,23,24,25,24,21,18,18,19,22,20,21,27,25,16
2015/01/02,苗栗,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/02,苗栗,RH,58,59,59,60,61,64,66,66,63,56,51,48,47,46,46,46,49,53,56,60,62,64,68,74
2015/01/02,苗栗,SO2,3.8,3.9,4,4.5,2.5,4,7.2,4.8,7.1,2.8,2.5,2.5,2.7,2.4,2.5,3,3.1,4.8,3.7,4.4,5.4,6.6,2.9,2.1
2015/01/02,苗栗,UVB,0,0,0,0,0,0,0,0.2,1,2.3,3.7,4.2,4,3.7,2.4,1.1,0.2,0,0,0,0,0,0,0
2015/01/02,苗栗,WD_HR,50,51,48,48,50,44,39,38,50,70,65,65,58,51,53,54,50,47,48,45,43,42,59,51
2015/01/02,苗栗,WIND_DIREC,54,47,47,50,53,42,36,28,59,66,69,57,55,53,48,52,53,50,53,40,43,52,60,59
2015/01/02,苗栗,WIND_SPEED,3.1,2.2,2.3,2.2,2.2,2.3,1.2,1.5,2.4,3.3,3.5,3.5,3.8,3.8,3.4,3.7,3.1,2.6,2.5,2.2,1.8,1.1,0.8,0.7
2015/01/02,苗栗,WS_HR,2.8,2.3,2.1,2.1,2.1,1.8,1.2,0.8,1.5,3.1,3,2,2.6,2.5,2.8,3.3,2.7,2.3,2.2,2,1.3,1.1,0.8,0.6
2015/01/03,苗栗,AMB_TEMP,11,11,10,9.9,9.9,10,10,10,12,13,16,18,19,20,20,19,19,18,17,16,15,15,14,14
