日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015/01/01,豐原,AMB_TEMP,12,12,13,12,11,11,11,11,13,14,16,17,17,17,17,16,14,12,12,11,11,10,9.8,9.7
2015/01/01,豐原,CH4,1.7,1.7,1.7,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
2015/01/01,豐原,CO,0.45,0.36,0.28,0.27,0.28,0.34,0.46,0.54,0.52,0.48,0.44,0.44,0.47,0.44,0.42,0.42,0.42,0.43,0.4,0.35,0.32,0.33,0.31,0.28
2015/01/01,豐原,NMHC,0.14,0.13,0.07,0.07,0.09,0.08,0.08,0.09,0.1,0.08,0.08,0.1,0.08,0.07,0.07,0.08,0.09,0.1,0.09,0.06,0.05,0.06,0.05,0.05
2015/01/01,豐原,NO,1.4,1.3,1.2,0.6,0.8,0.6,0.9,0.9,1.3,1.5,1.5,1.3,1.2,1.2,1,0.9,1.5,1,0.8,0.7,0.7,0.6,0.9,0.6
2015/01/01,豐原,NO2,12,8.7,5.4,5.5,6.1,6.8,6.5,7.9,8.3,7.5,6.2,6.4,7,7.1,7.4,8,9.6,13,11,8.3,6.3,7,6.1,4.8
2015/01/01,豐原,NOx,14,10,6.6,6.2,6.9,7.5,7.4,8.8,9.5,9,7.7,7.7,8.2,8.2,8.4,8.9,11,14,11,8.9,7,7.6,6.9,5.4
2015/01/01,豐原,O3,20,25,35,33,25,27,30,30,33,36,43,48,50,53,54,52,45,37,36,35,36,33,33,33
2015/01/01,豐原,PM10,43,42,30,31,35,35,46,60,72,74,68,70,66,62,77,70,78,57,76,75,63,35,32,30
2015/01/01,豐原,PM2.5,23,19,11,5,0,0,3,17,19,27,29,39,36,33,32,37,42,40,34,23,18,12,12,7
2015/01/01,豐原,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/01,豐原,RH,81,77,67,67,73,73,71,69,59,54,49,43,41,39,40,43,47,53,56,58,58,59,60,60
2015/01/01,豐原,SO2,1.3,1.1,1.3,1.5,1.3,1.9,2.7,3.1,3.3,3,3.6,4.3,4.7,4.5,4,4,3.5,3.1,3.4,2.8,2.6,2.6,2.5,2.3
2015/01/01,豐原,THC,1.9,1.9,1.8,1.8,1.8,1.8,1.9,1.9,1.9,1.8,1.8,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
2015/01/01,豐原,WD_HR,95,94,61,61,68,69,71,79,54,68,353,299,66,91,97,89,85,78,80,68,64,75,82,75
2015/01/01,豐原,WIND_DIREC,110,107,85,55,72,78,63,97,72,332,308,296,84,123,105,82,94,66,79,61,70,88,78,74
2015/01/01,豐原,WIND_SPEED,1.3,4.1,1.3,2.4,1.7,1.9,1.8,3.3,2.6,2.2,2.2,3.7,3.1,2.7,2.9,2.3,2,2.7,2.7,2.9,1.4,1.8,2.1,2
2015/01/01,豐原,WS_HR,1.5,2,0.9,1.2,1,0.9,1.3,1.8,1.1,1,0.6,1.7,0.7,1.3,1.1,1.4,1,1.1,1.6,2.1,1.7,0.9,1.3,1.1
2015/01/02,豐原,AMB_TEMP,9.5,9.5,9.9,9.9,9.9,10,9.7,10,11,13,15,16,17,17,18,18,17,15,14,14,14,13,12,12
2015/01/02,豐原,CH4,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.8,1.7,1.8,1.7,1.8,1.8
2015/01/02,豐原,CO,0.26,0.24,0.23,0.22,0.21,0.22,0.24,0.42,0.4,0.34,0.29,0.37,0.38,0.36,0.38,0.35,0.35,0.44,0.54,0.39,0.43,0.42,0.44,0.4
2015/01/02,豐原,NMHC,0.04,0.04,0.03,0.03,0.03,0.04,0.05,0.12,0.13,0.12,0.09,0.11,0.09,0.08,0.1,0.08,0.13,0.16,0.2,0.13,0.16,0.12,0.11,0.09
2015/01/02,豐原,NO,0.4,0.7,1,1.7,1.1,1.3,1.3,3.2,5.3,5,3.8,4.4,4.1,3.7,2.8,2,1.7,1.3,1.8,1.3,1.5,1.9,1.3,1.3
2015/01/02,豐原,NO2,3.7,3.2,2.7,2.9,3,3.7,5.7,13,14,13,10,15,15,16,17,15,13,17,20,14,15,13,11,9
2015/01/02,豐原,NOx,4.1,3.9,3.6,4.5,4.1,5,7,16,20,18,14,19,20,19,20,17,15,18,21,16,17,14,13,10
2015/01/02,豐原,O3,34,33,34,34,33,32,27,19,17,23,29,34,38,43,47,50,43,33,26,30,24,24,24,28
2015/01/02,豐原,PM10,44,43,43,42,20,18,8,25,39,40,40,20,54,37,64,50,73,66,63,65,53,52,41,47
2015/01/02,豐原,PM2.5,10,6,6,4,3,3,3,0,6,10,10,15,23,33,34,30,21,16,18,31,36,34,26,27
2015/01/02,豐原,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/02,豐原,RH,59,58,57,57,56,57,61,60,61,53,49,46,44,45,46,48,51,55,62,58,62,68,73,74
2015/01/02,豐原,SO2,1.5,1.6,1.4,1.4,1.3,1.5,1.5,1.7,2.1,2,2.7,4.4,5.7,5.4,5.4,4.3,2.7,2.5,2.4,2.4,2.4,2.3,2.3,2.4
2015/01/02,豐原,THC,1.8,1.8,1.8,1.7,1.8,1.8,1.8,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.9,2,1.9,1.9,1.9,1.9,1.8
2015/01/02,豐原,WD_HR,63,58,65,62,61,61,58,56,65,14,317,268,264,295,296,322,319,66,82,76,107,114,112,112
2015/01/02,豐原,WIND_DIREC,65,59,67,70,55,81,62,61,70,312,10,340,255,303,329,304,24,108,30,84,117,122,105,112
