日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015/01/01,關山,AMB_TEMP,13,13,12,13,14,13,13,13,15,15,15,15,16,16,16,15,14,13,13,12,12,12,12,12
2015/01/01,關山,NO,2.5,1.8,1.5,1.9,1.8,1.9,1.9,2,2.1,2.2,2.5,2.4,2.3,1.9,2,2,2.4,2.5,2.1,2,2.5,1.9,2,2.1
2015/01/01,關山,NO2,2.4,2.5,3,1.4,2.3,2.6,3.6,4.4,5.9,7.7,8.2,8,5.9,4.9,7.1,7,7.8,7.9,8.8,7.2,5.9,5.8,4.6,4
2015/01/01,關山,NOx,4.9,4.3,4.5,3.3,4.1,4.5,5.6,6.4,8,9.9,11,10,8.2,6.9,9.2,9,10,10,11,9.2,8.4,7.7,6.6,6.1
2015/01/01,關山,O3,33,33,33,35,38,33,30,29,34,35,37,39,44,46,43,44,43,44,41,41,40,38,38,37
2015/01/01,關山,PM10,35,32,28,28,35,43,42,56,76,89,95,94,88,94,97,93,89,84,77,66,62,61,55,51
2015/01/01,關山,PM2.5,18,17,17,17,22,26,27,31,39,46,48,46,39,37,38,39,34,33,34,27,25,26,24,21
2015/01/01,關山,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/01,關山,RH,79,78,79,75,69,74,77,76,70,67,64,60,57,56,59,64,66,68,71,71,70,70,69,69
2015/01/01,關山,SO2,1.2,1.4,1.3,1.5,2.5,2.1,2.2,2.6,3.3,3.3,3.4,3.3,3.2,3.2,3.1,3.2,3.2,3.1,2.5,2.3,2.3,2.2,2.1,2.1
2015/01/01,關山,WD_HR,327,311,322,357,42,5.5,335,38,60,61,62,61,64,66,65,61,62,65,63,62,58,50,46,60
2015/01/01,關山,WIND_DIREC,315,322,278,66,317,325,321,72,68,59,62,60,64,60,63,57,61,68,65,63,63,49,67,55
2015/01/01,關山,WIND_SPEED,1,1,1.1,2,0.8,1.2,1.2,2,2.3,2.4,2.7,3,3.3,2.9,3.9,3.7,2.9,3,2.2,2.4,1.7,1.4,2.2,1.6
2015/01/01,關山,WS_HR,0.6,0.7,0.5,0.3,0.8,0.4,0.4,0.7,1.1,1.5,2.3,2.6,2.5,2.4,2.7,3.1,2.6,2.9,2.4,2.3,1.6,0.9,0.7,1.3
2015/01/02,關山,AMB_TEMP,12,12,12,11,12,11,12,12,12,13,13,14,14,15,15,15,14,14,14,13,14,13,14,13
2015/01/02,關山,NO,2.1,1.5,1.9,1.2,1.6,1.8,1.6,1.7,3.3,2.6,2.6,2.5,2.8,2.7,2.5,2.6,2.6,2.4,2.2,1.6,2.1,2,1.5,1.8
2015/01/02,關山,NO2,3.6,3.3,3.1,3,2.7,3.7,4,5.2,11,8.5,7.5,6.8,7.6,7.3,10,9.9,11,10,10,7.1,8,5.8,4.8,4.2
2015/01/02,關山,NOx,5.7,4.8,5,4.2,4.3,5.5,5.6,6.8,14,11,10,9.3,10,10,13,13,14,13,12,8.7,10,7.8,6.3,6.1
2015/01/02,關山,O3,35,35,35,32,33,30,31,31,24,26,29,30,31,34,30,29,26,26,25,24,25,28,30,29
2015/01/02,關山,PM10,50,48,44,40,38,37,37,42,49,44,37,37,33,29,32,35,40,43,43,40,37,34,37,38
2015/01/02,關山,PM2.5,19,18,19,20,19,20,22,19,22,23,19,18,20,18,16,15,14,18,21,19,18,17,18,16
2015/01/02,關山,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/02,關山,RH,70,68,68,71,69,69,67,65,66,64,60,58,55,52,56,58,62,64,65,69,68,68,67,68
2015/01/02,關山,SO2,2.4,1.9,1.8,1.6,1.5,1.5,1.5,1.5,1.5,1.4,1.4,1.4,1.4,1.4,1.3,1.4,1.5,1.5,1.5,1.4,1.5,1.5,1.5,1.4
2015/01/02,關山,WD_HR,47,58,40,46,33,52,52,39,55,51,59,61,66,61,61,56,53,60,48,2.8,49,47,46,47
2015/01/02,關山,WIND_DIREC,43,77,18,44,66,6.3,27,41,39,65,62,66,74,67,58,50,53,51,354,28,338,62,33,49
2015/01/02,關山,WIND_SPEED,1.5,1.7,1.1,1.2,1.7,1.2,1.2,1.2,1.3,1.4,1.7,1.4,1.6,2.2,2,1.8,2.2,1.5,0.8,1.1,1.2,1.8,1.4,1.5
2015/01/02,關山,WS_HR,0.8,1.1,0.6,0.7,0.5,0.8,0.5,0.7,1,0.8,1.2,1.1,1.7,1.7,2,1.6,1.2,1,0.7,0.4,0.6,0.8,0.8,0.8
2015/01/03,關山,AMB_TEMP,13,13,12,11,11,11,11,12,13,15,17,18,19,19,19,19,18,17,16,15,15,14,13,12
2015/01/03,關山,NO,1.4,1.6,1.6,1.3,1.4,1.6,1.6,3.4,4.4,3.4,1.8,1.9,1.4,1.3,1.6,1.6,1.5,1.5,1.6,1.5,1.5,1.1,1.3,1
2015/01/03,關山,NO2,3.8,2.6,2.5,0.6,2.4,2.1,1.9,6.5,6.4,4.6,2.8,1.6,0.8,0.5,2.1,3.1,3.5,3.2,7.3,9,6.7,4.1,4,2.6
2015/01/03,關山,NOx,5.2,4.1,4.1,1.9,3.8,3.6,3.5,9.9,11,8,4.5,3.5,2.2,1.9,3.7,4.7,5,4.7,8.9,10,8.2,5.2,5.3,3.6
2015/01/03,關山,O3,26,23,21,17,13,13,14,11,14,24,36,37,39,39,40,39,39,34,25,19,21,23,20,19
2015/01/03,關山,PM10,35,32,27,26,20,18,21,22,33,34,27,21,20,22,21,24,27,27,31,29,33,33,28,23
2015/01/03,關山,PM2.5,15,18,17,12,12,15,15,13,17,22,17,11,9,11,11,10,12,15,15,16,17,15,15,13
2015/01/03,關山,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/03,關山,RH,70,72,77,84,84,84,84,81,76,65,55,46,43,43,44,48,57,66,71,76,77,80,83,87
2015/01/03,關山,SO2,1.1,1.3,1.2,1.1,1.2,1.2,1.2,1.3,1.4,1.5,1.4,1.3,1.3,1.3,1.3,1.4,1.3,1.4,1.4,1.4,1.4,1.4,1.2,1.2
2015/01/03,關山,WD_HR,34,23,43,329,359,339,335,24,71,79,31,72,223,215,202,192,208,262,358,357,11,311,330,334
2015/01/03,關山,WIND_DIREC,11,39,272,352,351,326,344,48,95,59,55,64,232,213,213,181,235,261,39,8.5,29,315,313,314
2015/01/03,關山,WIND_SPEED,1.5,1.1,0.7,0.7,0.5,0.6,0.6,0.6,1,1.5,1.4,1.2,1.8,2,1.2,1.8,1.5,1.3,1.1,0.5,0.8,0.7,0.7,0.6
2015/01/03,關山,WS_HR,0.7,0.7,0.4,0.5,0.4,0.5,0.5,0.5,0.6,1.1,0.4,0.7,0.5,1.8,1.1,1.6,1.4,1.1,0.2,0.5,0.5,0.4,0.3,0.5
2015/01/04,關山,AMB_TEMP,12,11,11,11,10,11,11,12,13,15,17,20,22,21,22,21,20,19,19,18,18,17,17,17
2015/01/04,關山,NO,1.5,1.6,1.5,1.8,1.8,1.9,2.7,4.1,4.1,3.7,2.6,2.4,1.8,2,1.8,2.2,1.6,1.9,1.9,1.6,2.3,1.5,2,1.9
2015/01/04,關山,NO2,4.5,2.3,1.7,2.6,1.6,3.2,5.6,7.2,6.1,5.8,3.1,2.3,1.2,3,2.6,3.3,2.8,2.7,2.8,6.9,7.7,6.3,6.2,5.4
2015/01/04,關山,NOx,6,3.9,3.2,4.4,3.4,5,8.3,11,10,9.6,5.7,4.7,3,5,4.4,5.5,4.4,4.6,4.7,8.6,10,7.8,8.2,7.3
2015/01/04,關山,O3,14,16,14,14,15,12,11,12,14,16,25,34,39,38,38,37,36,35,26,21,16,15,14,12
2015/01/04,關山,PM10,23,22,21,24,21,18,24,29,32,28,23,20,17,21,22,22,23,22,24,26,31,24,18,20
2015/01/04,關山,PM2.5,13,12,12,13,15,13,12,12,13,14,13,11,9,9,8,8,9,10,11,12,15,13,11,12
2015/01/04,關山,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/04,關山,RH,88,90,90,91,91,90,89,86,81,74,59,50,49,52,54,57,62,66,71,75,79,82,83,84
2015/01/04,關山,SO2,1.2,1.1,1.1,1.1,1.1,1.2,1.4,1.3,1.2,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3
2015/01/04,關山,WD_HR,36,312,1.8,332,297,41,68,19,331,177,108,199,209,195,184,186,212,230,264,211,354,323,12,49
2015/01/04,關山,WIND_DIREC,333,281,266,34,264,123,104,84,306,118,160,200,214,178,190,170,217,283,241,5.9,346,339,309,349
2015/01/04,關山,WIND_SPEED,0.7,0.8,0.6,0.5,0.5,0.7,0.7,0.9,0.6,0.8,1,2.1,2.4,2.1,2.2,1.4,1.8,0.9,1.1,0.5,0.7,0.7,0.5,0.5
2015/01/04,關山,WS_HR,0.5,0.5,0.3,0.4,0.4,0.1,0.4,0.3,0.2,0.6,0.6,1.2,2.3,1.6,1.9,1.7,1.6,1.1,1.1,0.3,0.4,0.4,0.3,0.4
2015/01/05,關山,AMB_TEMP,16,16,16,16,16,16,16,16,17,18,19,22,23,23,22,22,21,21,20,19,19,19,18,18
2015/01/05,關山,NO,1.7,1.9,1.9,2.7,2.4,2.6,2.9,7.8,5.7,4.3,4.2,2.8,2.3,2.1,2.4,2.6,2.4,2.4,2.7,2.5,2.4,2.6,2.2,2.5
2015/01/05,關山,NO2,6.2,4.2,3.8,3.7,2.5,4.1,5.3,9.1,7.5,5.8,4.7,2,1.5,1.6,1.7,4.1,3.9,3.2,6.4,2.4,1.9,6.5,4.2,3.6
2015/01/05,關山,NOx,7.9,6.1,5.6,6.3,4.9,6.7,8.3,17,13,10,8.8,4.8,3.8,3.7,4,6.7,6.3,5.6,9,4.9,4.3,9.1,6.3,6.1
2015/01/05,關山,O3,9.8,12,11,9.7,10,8.9,6.3,5.1,10,13,22,33,36,35,33,33,31,33,26,26,20,17,17,15
2015/01/05,關山,PM10,23,24,22,18,17,22,22,24,27,24,21,18,17,20,23,22,27,29,24,20,12,10,9,12
2015/01/05,關山,PM2.5,12,11,10,12,11,7,8,12,12,12,12,11,8,9,9,6,7,11,11,9,8,7,6,6
2015/01/05,關山,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/05,關山,RH,85,86,87,87,87,86,88,85,79,76,66,58,56,57,61,65,68,70,80,84,86,86,88,87
2015/01/05,關山,SO2,1.2,1.1,1.1,1.1,1.1,1.1,1.2,1.4,1.5,1.2,1.2,1.2,1.1,1.2,1.1,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.1
2015/01/05,關山,WD_HR,4.4,40,42,56,33,43,350,57,96,92,83,132,212,248,221,191,209,220,215,230,265,26,329,297
2015/01/05,關山,WIND_DIREC,19,349,115,64,70,26,359,108,228,108,90,125,190,258,197,200,216,242,231,240,281,11,329,21
2015/01/05,關山,WIND_SPEED,0.6,0.7,0.6,1,0.7,0.6,0.5,0.9,0.8,0.6,1.8,1,1.4,1.9,2.3,1.9,1.5,1,1.2,1,0.6,0.5,0.5,0.4
2015/01/05,關山,WS_HR,0.2,0.6,0.3,0.4,0.4,0.5,0.4,0.2,0.5,0.1,1.2,0.3,0.9,1.5,2.1,2.1,1.5,1.1,0.9,0.9,0.9,0.4,0.5,0.2
2015/01/06,關山,AMB_TEMP,18,17,17,17,18,17,17,18,19,21,23,24,26,26,24,23,22,22,21,20,20,20,20,20
2015/01/06,關山,NO,2.2,2.5,2.2,0.2,0.4,0.8,1.5,6.6,2.8,1.6,0.6,-0.3*,0.4,-0.1*,-0.3*,0.2,0.1,0.7,0.1,0.2,1.2,2.5,1.8,1.9
2015/01/06,關山,NO2,3.9,2.7,2.8,3.2,4.1,5.5,5.8,7.1,4.4,3.5,1.7,1.9*,1.4,2*,1.3*,2.7,2.4,6.7,4.3,2.8,5,6.7,5.3,4.4
2015/01/06,關山,NOx,6.1,5.2,5,3.4,4.5,6.2,7.3,14,7.2,5.1,2.3,1.6*,1.8,1.9*,1.1*,2.9,2.5,7.4,4.4,3,6.2,9.2,7.2,6.2
2015/01/06,關山,O3,12,14,11,10,7.4,5,4.9,5.9,14,19,24,28,32,32,32,31,27,23,23,25,19,18,20,30
2015/01/06,關山,PM10,17,15,13,17,18,18,17,21,22,17,15,11,10,12,16,27,27,18,16,15,17,22,21,24
2015/01/06,關山,PM2.5,5,6,9,8,6,6,8,10,10,7,6,4,3,6,8,15,16,9,9,10,10,10,9,9
2015/01/06,關山,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/06,關山,RH,89,90,89,89,90,90,91,88,79,65,55,52,45,49,63,68,71,76,84,86,81,80,78,81
2015/01/06,關山,SO2,1.1,1.2,1.2,1.2,1.2,1.2,1.3,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.7,1.3,1.3,1.3,1.2,1.3,1.4,1.6,2
