日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015/01/01,馬祖,AMB_TEMP,13,13,12,12,11,11,11,11,11,11,11,11,11,11,11,10,10,10,9.9,9.9,9.9,9.7,9.5,9.4
2015/01/01,馬祖,CO,0.73,0.68,0.65,0.66,0.67,0.66,0.65,0.64,0.63,0.6,0.54,0.47,0.41,0.33,0.35,0.32,0.31,0.33,0.32,0.3,0.28,0.29,0.28,0.28
2015/01/01,馬祖,NO,2.9,2.8,2.4,0.9,0.6,1.1,0.6,1.9,1.7,2.5,1.9,2.3,2,1.8,1.3,1.5,1.1,1,1.2,0.8,1.3,1,0.8,1.2
2015/01/01,馬祖,NO2,13,12,12,11,11,11,11,12,12,13,11,9,7.3,6.4,6.1,6.2,5.8,7.6,6.7,7,6.5,6.5,6.2,6
2015/01/01,馬祖,NOx,16,15,14,12,12,12,12,14,14,15,13,11,9.3,8.1,7.4,7.8,7,8.6,7.9,7.8,7.8,7.5,7,7.2
2015/01/01,馬祖,O3,35,34,33,31,30,29,28,27,30,33,37,41,45,47,51,52,52,51,49,45,43,42,40,39
2015/01/01,馬祖,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/01,馬祖,PM10,197,187,176,169,174,175,164,161,161,150,133,116,104,83,72,72,68,70,76,73,65,62,65,61
2015/01/01,馬祖,PM2.5,84,83,79,78,78,77,75,75,72,66,58,51,44,33,27,29,28,27,28,27,24,23,24,22
2015/01/01,馬祖,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/01,馬祖,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/01,馬祖,RH,68,66,66,64,65,65,66,63,60,56,53,50,49,44,47,50,51,54,55,56,57,55,53,55
2015/01/01,馬祖,SO2,10,10,9.5,9.9,9.9,9.4,9,9.5,9.8,9.4,8.5,7.3,5.9,4.5,4.8,4.8,4.2,4.6,4.5,4.4,4.4,4.7,4.5,4.7
2015/01/01,馬祖,WD_HR,54,52,57,58,56,55,60,54,57,59,55,53,52,56,51,49,51,54,53,56,55,55,63,61
2015/01/01,馬祖,WIND_DIREC,50,54,60,57,48,50,63,56,58,61,64,55,51,56,48,47,55,53,50,61,56,54,63,66
2015/01/01,馬祖,WIND_SPEED,5.1,5.2,4.9,5.3,4.6,4.6,4.1,5.1,5.2,4.9,4.9,5.4,5.3,5.1,5.8,6.1,4.5,4.7,5.1,3.8,4.3,4.2,3.9,3.4
2015/01/01,馬祖,WS_HR,4.2,4.6,4.3,4.3,4,3.9,4,4.3,4.5,4.2,5.3,5.1,5.3,4.7,5.3,5.4,5,4.2,4.4,3.6,3.7,3,2.6,2.5
2015/01/02,馬祖,AMB_TEMP,9.3,9.1,9,8.9,8.8,8.7,8.6,9,9.6,10,11,11,11,11,11,11,11,11,11,11,11,11,11,10
2015/01/02,馬祖,CO,0.27,0.27,0.27,0.27,0.29,0.29,0.31,0.33,0.33,0.34,0.33,0.35,0.34,0.32,0.31,0.29,0.3,0.28,0.27,0.27,0.26,0.25,0.25,0.26
2015/01/02,馬祖,NO,0.9,0.4,0.5,0.4,0.4,0.5,0.9,1.5,1.8,2.2,2.4,2.4,2.2,1.9,1.7,1.4,1.3,1.6,0.4,0.6,0.3,0.7,0.8,0.8
2015/01/02,馬祖,NO2,5.6,6.3,5.8,5.4,5.7,5.8,6.5,7.8,7.6,7.8,7.5,7.8,7,7.4,6.3,7.2,7,7.1,5.7,5.8,5.2,5.3,5.3,5.1
2015/01/02,馬祖,NOx,6.5,6.7,6.3,5.8,6.1,6.2,7.4,9.3,9.4,10,9.9,10,9.2,9.3,8,8.6,8.4,8.7,6.1,6.4,5.5,6.1,6.1,5.8
2015/01/02,馬祖,O3,38,36,36,35,33,32,31,31,32,35,38,42,46,47,47,46,47,46,46,45,45,44,43,43
