日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015/01/01,龍潭,AMB_TEMP,14,14,14,13,13,13,12,12,13,14,14,14,14,14,13,13,12,11,11,11,11,11,11,11
2015/01/01,龍潭,CO,0.69,0.72,0.69,0.64,0.54,0.47,0.45,0.48,0.51,0.54,0.54,0.5,0.47,0.38,0.36,0.35,0.34,0.37,0.34,0.29,0.26,0.22,0.19,0.18
2015/01/01,龍潭,NO,0.3,0.1,0.6,2,2,1.9,2.2,3.1,3.7,4.3,4.3,4.5,3.3,4.1,3.1,3.6,3.6,2.8,2.8,2.5,2.2,1.4,2.1,2
2015/01/01,龍潭,NO2,11,9.6,8.7,9.1,9.6,9.9,11,13,11,12,12,11,11,9.9,9.9,10,11,13,11,10,8.2,7.3,6.5,5.5
2015/01/01,龍潭,NOx,11,9.7,9.3,11,12,12,13,17,15,16,16,16,14,14,13,14,15,16,14,13,10,8.7,8.6,7.5
2015/01/01,龍潭,O3,44,43,43,44,41,39,38,34,37,37,39,44,47,49,48,44,39,37,37,39,39,38,38,39
2015/01/01,龍潭,PM10,106,138,152,152,143,128,115,106,102,105,108,114,108,96,82,74,72,72,70,60,50,37,38,40
2015/01/01,龍潭,PM2.5,46,71,76,74,65,62,56,50,52,56,54,47,40,36,37,27,30,25,26,24,18,16,11,14
2015/01/01,龍潭,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/01,龍潭,RH,70,69,70,70,71,72,70,69,64,60,57,53,52,52,53,56,59,60,63,62,60,62,65,64
2015/01/01,龍潭,SO2,8.6,8.5,7.6,6.7,7.4,6.4,6.2,7.2,6.7,6.5,5.5,4.8,4.1,3.2,2.8,2.8,3.1,2.8,2.5,2,1.6,1.5,1.4,1.2
2015/01/01,龍潭,WD_HR,66,70,69,68,67,72,74,72,66,66,63,60,59,62,59,63,64,62,62,62,59,59,59,61
2015/01/01,龍潭,WIND_DIREC,67,70,68,67,66,75,75,73,68,64,59,59,65,62,60,68,60,61,62,61,59,63,65,58
2015/01/01,龍潭,WIND_SPEED,8.7,7.5,7.7,7.2,6.9,5.3,6.5,6.4,7,7.1,7.5,7.3,6.9,7.4,8,8.3,6.6,7.3,7.1,7,6.9,7.5,6.8,5.8
2015/01/01,龍潭,WS_HR,8,7.7,7.2,6.9,7,6.6,6.3,6.2,7.1,7,7.1,7.6,7.5,7.5,7.9,7.9,7.2,6.9,7.2,6.9,6.7,6.9,6.9,5.7
2015/01/02,龍潭,AMB_TEMP,11,11,11,11,11,11,11,11,13,14,15,16,16,16,16,16,15,14,13,13,13,12,12,12
2015/01/02,龍潭,CO,0.17,0.17,0.18,0.18,0.23,0.24,0.26,0.33,0.34,0.35,0.35,0.34,0.32,0.31,0.3,0.32,0.3,0.34,0.33,0.3,0.28,0.28,0.27,0.26
2015/01/02,龍潭,NO,2.2,1.6,1.7,1.8,2,1.9,2.5,3.4,4.5,5,4.6,4.6,4.3,4,4,3.6,3.6,3.1,2.7,2.6,2.9,2.3,1.9,2.2
2015/01/02,龍潭,NO2,5,5.4,5.1,5.1,5.6,7,7.5,9.6,9.7,9.5,7.8,7.4,7.1,7.1,7.9,9.2,11,13,12,10,9.2,8.5,8.8,9.2
2015/01/02,龍潭,NOx,7.2,7,6.8,6.9,7.6,9,10,13,14,14,12,12,11,11,12,13,14,16,15,13,12,11,11,11
2015/01/02,龍潭,O3,40,39,40,39,37,35,35,33,33,33,36,39,39,40,39,38,36,33,34,36,36,36,36,35
2015/01/02,龍潭,PM10,40,40,40,47,49,45,49,47,55,50,54,56,59,54,53,47,52,46,44,32,26,28,31,37
2015/01/02,龍潭,PM2.5,15,12,9,14,17,20,18,22,21,23,18,25,24,27,18,23,18,19,18,21,23,18,19,19
2015/01/02,龍潭,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/02,龍潭,RH,64,66,67,70,71,71,68,64,61,60,57,56,56,54,54,55,60,64,66,67,68,68,69,69
2015/01/02,龍潭,SO2,1.6,1.9,1.9,2.1,2,2.1,1.8,1.8,1.8,1.9,1.7,1.5,1.4,1.5,1.6,1.6,1.5,1.5,1.4,1.3,1.3,1.1,1.1,1.1
2015/01/02,龍潭,WD_HR,61,61,54,55,56,56,56,78,74,71,65,60,59,61,63,63,63,87,67,91,89,110,108,100
2015/01/02,龍潭,WIND_DIREC,63,61,56,53,55,56,57,117,57,73,66,61,60,56,62,55,70,78,86,101,102,115,103,102
2015/01/02,龍潭,WIND_SPEED,5.5,5.8,5.1,4.4,5.2,4.3,4.8,5.1,5.4,6.1,5.7,6.6,5.9,6,6.5,5.7,5.3,5.4,5.6,5.2,5.3,4.8,3.9,3.8
2015/01/02,龍潭,WS_HR,5.5,5.4,5,4.9,4.6,4.2,4.4,4,4.6,5.2,5.5,6.3,6.2,6,6,5.7,5.5,4.8,5.4,5,5.2,4.7,4.4,3.9
2015/01/03,龍潭,AMB_TEMP,12,12,12,12,12,12,11,12,13,15,17,19,20,21,21,20,19,18,17,16,15,15,14,14
2015/01/03,龍潭,CO,0.21,0.2,0.18,0.18,0.17,0.21,0.29,0.56,0.52,0.51,0.49,0.42,0.42,0.44,0.46,0.49,0.47,0.73,0.85,1.27,1.4,1.15,0.74,0.66
2015/01/03,龍潭,NO,2.2,2,2.3,3.2,0.8,0.7,1.8,6.2,8.1,11,11,9.6,2.8,1.9,1.1,0.2,2.8,4.4,13,38,45,32,6,2.1
2015/01/03,龍潭,NO2,6.4,5.6,5.1,5.5,4.6,8,14,22,20,19,19,18,12,11,12,14,24,36,40,40,36,37,35,29
2015/01/03,龍潭,NOx,8.6,7.6,7.4,8.7,5.4,8.7,16,28,28,30,30,27,15,13,14,15,27,40,54,78,81,68,41,31
2015/01/03,龍潭,O3,37,38,38,38,40,35,27,19,24,28,30,37,52,62,65,62,29,15,6.9,4.1,4.2,7.2,11,15
2015/01/03,龍潭,PM10,35,36,34,40,39,45,41,44,43,47,49,46,48,49,56,61,54,62,67,79,79,78,78,69
2015/01/03,龍潭,PM2.5,14,14,9,13,12,15,9,11,14,27,27,24,16,27,38,39,35,32,38,36,34,36,36,39
2015/01/03,龍潭,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/03,龍潭,RH,70,71,72,72,73,75,76,76,70,63,58,53,50,48,48,51,55,60,64,69,75,77,78,79
2015/01/03,龍潭,SO2,1.3,1.3,1.2,1.3,1,1,1.2,1.6,1.8,1.9,2,1.7,1.5,1.8,1.9,2.4,1.9,2.8,3.1,2.9,2.7,2.3,1.6,1.5
2015/01/03,龍潭,WD_HR,101,100,97,101,100,98,98,95,101,105,112,156,136,296,320,283,95,79,84,139,229,205,197,188
2015/01/03,龍潭,WIND_DIREC,98,100,98,101,98,89,96,86,102,99,120,180,144,309,324,310,80,35,90,142,217,207,200,193
2015/01/03,龍潭,WIND_SPEED,2.8,2.7,2.3,3.2,1.6,1.4,1.4,1.4,2.4,2.5,1.4,1.4,1.7,1.5,2.1,1.5,1.3,0.8,0.9,0.6,0.6,1,0.8,1.1
2015/01/03,龍潭,WS_HR,3.5,2.8,2,2.7,2.1,1.4,1.3,1.2,1.8,2.3,1.4,0.8,0.6,0.9,1.2,1,1.5,0.7,0.6,0.4,0.4,0.9,0.9,1
2015/01/04,龍潭,AMB_TEMP,14,13,13,13,13,13,13,13,15,18,20,22,22,22,21,20,20,18,17,17,16,16,16,15
2015/01/04,龍潭,CO,0.56,0.44,0.38,0.35,0.36,0.36,0.49,0.59,0.57,0.56,0.62,0.54,0.4,0.48,0.56,0.51,0.56,0.77,0.89,1.09,1.38,1.35,0.88,0.67
2015/01/04,龍潭,NO,1.4,0.6,1.3,0,0.2,0.8,3.1,7.7,6.6,4.4,3.2,1.3,1,1.8,1.4,0.7,0.5,0.5,1.5,5.6,27,29,7.3,3
2015/01/04,龍潭,NO2,23,13,11,8.1,9.1,9.9,17,19,14,14,14,11,9.5,15,19,17,20,32,37,48,46,41,31,25
2015/01/04,龍潭,NOx,24,14,12,8.1,9.2,11,20,27,21,18,17,12,11,17,20,18,21,32,39,54,73,71,39,28
2015/01/04,龍潭,O3,22,27,25,28,28,24,14,13,20,29,47,57,56,58,59,61,54,37,25,12,4.8,4,8.5,12
2015/01/04,龍潭,PM10,65,69,65,52,42,44,52,53,45,36,29,38,44,53,72,91,104,106,118,126,137,129,119,88
2015/01/04,龍潭,PM2.5,42,40,39,34,33,25,24,23,31,27,34,35,35,38,46,59,53,58,61,74,80,78,70,53
2015/01/04,龍潭,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/04,龍潭,RH,80,80,80,80,80,79,79,77,69,59,51,48,46,53,65,66,67,77,82,83,84,85,84,84
2015/01/04,龍潭,SO2,1.8,1.5,1.3,1.3,1.3,1.6,2.5,2.2,1.8,1.9,3,3.5,3.2,3.7,4.8,4.3,4.1,4,3.1,4.3,4.2,3.3,1.8,1.4
2015/01/04,龍潭,WD_HR,192,190,193,188,188,186,188,189,163,178,267,266,259,290,358,336,329,79,349,107,197,196,199,201
2015/01/04,龍潭,WIND_DIREC,193,189,191,187,191,189,184,197,169,225,323,247,259,5.2,330,321,14,87,95,243,211,189,219,196
2015/01/04,龍潭,WIND_SPEED,1.3,0.7,1.3,1.3,1.3,1.4,1.3,1.2,0.8,0.9,1.3,2,3.3,3.4,2.2,2,1.5,1,1,0.7,0.6,0.9,0.6,1.1
2015/01/04,龍潭,WS_HR,1,1,1.2,1.4,1.4,1.6,1,1.2,1.3,0.6,0.6,1.1,2.5,0.9,0.8,1.1,1.2,0.8,0.4,0.4,0.5,0.7,0.8,0.9
2015/01/05,龍潭,AMB_TEMP,15,15,15,15,15,14,14,15,18,21,23,24,23,22,21,20,21,20,19,18,18,18,18,18
2015/01/05,龍潭,CO,0.48,0.39,0.29,0.24,0.24,0.31,0.58,0.97,0.58,0.38,0.33,0.4,0.86,0.85,0.75,0.72,0.88,1.55,2.68,3.2,1.52,0.98,0.56,0.45
2015/01/05,龍潭,NO,0.2,0.6,0.4,1.1,1.1,2.3,20,31,10,6.1,3.8,3.9,11,8.8,9.1,9.4,13,31,83,115,48,19,8.6,6
2015/01/05,龍潭,NO2,14,13,9.1,5.7,6.7,16,26,31,20,12,8.9,13,45,48,44,41,53,66,67,59,41,32,26,25
2015/01/05,龍潭,NOx,15,13,9.4,6.8,7.9,18,46,61,30,18,13,17,56,57,53,50,65,97,149,174,90,51,35,31
2015/01/05,龍潭,O3,22,22,27,29,28,17,8,6.8,19,28,36,40,29,26,23,20,17,5.4,5.3,5.8,4.9,5.4,8.3,7.7
2015/01/05,龍潭,PM10,67,54,43,36,25,29,34,38,41,37,30,28,51,79,105,109,120,134,156,173,152,112,59,39
2015/01/05,龍潭,PM2.5,42,33,24,21,20,18,16,21,21,17,13,23,36,49,61,63,68,81,91,99,76,57,34,24
2015/01/05,龍潭,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/05,龍潭,RH,81,79,75,74,74,75,74,73,60,53,45,43,51,60,74,77,74,75,77,80,79,74,74,74
2015/01/05,龍潭,SO2,1.4,1.2,1,1,0.9,1.4,2.2,2.6,1.5,1,0.8,1.5,5.1,6.5,8.3,6.6,7.3,7.3,6.3,5.3,3.2,1.7,1.2,1
2015/01/05,龍潭,WD_HR,188,192,186,181,188,205,188,187,172,158,121,78,337,324,78,87,121,155,159,207,180,165,154,169
2015/01/05,龍潭,WIND_DIREC,187,192,182,181,202,203,193,196,170,164,81,42,302,338,75,78,130,157,341,191,169,168,152,161
2015/01/05,龍潭,WIND_SPEED,0.8,1.1,1.3,1.8,0.9,0.9,1.1,1.4,0.8,2.7,1,1.3,1.7,1.9,1.7,0.9,1.6,0.8,0.5,0.7,1.3,1.4,1.1,1
2015/01/05,龍潭,WS_HR,0.9,1,1.2,1.5,1.2,0.9,1.2,1.3,0.9,1.7,1.3,0.7,1,1.3,1.2,0.8,1.2,0.8,0.2,0.5,1.1,1.2,1.3,0.9
2015/01/06,龍潭,AMB_TEMP,18,18,18,18,18,18,18,19,20,22,24,24,22,23,23,22,21,19,18,18,17,17,17,17
2015/01/06,龍潭,CO,0.3,0.23,0.19,0.16,0.21,0.25,0.46,0.83,0.65,0.34,0.4,0.6,0.74,0.45,0.47,0.49,0.51,0.91,1.08,0.91,0.74,0.68,0.63,0.57
2015/01/06,龍潭,NO,3.1,1.7,2,0.5,0.5,2,13,27,18,7.4,4.7,7.5,11,2.9,3.2,2.8,1.7,1.2,1.1,0.5,0.6,0.8,0.6,0.3
2015/01/06,龍潭,NO2,16,11,8.8,7.9,11,15,23,25,21,13,15,26,39,18,19,20,22,27,29,23,16,16,12,8.8
2015/01/06,龍潭,NOx,20,13,11,8.4,11,18,37,52,38,21,19,34,50,21,23,23,23,28,30,23,17,16,13,9.1
2015/01/06,龍潭,O3,15,19,22,22,19,13,6.4,5.4,9.9,19,26,33,33,48,50,46,45,53,44,41,42,39,40,43
2015/01/06,龍潭,PM10,35,38,36,33,24,23,18,29,33,39,39,47,62,71,68,71,78,103,115,125,120,107,85,55
2015/01/06,龍潭,PM2.5,19,13,11,16,11,9,6,8,8,7,11,19,33,32,34,30,32,39,53,73,68,61,36,28
2015/01/06,龍潭,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2015/01/06,龍潭,RH,73,73,73,72,71,70,70,69,66,59,57,56,63,55,61,65,75,81,84,85,85,85,87,87
2015/01/06,龍潭,SO2,1,1.3,1.3,1.2,1.2,1.4,1.7,1.9,1.7,1.5,1.5,4.2,7.7,4.6,5.8,5.3,4.2,5.1,4.4,3.8,3.1,2.8,1.7,1.9
2015/01/06,龍潭,WD_HR,156,160,154,170,157,157,156,155,138,128,96,57,32,51,40,57,57,59,60,55,53,64,65,75
2015/01/06,龍潭,WIND_DIREC,156,162,147,179,150,167,259,155,112,122,29,45,41,344,80,62,61,61,50,57,55,61,78,69
