日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2016/01/01,三重,AMB_TEMP,18,17,17,18,17,17,18,18,19,20,21,21,22,23,23,23,22,22,22,21,21,21,21,20
2016/01/01,三重,CH4,2.1,2.1,2.1,2.1,2,2,2,2.1,2.1,2,2,2,2,2,2,2,2.1,2.1,2.1,2.3,2.2,2.5,2.5,2.5
2016/01/01,三重,CO,0.98,1.06,0.82,0.7,0.67,0.65,0.93,1.06,1.25,0.96,1.13,1.21,1.12,1.13,1.44,1.4,1.7,2.04,2.12,1.81,1.64,1.74,2.81,2.88
2016/01/01,三重,NMHC,0.27,0.32,0.22,0.16,0.16,0.21,0.27,0.32,0.37,0.31,0.39,0.38,0.43,0.36,0.51,0.49,0.65,0.76,0.7,0.72,0.6,0.65,1.07,1.18
2016/01/01,三重,NO,24,27,20,17,13,17,32,44,63,43,61,56,49,51,49,48,51,84,83,63,74,61,103,133
2016/01/01,三重,NO2,30,32,28,23,19,22,30,36,38,31,35,34,31,33,31,35,38,47,50,51,50,48,49,44
2016/01/01,三重,NOx,54,59,48,40,32,39,62,80,102,74,96,91,81,84,81,83,89,131,133,114,124,109,152,177
2016/01/01,三重,PM10,120,117,106,93,84,78,69,63,69,76,75,73,75,71,69,67,67,68,66,75,70,70,61,68
2016/01/01,三重,PM2.5,52,49,46,38,35,29,23,24,26,27,22,21,25,27,27,28,29,26,26,22,25,25,25,27
2016/01/01,三重,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2016/01/01,三重,RH,64,68,67,67,70,72,71,70,69,68,67,67,65,64,64,65,68,70,71,74,76,77,79,80
2016/01/01,三重,SO2,3.3,4.4,3.6,3.8,3.4,4.4,3.8,4,3.6,2.8,3.1,3.4,3.7,4.1,3.5,4.2,3.6,3.8,5.1,11,12,8.9,9.3,6.3
2016/01/01,三重,THC,2.4,2.4,2.3,2.2,2.2,2.2,2.3,2.4,2.4,2.3,2.4,2.4,2.5,2.4,2.5,2.5,2.7,2.8,2.8,3,2.8,3.1,3.5,3.7
2016/01/02,三重,AMB_TEMP,19,19,19,19,19,19,19,19,19,20,20,20,19,20,20,20,20,20,20,20,20,19,19,19
2016/01/02,三重,CH4,2.3,2.3,2.3,2.2,2,2,2.1,2.1,2.3,2.2,2,2,2,2,2,2,2.1,2.1,2.2,2.1,2.2,2.4,2.5,2.7
2016/01/02,三重,CO,2.13,1.7,1.7,1.16,0.99,1.11,1.72,2,2.07,2.11,1.69,1.45,1.37,1.34,1.29,1.37,1.52,1.82,2.19,2.16,1.92,1.72,1.92,2.05
2016/01/02,三重,NMHC,0.83,0.77,0.6,0.5,0.25,0.32,0.55,0.66,0.69,0.83,0.56,0.44,0.4,0.38,0.43,0.45,0.56,0.72,0.84,0.76,0.69,0.58,0.65,0.68
2016/01/02,三重,NO,94,73,78,50,27,46,94,113,108,89,83,68,53,63,56,57,68,64,80,100,107,89,88,121
2016/01/02,三重,NO2,32,30,31,32,24,30,36,39,34,39,39,34,36,37,37,42,49,51,53,50,45,38,34,37
2016/01/02,三重,NOx,126,102,108,82,51,77,130,152,142,128,121,102,89,100,93,100,117,115,133,149,152,126,122,158
2016/01/02,三重,PM10,68,70,71,76,90,85,87,82,80,77,80,94,102,97,97,92,104,105,116,117,123,113,107,98
2016/01/02,三重,PM2.5,28,29,30,39,42,40,33,31,34,35,37,38,37,42,45,45,51,50,60,58,58,50,48,45
2016/01/02,三重,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.2,NR
