日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2016/01/01,冬山,AMB_TEMP,16,16,16,16,16,16,16,16,16,17,17,17,18,19,20,21,21,19,18,18,18,17,17,17
2016/01/01,冬山,CO,0.43,0.42,0.39,0.41,0.38,0.4,0.4,0.5,0.48,0.53,0.49,0.44,0.45,0.38,0.35,0.47,0.43,0.45,0.53,0.45,0.38,0.47,0.55,0.66
2016/01/01,冬山,NO,2.2,2.4,2.5,1,0.9,0.8,0.7,2.7,3.2,7.2,4.5,1.7,4.1,1.6,1.2,5.3,2.6,1.2,1.1,2.5,1.2,4,6.2,11
2016/01/01,冬山,NO2,4.3,5,3.8,5.4,4.5,6.5,7.4,16,16,24,16,11,14,8.1,5.5,14,11,9.6,12,12,12,12,17,18
2016/01/01,冬山,NOx,6.5,7.4,6.3,6.3,5.3,7.3,8.1,19,19,32,20,12,18,9.8,6.7,19,14,11,14,15,13,16,23,29
2016/01/01,冬山,O3,43,41,42,41,42,38,36,27,27,21,26,28,27,30,32,26,27,13,16,16,16,14,6.9,2.1
2016/01/01,冬山,PH_RAIN,4.3,NR,NR,4,3.8,NR,3.7,3.6,3.9,4,4.1,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2016/01/01,冬山,PM10,71,65,61,51,39,31,25,19,19,21,23,23,22,20,19,28,36,32,48,56,42,39,36,35
2016/01/01,冬山,PM2.5,35,30,23,19,16,10,6,5,4,4,4,1,-2,-2,1,6,6,1,22,30,13,10,4,5
2016/01/01,冬山,RAINFALL,NR,0.4,NR,0.6,0.8,NR,0.4,1,0.8,1,0.4,0.4,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2016/01/01,冬山,RAIN_COND,56,NR,NR,332,131,NR,96,102,52,33,32,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2016/01/01,冬山,RH,88,91,92,92,93,93,93,94,94,94,94,92,90,88,85,78,79,89,90,90,90,91,92,92
2016/01/01,冬山,SO2,2.1,1.5,1.3,1.3,1.2,1.1,1.1,1.4,1.7,2,2.2,2.2,2.4,2.2,1.7,1.7,2.1,2.2,2.8,2.7,2.3,2.5,2.7,2.9
2016/01/01,冬山,WD_HR,243,241,250,292,278,289,284,288,292,297,293,281,281,253,269,304,261,184,195,247,262,247,290,143
2016/01/01,冬山,WIND_DIREC,240,246,245,280,254,293,285,287,290,296,288,271,259,273,285,313,184,178,188,247,260,280,185,155
2016/01/01,冬山,WIND_SPEED,1.5,1.5,0.9,1.8,1.2,2.2,1.7,2,1.9,1.4,2.5,1.7,1.5,1.2,2.1,2.2,1.1,1.1,1.1,0.8,0.7,1.3,0.5,0.5
2016/01/01,冬山,WS_HR,1.2,1.1,1.1,1.7,1.6,1.5,1.5,1.6,2.1,1.5,1.8,1.7,1.2,1,1.3,1.8,0.9,1,0.9,0.8,0.8,0.7,0.8,0.3
2016/01/02,冬山,AMB_TEMP,16,16,16,16,16,16,16,16,18,21,23,24,24,24,24,23,23,23,22,22,21,21,21,21
2016/01/02,冬山,CO,0.55,0.34,0.31,0.34,0.27,0.31,0.41,0.7,1.14,0.91,0.63,0.4,0.33,0.32,0.34,0.37,0.42,0.47,0.39,0.67,0.41,0.42,0.44,0.51
2016/01/02,冬山,NO,9.3,2.5,1.3,3,0.9,2,12,31,62,26,13,12,6.4,4.8,7.8,9.4,6.1,4.9,2.2,9.7,2,1.5,4.3,11
2016/01/02,冬山,NO2,13,6.2,5.3,7.1,4.5,7.5,12,17,27,28,22,17,12,12,16,21,20,20,19,22,13,12,14,17
2016/01/02,冬山,NOx,23,8.7,6.6,10,5.4,9.5,24,48,89,53,35,29,19,17,24,31,26,25,22,32,15,14,18,27
2016/01/02,冬山,O3,4.7,12,13,8.3,11,7,3.9,3.1,3.5,11,25,23,29,34,28,21,23,20,11,4.7,7.1,7.6,6.5,2
2016/01/02,冬山,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR
2016/01/02,冬山,PM10,36,27,22,23,20,19,24,26,48,73,65,59,49,42,49,57,59,58,61,67,56,44,47,47
