日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2016/01/01,南投,AMB_TEMP,15,15,14,14,14,14,14,14,16,19,22,24,24,25,25,25,24,21,20,19,19,18,18,18
2016/01/01,南投,CH4,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.9
2016/01/01,南投,CO,0.8,0.73,0.67,0.66,0.62,0.66,0.73,0.87,0.92,0.89,0.51,0.51,0.56,0.48,0.48,0.48,0.57,0.62,0.57,0.57,0.52,0.57,0.57,0.54
2016/01/01,南投,NMHC,0.24,0.23,0.2,0.21,0.2,0.21,0.23,0.3,0.32,0.31,0.14,0.14,0.17,0.13,0.12,0.12,0.17,0.18,0.17,0.16,0.14,0.14,0.14,0.15
2016/01/01,南投,NO,5.4,9.2,7.4,6.1,7.4,13,17,26,16,9.2,4.1,2.8,2.3,2,2.2,2.1,2.4,2.6,2.5,2.6,2.4,2.8,2.1,1.8
2016/01/01,南投,NO2,26,24,19,17,14,13,13,12,16,19,13,13,15,13,16,17,20,24,22,19,21,22,19,17
2016/01/01,南投,NOx,31,33,26,23,22,26,30,38,32,28,17,16,18,15,18,19,23,26,25,22,23,25,21,18
2016/01/01,南投,O3,3,1.3,1.5,1.2,1.2,1.2,1.3,2.4,8.4,24,45,59,71,73,69,65,52,32,25,25,20,16,8.8,11
2016/01/01,南投,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2016/01/01,南投,PM10,81,88,89,84,80,77,73,74,79,77,69,68,74,72,65,71,81,93,95,85,81,85,87,89
2016/01/01,南投,PM2.5,49,50,55,55,49,47,46,47,50,45,37,34,37,39,39,36,36,43,45,41,37,37,43,48
2016/01/01,南投,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2016/01/01,南投,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2016/01/01,南投,RH,80,83,84,85,86,86,87,86,81,71,61,55,53,51,51,52,59,71,78,82,83,85,86,86
2016/01/01,南投,SO2,3,2.4,2.1,2.1,1.9,1.9,2,2.7,3.2,3.5,3.4,3.2,3.6,3.1,2.5,1.9,2.3,2,2.2,2.3,2.3,2.1,1.8,1.6
2016/01/01,南投,THC,2.2,2.2,2.1,2.2,2.1,2.1,2.2,2.3,2.2,2.2,1.9,1.9,2,1.9,1.9,1.9,2,2,2,2,2,2,2,2
2016/01/01,南投,UVB,0,0,0,0,0,0,0,0.3,1.1,2.5,4,4.7,4.4,3.7,2.3,1.1,0.3,0,0,0,0,0,0,0
2016/01/01,南投,WD_HR,144,149,77,64,155,142,120,158,159,125,307,23,11,328,20,326,306,297,299,304,339,13,41,59
2016/01/01,南投,WIND_DIREC,133,143,48,67,272,169,58,138,180,45,301,42,308,21,32,304,293,289,293,300,31,29,60,66
2016/01/01,南投,WIND_SPEED,1.6,1.1,0.8,0.6,0.5,0.6,0.7,1.5,0.6,0.8,1.3,2.8,2.2,1.7,2,2,2.2,1.9,2.1,1.8,1,1.4,0.7,0.9
2016/01/01,南投,WS_HR,1.1,1.3,0.6,0.5,0.6,0.5,0.5,1,0.6,0.3,0.6,1.1,1,0.7,0.9,0.8,1.5,0.8,0.9,0.9,0.4,0.5,0.8,0.8
2016/01/02,南投,AMB_TEMP,18,18,18,18,18,18,17,17,18,19,20,21,22,23,22,21,20,20,20,20,20,19,19,19
2016/01/02,南投,CH4,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.9,1.8,1.9,1.9,1.9
2016/01/02,南投,CO,0.53,0.52,0.48,0.46,0.45,0.44,0.47,0.51,0.5,0.57,0.54,0.55,0.58,0.59,0.75,0.75,0.88,1.02,1.05,1,0.81,0.84,0.78,0.61
2016/01/02,南投,NMHC,0.14,0.14,0.11,0.12,0.11,0.1,0.1,0.12,0.11,0.14,0.13,0.13,0.14,0.17,0.21,0.2,0.24,0.31,0.34,0.33,0.21,0.24,0.23,0.17
2016/01/02,南投,NO,1.5,1.8,1.4,1.5,1.4,1.7,1.7,2.5,4.1,5.4,6,4.4,4.1,2.3,3.5,5,6.2,15,16,15,11,14,8.8,6.1
2016/01/02,南投,NO2,15,13,11,11,9.4,9.1,9.6,12,11,15,15,16,19,21,33,32,33,37,32,28,27,23,23,18
2016/01/02,南投,NOx,17,15,12,12,11,11,11,14,15,21,21,20,23,23,36,37,39,52,48,43,38,37,31,24
2016/01/02,南投,O3,15,18,19,18,18,16,12,14,18,16,22,32,39,38,24,17,10,2.4,1.4,1.7,1.3,1.3,1.6,1.7
