日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2016/01/01,基隆,AMB_TEMP,17,17,17,16,16,17,17,18,18,18,18,19,19,19,19,19,19,19,18,18,18,18,18,18
2016/01/01,基隆,CH4,1.7,0.1*,-0.3*,-0.3*,-0.3*,-0.3*,-0.3*,-0.3*,-0.4*,-0.3*,-0.4*,-0.4*,-0.4#,1.7#,1.8,1.7,1.7,2,2.4,2.5,2.7,2.6,2.7,2.7
2016/01/01,基隆,CO,0.36,0.31,0.3,0.3,0.29,0.32,0.43,0.34,0.35,0.33,0.37,0.42,0.51,0.45,0.43,0.42,0.58,1.1,1.64,1.7,1.73,1.73,1.68,1.44
2016/01/01,基隆,NMHC,0.08,0.01*,0.04*,0.04*,0.04*,0.1*,0.12*,0.08*,0.12*,0.1*,0.12*,0.21*,0.21#,0.21#,0.17,0.17,0.24,0.48,0.91,0.94,0.87,0.84,0.78,0.71
2016/01/01,基隆,NO,1.2,1.1,1,1.1,1.1,1.3,1.6,1.4,1.3,1.5,1.6,1.8,2.3,2,4.4,3.1,5.3,10,45,45,51,56,60,48
2016/01/01,基隆,NO2,4.2,4.4,5.1,3.2,3.3,5.1,12,6.2,6.3,6.3,8.7,10,13,16,26,20,26,31,30,29,26,25,25,24
2016/01/01,基隆,NOx,5.4,5.5,6.1,4.3,4.4,6.3,13,7.5,7.6,7.7,10,12,16,18,31,23,31,41,75,74,77,81,85,71
2016/01/01,基隆,O3,52,48,47,47,45,41,34,39,40,40,37,34,28,26,18,24,12,3.8,2,1.8,1.8,1.7,1.7,1.5
2016/01/01,基隆,PM10,68,53,58,53,52,48,51,52,52,46,44,44,48,51,58,58,58,54,56,57,50,47,43,35
2016/01/01,基隆,PM2.5,45,34,35,35,32,30,31,29,29,24,24,24,26,28,34,34,35,37,41,41,37,34,31,28
2016/01/01,基隆,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2016/01/01,基隆,RH,69,68,68,74,78,76,76,73,74,76,77,78,79,80,80,80,83,87,90,90,91,91,91,91
2016/01/01,基隆,SO2,1.7,2,1.9,1.8,1.8,1.5,1.7,1.6,1.6,1.6,1.8,1.9,1.8,3.3,6.8,3,3.4,1.7,1.5,1.2,1.2,1.1,1,0.8
2016/01/01,基隆,THC,1.8,0.1*,-0.3*,-0.3*,-0.3*,-0.2*,-0.2*,-0.3*,-0.2*,-0.2*,-0.2*,-0.2*,-0.2#,1.9#,1.9,1.9,2,2.5,3.4,3.5,3.6,3.5,3.5,3.4
2016/01/01,基隆,WD_HR,80,79,79,82,85,87,91,85,86,83,85,87,243,285,123,86,271,63,346,65,77,77,84,81
2016/01/01,基隆,WIND_DIREC,83,83,76,84,106,83,77,83,78,79,95,85,251,197,131,262,287,71,68,87,68,83,108,303
2016/01/01,基隆,WIND_SPEED,2.1,1.9,2.7,1.7,1.1,1.4,1.6,1.8,1.9,2.1,1.1,0.7,0.4,0.5,0.7,0.6,0.8,0.5,0.5,0.7,0.4,0.7,0.5,0.4
2016/01/01,基隆,WS_HR,2.4,1.9,2,1.9,1.4,1.3,0.8,1.6,1.8,1.9,1.3,0.5,0.2,0.1,0.2,0.2,0.4,0.1,0.2,0.4,0.3,0.4,0.2,0.1
2016/01/02,基隆,AMB_TEMP,17,17,17,18,18,17,17,17,18,19,19,19,18,18,18,18,18,17,17,17,17,17,17,18
2016/01/02,基隆,CH4,2.7,2.7,2,1.9,1.9,2.2,2.2,2.3,2.1,1.8,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.8,1.9,1.9,1.9
2016/01/02,基隆,CO,1.34,1.1,0.72,0.5,0.51,0.69,0.76,0.93,0.75,0.52,0.34,0.38,0.36,0.39,0.42,0.44,0.4,0.51,0.51,0.51,0.66,0.66,0.79,0.74
2016/01/02,基隆,NMHC,0.68,0.6,0.29,0.18,0.2,0.33,0.37,0.44,0.31,0.17,0.06,0.06,0.06,0.08,0.1,0.1,0.08,0.14,0.14,0.13,0.19,0.2,0.25,0.25
2016/01/02,基隆,NO,46,35,12,1.3,1.1,5.9,11,19,9.8,4.3,1.8,1.9,2,2,2.6,2.1,1.7,2.5,1.2,1.7,5.3,7.5,8.2,11
2016/01/02,基隆,NO2,20,17,24,15,16,19,17,19,18,17,11,12,15,17,22,19,21,29,18,25,28,32,29,25
2016/01/02,基隆,NOx,66,52,35,16,17,25,29,38,28,21,13,14,17,20,24,21,23,31,20,27,33,39,37,36
2016/01/02,基隆,O3,1.5,1.3,1.4,9.7,7.4,1.2,1.1,1.9,6.2,18,35,32,29,25,25,32,29,21,30,19,6.2,4.4,1.9,4
2016/01/02,基隆,PM10,32,29,36,34,35,38,37,43,43,48,43,45,59,59,66,66,64,66,67,73,72,68,62,49
2016/01/02,基隆,PM2.5,27,24,16,19,22,26,26,30,29,27,23,25,35,37,40,38,40,42,43,51,51,49,49,41
2016/01/02,基隆,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2016/01/02,基隆,RH,91,91,91,89,87,91,91,91,89,85,85,85,88,90,90,88,87,87,88,89,90,90,91,91
2016/01/02,基隆,SO2,0.3,1.4,2.2,1.5,3.6,2.1,1.6,1.9,2.6,3.2,3.3,4,7.5,6.2,4.9,4.1,6.9,5,3.3,8.3,7.1,7.5,3.3,2.4
2016/01/02,基隆,THC,3.3,3.3,2.3,2,2.1,2.5,2.5,2.8,2.4,2,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.9,1.9,1.9,2,2.1,2.2,2.2
2016/01/02,基隆,WD_HR,134,83,263,265,276,268,348,103,275,244,303,107,285,73,109,87,7.2,48,196,326,265,189,257,302
2016/01/02,基隆,WIND_DIREC,235,83,247,272,355,287,277,337,264,209,298,292,106,56,93,83,76,83,229,98,283,261,260,292
2016/01/02,基隆,WIND_SPEED,0.4,0.8,1.7,1.7,0.5,0.7,0.6,0.5,0.9,0.7,0.7,0.8,0.5,0.6,0.6,0.7,0.7,0.5,0.6,0.5,0.6,0.8,0.5,1
2016/01/02,基隆,WS_HR,0.1,0.2,0.7,0.8,0.8,0.1,0.1,0.1,0.7,0.2,0.2,0.1,0.1,0.3,0.4,0.4,0.2,0.2,0.4,0.1,0.4,0.4,0.3,0.2
2016/01/03,基隆,AMB_TEMP,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,18,18,18,18,18,18,18
2016/01/03,基隆,CH4,2,2.1,2,2.1,2.1,2.1,2,2.1,1.9,1.8,1.7,1.8,1.8,1.7,1.8,1.7,1.7,1.7,1.7,1.9,1.8,2,2.1,2.2
2016/01/03,基隆,CO,0.76,0.75,0.72,0.67,0.81,0.84,0.82,0.95,0.75,0.58,0.41,0.56,0.51,0.43,0.45,0.39,0.29,0.39,0.56,0.66,0.72,0.8,0.82,0.74
2016/01/03,基隆,NMHC,0.28,0.29,0.28,0.3,0.36,0.36,0.34,0.4,0.28,0.21,0.13,0.21,0.19,0.16,0.18,0.16,0.09,0.15,0.23,0.31,0.31,0.36,0.39,0.34
2016/01/03,基隆,NO,33,27,17,5.5,16,20,23,27,14,8,2.2,3.6,4.1,3.2,2.2,7.8,1.7,1.2,3.8,4.7,12,16,19,15
2016/01/03,基隆,NO2,29,25,23,21,24,21,20,26,28,25,16,22,20,22,18,24,11,18,28,27,29,30,28,25
2016/01/03,基隆,NOx,62,52,40,27,40,41,43,53,43,33,18,25,25,25,20,32,13,19,32,31,41,46,48,40
2016/01/03,基隆,O3,1.1,1,1.1,1.6,0.9,0.8,0.9,1.5,5.8,14,26,19,19,20,22,16,29,18,7.1,5.5,1.4,1.1,1.2,0.9
2016/01/03,基隆,PM10,50,46,41,36,43,38,33,48,43,32,34,34,24,19,16,17,8,13,18,18,16,15,13,12
2016/01/03,基隆,PM2.5,41,38,34,31,26,31,28,36,35,26,26,32,24,17,13,3,5,10,13,13,12,17,12,9
2016/01/03,基隆,RAINFALL,NR,NR,NR,0.2,NR,NR,0.6,NR,3.8,0.8,NR,4.8,1.4,2,0.6,0.2,NR,NR,NR,0.2,1.8,1.6,0.2,NR
2016/01/03,基隆,RH,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91
2016/01/03,基隆,SO2,9.6,6.4,3.9,4.7,4.4,2.6,2.2,5.6,5.6,6.7,3.4,2.7,2.4,6.8,1.4,6.8,1.8,1.8,2.1,1.8,1.9,2.3,1.9,1.8
2016/01/03,基隆,THC,2.3,2.4,2.3,2.4,2.5,2.4,2.4,2.5,2.2,2,1.8,2,2,1.9,1.9,1.9,1.7,1.9,2,2.2,2.1,2.4,2.5,2.5
2016/01/03,基隆,WD_HR,217,302,280,92,288,259,255,246,203,96,69,302,338,54,85,45,76,17,138,116,250,215,291,263
2016/01/03,基隆,WIND_DIREC,321,62,231,136,265,302,134,272,265,92,93,282,299,255,77,65,90,318,181,115,276,133,266,250
2016/01/03,基隆,WIND_SPEED,0.4,0.5,0.6,0.6,0.5,0.5,0.4,1.2,0.9,1,1,0.6,0.9,0.5,0.8,1.3,0.6,0.4,0.7,0.5,0.8,0.4,0.6,0.4
2016/01/03,基隆,WS_HR,0.1,0.1,0.4,0,0.4,0.3,0.3,0.3,0.2,0.7,0.3,0.2,0.1,0.1,0.6,0.4,0.3,0.1,0.5,0.5,0.4,0.1,0.2,0.2
2016/01/04,基隆,AMB_TEMP,18,18,18,18,18,19,19,19,20,21,22,21,21,21,21,21,21,21,21,21,20,20,20,19
2016/01/04,基隆,CH4,2,2.3,2.3,2.3,2.3,2,2.1,2.1,1.9,1.8,1.7,1.6,1.6,1.6,1.7,1.6,1.7,1.7,1.8,2,1.9,1.9,1.9,2.1
