日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2016/01/01,大同,CH4,2,2,2,2,2,2,2,2.1,2,2,2,2,2,2,2,2,2,2,2.1,2.1,2.1,2.2,2.3,2.4
2016/01/01,大同,CO,1,1.24,1.03,0.64,0.61,0.67,0.91,1.43,1.01,0.89,0.74,0.65,0.59,0.6,0.69,0.71,0.79,1.14,1.48,1.32,1.44,3.55,4.22,3.77
2016/01/01,大同,NMHC,0.23,0.33,0.24,0.13,0.13,0.16,0.32,0.43,0.29,0.25,0.2,0.18,0.16,0.14,0.17,0.19,0.23,0.37,0.5,0.45,0.47,1.18,1.39,1.06
2016/01/01,大同,NO,9.4,16,13,5.7,5.2,15,40,60,39,34,26,20,16,15,18,20,23,39,60,65,62,159,161,137
2016/01/01,大同,NO2,22,28,23,14,14,19,31,38,35,31,26,24,20,20,22,26,29,39,48,48,47,48,47,41
2016/01/01,大同,NOx,32,43,36,20,19,34,72,99,74,65,52,44,36,35,40,47,52,78,108,113,109,207,209,178
2016/01/01,大同,PM10,111,106,110,103,101,83,78,72,86,90,98,79,69,57,73,78,80,68,55,59,61,71,71,77
2016/01/01,大同,PM2.5,53,47,38,35,29,27,28,35,35,31,25,22,22,20,22,24,27,26,24,20,25,28,33,29
2016/01/01,大同,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2016/01/01,大同,SO2,3.8,3,2.8,2.5,2.5,3,3.5,4.2,3.6,2.9,2.5,2.9,4.9,5.4,6.2,8.8,5.8,7.9,13,9.5,13,12,13,9
2016/01/01,大同,THC,2.3,2.4,2.3,2.1,2.1,2.2,2.3,2.5,2.3,2.3,2.2,2.2,2.1,2.1,2.2,2.2,2.2,2.4,2.6,2.5,2.6,3.4,3.7,3.5
2016/01/02,大同,CH4,2.4,2.2,2.3,2.2,2.1,2.1,2.3,2.3,2.2,2.2,2.2,2,2,2,2,2.1,2.3,2.5,2.4,2.2,2.6,2.2,2.2,2.5
2016/01/02,大同,CO,2.05,1.55,1.5,1.14,0.68,0.83,1.34,2.63,1.94,1.6,1.25,0.96,0.84,1.1,1.28,1.27,1.58,1.89,1.77,1.51,1.64,1.56,1.92,1.99
2016/01/02,大同,NMHC,0.62,0.46,0.43,0.35,0.23,0.23,0.47,0.87,0.65,0.56,0.4,0.27,0.22,0.28,0.32,0.39,0.52,0.62,0.68,0.53,0.59,0.51,0.59,0.69
2016/01/02,大同,NO,57,47,42,20,11,19,68,146,112,37,18,11,6.3,15,17,19,32,37,77,82,68,96,117,112
2016/01/02,大同,NO2,30,27,27,26,21,20,29,29,30,34,30,23,20,30,31,39,50,51,50,42,44,39,36,37
2016/01/02,大同,NOx,87,74,69,46,33,39,97,176,142,71,48,34,26,45,48,58,82,88,127,124,112,135,153,149
2016/01/02,大同,PM10,76,77,85,94,94,84,74,64,58,57,68,74,78,75,85,95,107,123,123,122,113,113,105,97
2016/01/02,大同,PM2.5,31,32,30,30,27,26,21,13,14,21,27,31,32,46,46,52,52,56,56,51,55,48,45,42
2016/01/02,大同,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2016/01/02,大同,SO2,4.5,5.6,13,8.4,3.7,2.2,3.3,5.3,4.7,2.8,2.4,2.3,2.3,2.3,2.4,2.6,3.1,3.2,4.4,4.9,4.5,5.5,4.8,4.9
2016/01/02,大同,THC,3,2.7,2.7,2.6,2.4,2.4,2.7,3.1,2.9,2.7,2.6,2.3,2.2,2.3,2.4,2.5,2.8,3.1,3,2.8,3.2,2.7,2.8,3.2
2016/01/03,大同,CH4,2.6,2.5,2.3,2.3,2.5,2.8,2.8,2.7,2.4,2.3,2.4,2.2,2.1,2.2,2.1,2.1,2,2.1,2.1,2.1,2.1,2.1,2.2,2.3
2016/01/03,大同,CO,1.71,1.5,1.28,1.11,1.14,1.2,1.36,1.7,1.45,1.83,1.42,1.1,1.06,1.19,1.33,1.5,1.07,1.06,1.78,1.87,1.72,1.72,1.67,1.47
2016/01/03,大同,NMHC,0.57,0.55,0.41,0.35,0.44,0.4,0.53,0.63,0.43,0.63,0.53,0.36,0.33,0.36,0.41,0.54,0.34,0.35,0.59,0.62,0.51,0.55,0.52,0.45
2016/01/03,大同,NO,73,40,22,17,27,28,52,74,48,82,60,55,46,50,72,86,63,72,121,116,110,106,94,78
2016/01/03,大同,NO2,34,35,33,34,35,29,32,34,31,38,41,39,35,39,38,38,36,38,41,40,42,41,40,37
2016/01/03,大同,NOx,108,75,56,51,61,57,84,107,79,120,101,94,81,89,110,123,98,110,162,155,152,147,134,116
2016/01/03,大同,PM10,95,85,82,67,79,83,93,87,84,71,65,55,42,27,26,38,45,36,31,30,40,37,40,35
2016/01/03,大同,PM2.5,45,53,50,45,42,42,41,38,36,42,36,35,25,15,14,13,19,9,11,6,12,11,17,16
2016/01/03,大同,RAINFALL,NR,NR,0.2,NR,NR,NR,0.4,2.8,0.2,0.2,0.2,1.6,1,1.8,NR,NR,NR,NR,0.2,0.2,1.8,1,0.2,NR
2016/01/03,大同,SO2,4.2,3,4.2,3.3,4.1,3.7,4.1,4.4,3.2,4,3.5,3,2.6,2.5,3,3.6,6.6,23,17,9.6,12,8,5.6,4.1
2016/01/03,大同,THC,3.2,3,2.7,2.7,3,3.2,3.3,3.3,2.8,3,3,2.6,2.4,2.6,2.5,2.7,2.4,2.4,2.7,2.7,2.6,2.7,2.7,2.8
2016/01/04,大同,CH4,2.3,2.3,2.6,2.7,3.5,2.9,2.9,3.1,2.9,2.6,2.3,2.4,2.2,2.1,2.1,2.2,2.3,2.4,2.3,2.2,2.3,2.3,2.5,2.7
2016/01/04,大同,CO,1.32,0.89,0.93,0.87,1.17,1.34,1.65,2.54,3.38,4.83,2.47,2.5,1.56,1.23,1.55,1.54,2.18,6.52,5.62,2.92,3.92,3.12,3.18,3.14
2016/01/04,大同,NMHC,0.42,0.26,0.39,0.42,0.56,0.58,0.72,1.02,1.24,1.77,0.87,0.98,0.62,0.45,0.61,0.6,0.87,2.49,2.21,1.17,1.51,1.18,1.26,1.3
