日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2016/01/01,大園,AMB_TEMP,17,17,17,17,17,17,17,18,19,20,21,22,23,23,21,21,20,19,19,19,19,19,19,19
2016/01/01,大園,CO,0.42,0.41,0.34,0.32,0.32,0.33,0.33,0.36,0.38,0.35,0.34,0.34,0.32,0.32,0.29,0.29,0.29,0.3,0.3,0.32,0.35,0.35,0.34,0.33
2016/01/01,大園,NO,1.8,2,1.7,0.5,0.3,0.7,1.2,3.1,4.5,3.6,4,4.4,3.6,3.9,2.2,1.5,1.4,1.2,1,0.9,1.1,1.1,0.9,0.7
2016/01/01,大園,NO2,10,7.8,6.4,5.4,6.2,9.4,14,19,17,12,12,12,12,12,7.8,7.1,6.5,8,6.2,6.6,5.1,6.1,5.2,4.2
2016/01/01,大園,NOx,12,9.7,8,6,6.5,10,15,22,21,16,16,17,15,16,10,8.5,7.9,9.2,7.3,7.5,6.2,7.2,6.1,4.9
2016/01/01,大園,O3,43,45,45,44,41,38,33,29,31,35,36,37,38,38,40,40,39,37,38,38,39,38,38,39
2016/01/01,大園,PM10,97,86,78,75,72,77,74,70,69,65,61,48,48,47,58,57,65,69,69,69,70,84,90,96
2016/01/01,大園,PM2.5,58,55,51,38,29,23,31,31,32,31,26,21,18,24,29,28,31,34,34,37,36,40,45,44
2016/01/01,大園,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2016/01/01,大園,RH,65,68,68,66,70,73,72,70,68,65,65,63,62,63,71,76,80,86,87,87,88,90,90,89
2016/01/01,大園,SO2,3.1,3.7,2.8,2.5,3.4,4.1,4.5,4.7,3.8,2.8,2.3,2.3,2.3,3,2.1,1.9,2,2,1.8,2.4,2.3,2.5,2.4,2.3
2016/01/01,大園,WD_HR,57,60,56,55,60,56,54,53,55,58,56,54,55,50,30,31,29,29,29,30,29,35,30,29
2016/01/01,大園,WIND_DIREC,59,57,54,55,59,56,55,52,55,60,55,60,56,31,29,33,30,26,29,30,37,31,26,29
2016/01/01,大園,WIND_SPEED,6.4,6.2,6.7,6.4,5.7,6.5,5.6,6.1,6.5,6.6,6,5.2,4.9,6.9,8.7,8.2,7.3,6.6,6.6,6.7,6.1,4.8,4.7,5
2016/01/01,大園,WS_HR,6.4,6.1,6.6,6.2,5.6,5.8,5.8,5.7,6,6.7,5.9,5.6,5.1,4.8,7.3,7.5,7.2,6,5.8,6.2,5.9,4.9,5,4
2016/01/02,大園,AMB_TEMP,19,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,18,18,18,18,18,18,18
2016/01/02,大園,CO,0.33,0.32,0.31,0.29,0.3,0.29,0.3,0.32,0.32,0.35,0.35,0.38,0.37,0.36,0.38,0.41,0.44,0.5,0.53,0.44,0.45,0.47,0.56,0.64
2016/01/02,大園,NO,0.8,0.7,0.8,0.9,1.3,1.4,1.2,2.5,2.7,3,2.7,2.9,2.9,2.5,2.7,2.5,2.6,2.5,4.1,2.1,1.5,1.7,5.9,8.4
2016/01/02,大園,NO2,3.9,3.7,3.4,4.9,6.2,5.6,6.4,11,10,11,11,10,12,12,14,18,19,21,35,15,19,24,38,35
2016/01/02,大園,NOx,4.7,4.4,4.2,5.8,7.5,7,7.5,14,13,14,13,13,15,14,17,20,22,24,39,17,20,25,44,44
2016/01/02,大園,O3,40,41,42,40,39,40,38,32,32,30,30,34,35,38,38,36,35,33,19,34,31,23,6,6.2
2016/01/02,大園,PM10,91,85,73,68,62,61,54,56,60,72,78,78,85,90,91,86,89,111,126,125,102,94,83,88
2016/01/02,大園,PM2.5,45,34,30,30,28,32,28,29,33,36,41,42,37,44,42,51,44,53,58,59,53,42,39,34
2016/01/02,大園,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.2,NR,NR,NR,NR,NR,NR,0.6,0.2,NR
2016/01/02,大園,RH,89,86,85,86,88,89,90,90,88,90,90,88,87,86,85,85,87,90,92,93,94,98,98,98
2016/01/02,大園,SO2,2.4,1.8,1.8,2.4,2,2.1,2,2.3,2.3,2.7,3,2.8,3.3,2.9,3.5,4.8,4,3.5,6,3.7,3.4,4,6,6.9
2016/01/02,大園,WD_HR,25,4.1,30,33,35,29,27,28,29,30,27,32,32,32,38,24,30,26,30,37,62,58,109,315
2016/01/02,大園,WIND_DIREC,352,33,31,39,36,31,23,32,32,28,38,41,34,27,30,345,28,25,25,41,99,107,200,9.4
2016/01/02,大園,WIND_SPEED,3.9,4.2,4,4.4,4.2,4.7,4.3,3.5,3.4,5.3,4.6,4.5,3.8,3.9,3.6,1.9,1.8,1.3,3.4,3.1,2.3,1.8,0.5,2.3
2016/01/02,大園,WS_HR,2.4,1,2.8,3.5,3,3.6,3.6,3.2,3.2,3.6,4.3,3.5,2.6,3,2.6,1.5,1.1,1.7,1.4,1.7,1.4,0.9,0.4,0.6
2016/01/03,大園,AMB_TEMP,18,18,18,18,18,18,18,19,19,19,20,19,20,19,19,20,19,19,19,19,19,19,20,19
2016/01/03,大園,CO,0.48,0.46,0.51,0.47,0.53,0.53,0.57,0.56,0.45,0.5,0.47,0.4,0.43,0.34,0.33,0.37,0.32,0.41,0.44,0.43,0.59,0.51,0.55,0.5
2016/01/03,大園,NO,11,1.9,1.4,1,7.5,3.8,6.4,9.5,3.9,10,9.7,5,5.1,2.7,2.1,4.5,1.7,3.2,3.8,4.6,4.7,2.4,6.5,5.5
2016/01/03,大園,NO2,32,18,22,22,31,31,33,31,22,30,29,19,22,19,14,24,15,23,29,33,31,27,29,27
2016/01/03,大園,NOx,42,20,23,23,38,35,39,41,26,40,38,24,27,21,16,28,16,26,33,37,36,29,36,33
2016/01/03,大園,O3,13,20,15,13,4.2,6.9,5.6,10,17,14,16,25,23,28,31,22,30,23,16,8.3,5.8,6.9,4.1,4.7
2016/01/03,大園,PM10,80,83,80,77,74,66,65,64,68,69,73,69,67,55,49,45,46,43,45,34,38,27,35,30
2016/01/03,大園,PM2.5,39,39,38,36,37,37,34,30,26,35,42,42,41,33,34,27,26,27,20,26,21,17,10,11
2016/01/03,大園,RAINFALL,0.2,NR,1,NR,0.2,1.2,NR,1,1.8,0.2,1,1.2,NR,0.8,0.2,0.2,NR,0.2,0.2,0.2,1,NR,0.2,0.2
2016/01/03,大園,RH,98,98,98,98,98,98,98,98,98,98,97,98,98,98,98,98,98,98,98,98,98,98,98,98
2016/01/03,大園,SO2,4.4,3,3.8,2.4,2,2.8,2.5,3,2.9,3.7,5.5,3.6,5.2,4.2,2.6,3.4,2.8,2.6,4.2,4.5,5.7,2.9,2.4,2.2
2016/01/03,大園,WD_HR,27,281,120,131,131,120,103,345,120,44,21,34,28,32,32,40,35,53,49,122,139,133,107,145
