日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2016/01/01,大里,AMB_TEMP,17,16,16,17,16,16,16,16,18,19,21,23,24,24,24,24,22,21,20,20,20,19,20,20
2016/01/01,大里,CH4,2,2.1,2,2,2.2,2.1,2.1,2.1,2.1,2,2,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
2016/01/01,大里,CO,0.89,0.83,0.64,0.75,0.78,0.77,0.92,1.18,1.11,0.95,0.79,0.71,0.64,0.49,0.47,0.5,0.5,0.51,0.48,0.53,0.51,0.53,0.6,0.68
2016/01/01,大里,NMHC,0.37,0.31,0.21,0.4,0.37,0.32,0.46,0.54,0.53,0.65,0.32,0.27,0.23,0.14,0.14,0.15,0.15,0.15,0.12,0.14,0.13,0.13,0.17,0.25
2016/01/01,大里,NO,9.4,10,0.7,9.7,12,11,25,32,30,13,9.4,7.4,4.5,1.7,1.2,1.5,1,-0.3,0.1,0.3,0.5,0.4,0.4,0.6
2016/01/01,大里,NO2,31,31,28,34,29,26,25,23,25,28,30,32,28,17,17,19,20,19,18,21,21,22,25,27
2016/01/01,大里,NOx,41,41,29,44,41,37,50,55,55,41,40,39,33,19,18,21,21,19,18,22,21,22,25,27
2016/01/01,大里,O3,2.4,3,9.8,3.9,2.6,2.3,2.7,3.8,7.3,21,31,41,52,64,63,56,44,38,33,26,25,21,15,8.5
2016/01/01,大里,PM10,72,67,78,74,86,82,82,63,68,68,82,94,91,82,57,57,64,84,87,84,72,68,63,76
2016/01/01,大里,PM2.5,45,48,60,62,60,52,48,41,47,51,56,46,42,39,36,40,40,37,32,36,36,36,33,36
2016/01/01,大里,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2016/01/01,大里,RH,75,77,73,73,77,80,80,79,77,72,65,59,56,54,57,60,67,72,76,78,79,79,79,79
2016/01/01,大里,SO2,1.1,2.7,2.8,3.7,2.2,1.9,3,3.1,3.4,3.7,2.6,3,3,2.6,2.6,2.4,2.5,1.7,1.5,2,1.7,2,2.1,1.7
