日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2016/01/01,安南,AMB_TEMP,16,16,16,16,16,15,15,15,17,19,21,23,24,25,25,24,23,21,20,19,19,19,19,19
2016/01/01,安南,CH4,2,2,2,2.1,2.1,2.1,2.2,2.2,2.1,2.1,2,2,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.8
2016/01/01,安南,CO,0.53,0.56,0.56,0.61,0.67,0.71,0.74,0.8,0.82,0.83,0.76,0.67,0.53,0.49,0.41,0.36,0.36,0.43,0.41,0.36,0.36,0.39,0.45,0.46
2016/01/01,安南,NMHC,0.18,0.19,0.2,0.22,0.19,0.21,0.25,0.3,0.29,0.3,0.27,0.23,0.15,0.11,0.14,0.08,0.1,0.11,0.09,0.07,0.08,0.07,0.07,0.07
2016/01/01,安南,NO,-0.3,0,0.1,-0.8*,-0.4,-0.2,2.7,7.3,12,8.3,4.3,2.5,0,-0.2,-0.2,-0.6*,-0.6*,-0.6*,-0.8*,-0.7*,-0.7*,-0.8*,-0.7*,-0.7*
2016/01/01,安南,NO2,16,23,23,15*,19,20,30,27,26,26,26,24,11,11,10,8*,8.4*,11*,9.8*,8.3*,8.5*,11*,13*,9.9*
2016/01/01,安南,NOx,16,23,23,14*,18,20,33,35,39,35,30,26,11,11,10,7.4*,7.8*,11*,8.9*,7.6*,7.8*,11*,13*,9.3*
2016/01/01,安南,O3,21,14,16,20,16,13,4.1,7.6,12,25,42,56,75,69,70,64,55,46,41,39,34,28,24,29
2016/01/01,安南,PM10,106,106,107,108,105,103,107,113,132,138,152,147,137,119,97,89,92,103,102,93,91,89,90,88
2016/01/01,安南,PM2.5,78,72,72,73,82,84,82,84,92,103,100,106,93,80,58,47,45,43,40,36,34,43,47,47
2016/01/01,安南,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2016/01/01,安南,RH,77,77,79,80,80,81,82,82,77,71,65,63,60,61,63,67,73,79,82,85,86,88,89,89
2016/01/01,安南,SO2,2.6,3.8,3.6,3.7,3.6,3.4,3.3,3.9,5.3,5,4.3,4.5,4,5.1,4.5,3.1,2.9,2.9,2.6,2.3,2.2,2.5,3.1,2.7
2016/01/01,安南,THC,2.2,2.2,2.3,2.3,2.3,2.3,2.4,2.5,2.4,2.4,2.3,2.2,2,2,2,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
2016/01/01,安南,WD_HR,29,28,348,339,30,28,346,354,36,21,351,334,325,2.9,334,327,326,338,48,52,59,48,49,44
2016/01/01,安南,WIND_DIREC,354,351,330,24,22,33,346,23,30,21,356,308,318,38,313,325,327,38,46,50,44,36,51,50
2016/01/01,安南,WIND_SPEED,2.1,2,1.6,1.5,1.7,1.2,1.2,1.6,2,1.8,1.7,2.2,2.7,3.4,4.1,3.9,3.1,3.1,3.2,3.9,3,3.1,2.4,3.6
2016/01/01,安南,WS_HR,1,0.8,0.9,0.7,0.7,0.8,0.7,0.8,0.9,1,1,1.1,1.3,1.2,1.4,1.6,1.5,1.1,1.2,1.2,1.3,1.3,1.1,1.3
2016/01/02,安南,AMB_TEMP,19,19,19,19,19,19,19,19,19,20,22,22,22,22,22,22,21,20,20,20,20,20,20,20
2016/01/02,安南,CH4,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2,2
2016/01/02,安南,CO,0.44,0.43,0.42,0.41,0.43,0.46,0.51,0.56,0.57,0.55,0.56,0.52,0.51,0.53,0.54,0.61,0.55,0.59,0.52,0.55,0.44,0.45,0.54,0.52
2016/01/02,安南,NMHC,0.07,0.08,0.09,0.08,0.08,0.11,0.14,0.15,0.2,0.14,0.15,0.13,0.14,0.11,0.15,0.25,0.15,0.18,0.12,0.16,0.1,0.11,0.13,0.12
2016/01/02,安南,NO,-0.6*,-0.7*,-0.7*,-0.6*,-0.8*,-0.8*,-0.8*,-0.3,1.8,4.3,3.2,2.3,0.5,1.1,1.3,0.7,0.2,-0.5,-0.6*,-1*,-0.9*,-0.9*,-0.5,-0.5
2016/01/02,安南,NO2,9.3*,10*,10*,8.8*,8.2*,11*,12*,13,14,14,14,14,14,17,19,23,19,22,18*,18*,14*,13*,19,19
2016/01/02,安南,NOx,8.7*,9.6*,9.7*,8.1*,7.4*,11*,11*,12,16,18,18,17,14,18,20,24,19,22,17*,17*,13*,12*,18,18
2016/01/02,安南,O3,27,24,22,24,24,19,17,15,16,20,26,27,27,26,27,22,20,14,16,16,23,21,13,10
2016/01/02,安南,PM10,99,103,103,86,98,98,119,117,122,117,112,105,98,89,85,90,88,86,75,71,71,70,72,68
2016/01/02,安南,PM2.5,47,51,51,55,51,65,74,80,83,82,82,75,66,55,61,64,59,59,44,51,42,47,44,48
2016/01/02,安南,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.6,0.8,0.8,NR,0.2,NR,0.4,NR,0.4
2016/01/02,安南,RH,89,89,90,90,90,90,90,89,87,83,78,78,80,79,79,85,91,93,94,95,94,95,95,95
2016/01/02,安南,SO2,2.2,1.7,1.3,1.4,1.3,1.2,1.4,1.4,1.5,1.5,1.9,2,3.4,4,2.8,2.8,2.3,2.2,2,2.3,2.9,2.9,2.4,1.8
