日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2016/01/01,平鎮,AMB_TEMP,16,16,16,16,16,16,16,17,18,19,20,21,21,22,22,22,21,19,19,18,18,18,18,18
2016/01/01,平鎮,CO,0.47,0.46,0.4,0.36,0.35,0.35,0.36,0.4,0.41,0.41,0.41,0.43,0.41,0.4,0.42,0.42,0.42,0.42,0.45,0.38,0.37,0.4,0.39,0.38
2016/01/01,平鎮,NO,1.9,2,1.8,1.3,1.3,1,1.4,1.6,2.1,2.8,3,3.3,2.9,2.9,3,2.4,2.1,1.7,1.6,1.6,1.6,1.6,1.6,1.6
2016/01/01,平鎮,NO2,8.9,8.7,8.4,5.8,6.2,6.6,7.8,8.2,8.1,8.4,7.6,9.1,9.2,7.6,9.6,9.6,14,15,17,14,13,11,11,11
2016/01/01,平鎮,NOx,11,11,10,7,7.4,7.7,9.2,9.7,10,11,11,12,12,11,13,12,16,16,19,16,15,12,13,13
2016/01/01,平鎮,O3,43,42,42,41,39,38,36,35,35,36,37,38,39,40,39,37,31,26,22,25,27,29,28,28
2016/01/01,平鎮,PM10,109,94,86,72,68,58,62,62,53,43,37,38,37,39,47,47,58,65,75,71,70,73,76,72
2016/01/01,平鎮,PM2.5,60,54,49,45,32,30,33,36,32,31,23,16,19,20,20,14,21,26,33,30,30,32,32,40
2016/01/01,平鎮,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2016/01/01,平鎮,RH,74,76,79,78,79,79,80,79,75,72,70,69,69,69,68,70,74,85,89,90,91,92,93,93
2016/01/01,平鎮,SO2,5.6,4.5,3,2.8,3.5,3.2,4,3.6,4.3,2.7,3.2,2.9,2.8,2.5,2.6,2.9,3.8,2.8,3,2.8,3,2.5,2.5,2.9
2016/01/01,平鎮,WD_HR,72,62,55,56,56,57,57,58,64,68,68,58,63,58,53,50,44,44,47,48,42,45,31,20
2016/01/01,平鎮,WIND_DIREC,70,58,59,51,53,55,55,62,58,79,59,52,84,60,50,50,37,60,45,52,28,41,34,35
2016/01/01,平鎮,WIND_SPEED,4.9,4.5,4.5,4.4,4.9,4.8,4.3,3.7,3.2,2.8,3.2,3.8,3.9,3.2,3.3,2.5,2.7,2.1,2.5,2.5,2.1,2.3,1.8,1.1
2016/01/01,平鎮,WS_HR,3.8,4,4.4,4.3,4.2,4.1,3.9,3.6,3.4,3,2.9,2.9,3.1,2.9,2.5,2.4,1.6,1.2,1,1,1.1,1,0.7,0.7
2016/01/02,平鎮,AMB_TEMP,18,18,17,17,17,17,17,17,18,18,18,18,18,18,18,18,19,18,18,18,18,18,18,18
2016/01/02,平鎮,CO,0.37,0.34,0.33,0.34,0.35,0.37,0.41,0.51,0.48,0.41,0.41,0.42,0.44,0.43,0.47,0.51,0.6,0.73,1.25,0.97,0.67,1.07,1.23,1.5
2016/01/02,平鎮,NO,1.6,1.7,1.4,1.5,1.7,1.8,1.8,2.5,3.3,2.7,2.3,2.6,2.4,2.7,3.3,3.1,3.2,2.9,17,11,2.9,12,28,34
2016/01/02,平鎮,NO2,12,8.7,5.6,6.8,7,8.3,12,22,21,14,13,13,12,13,17,20,25,32,49,40,32,41,40,39
2016/01/02,平鎮,NOx,14,10,7,8.3,8.7,10,14,24,24,17,15,15,15,15,20,23,28,35,66,52,34,53,68,73
2016/01/02,平鎮,O3,28,33,36,35,33,33,29,20,21,28,28,27,31,32,29,28,22,15,1.4,3.9,12,2.7,1.2,1.3
2016/01/02,平鎮,PM10,71,73,81,83,82,73,73,72,77,70,63,62,71,81,85,90,98,111,115,117,116,113,112,111
2016/01/02,平鎮,PM2.5,33,39,32,33,27,27,30,30,37,30,40,39,40,38,44,55,57,59,56,72,72,77,62,65
2016/01/02,平鎮,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.2,NR,NR
2016/01/02,平鎮,RH,93,92,92,91,92,92,92,92,92,92,92,92,92,92,91,89,88,89,89,89,91,92,93,93
2016/01/02,平鎮,SO2,4.5,0.9,0.9,1.4,1.2,1.3,1.8,2.4,2.4,1.3,1.1,1.5,1.6,2,2.3,2.7,2.2,2.1,2.3,2.7,4.1,3.3,3.1,3.2
2016/01/02,平鎮,WD_HR,7.1,327,12,35,32,39,39,38,39,36,43,39,29,38,32,356,320,29,99,14,35,154,169,168
2016/01/02,平鎮,WIND_DIREC,321,316,29,37,37,36,38,32,38,17,41,42,21,13,17,344,1.4,288,104,38,62,348,181,187
2016/01/02,平鎮,WIND_SPEED,1.3,2.1,1.5,2.1,2.2,2.2,1.8,1.9,1.9,2.2,1.9,2.4,2.1,1.6,1.6,0.9,1.5,0.5,1.2,1.8,1.1,0.9,1.1,0.9
2016/01/02,平鎮,WS_HR,0.6,0.6,0.6,1.1,0.9,1.4,1.4,1.2,1.2,1.1,1.7,1.4,1.1,1.2,1,0.5,0.5,0.3,0.5,0.6,0.7,0.3,0.5,1
2016/01/03,平鎮,AMB_TEMP,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19
2016/01/03,平鎮,CO,0.85,0.64,0.62,0.66,0.77,0.76,0.77,0.82,0.95,0.85,0.83,0.87,0.66,0.65,0.7,0.72,0.59,0.49,0.73,1,0.83,0.72,0.71,0.67
2016/01/03,平鎮,NO,14,5.3,3,3.7,7.8,4.6,4.6,15,19,18,15,17,9.7,8.5,9,6,4.6,2,8.3,21,13,11,8.3,9.3
2016/01/03,平鎮,NO2,36,33,28,34,35,34,35,32,34,29,29,37,33,33,32,32,32,25,36,38,34,31,30,28
2016/01/03,平鎮,NOx,51,38,31,38,43,39,40,48,53,47,44,54,43,42,41,38,36,27,44,60,48,42,38,38
2016/01/03,平鎮,O3,1.6,3.2,8.1,2.9,1.3,3.7,2.6,2.6,3.8,6.2,8.9,6.9,9.3,10,11,12,8,13,3.3,1,0.9,1.1,0.9,0.8
2016/01/03,平鎮,PM10,110,106,103,92,81,78,75,81,71,69,58,48,45,48,48,48,43,47,48,45,38,34,30,27
2016/01/03,平鎮,PM2.5,60,64,57,54,57,48,46,38,39,35,38,36,31,25,36,41,42,30,24,20,21,14,6,7
2016/01/03,平鎮,RAINFALL,NR,NR,0.6,0.2,NR,1.2,0.2,1.6,1.4,0.8,0.6,0.8,1.6,1.2,0.2,NR,NR,NR,0.6,0.8,3.4,0.2,NR,NR
2016/01/03,平鎮,RH,93,94,94,95,95,95,95,96,96,96,96,95,95,95,95,95,95,95,96,96,96,96,96,96
2016/01/03,平鎮,SO2,2.8,4.5,4.1,3.5,3.1,3.3,2.8,2.6,3,2.5,2.9,4.2,4,3.1,2.9,2.6,2.3,1.9,2,3.6,3.2,2.3,2.9,2.9
2016/01/03,平鎮,WD_HR,302,286,150,139,358,100,116,357,67,128,86,22,20,38,48,57,29,42,14,127,116,113,96,140
2016/01/03,平鎮,WIND_DIREC,281,282,174,100,43,79,128,31,108,112,358,47,28,35,71,35,28,41,346,121,102,124,99,118
2016/01/03,平鎮,WIND_SPEED,0.9,1,1.1,0.7,0.7,0.7,1.2,0.9,1.2,1.2,0.6,1.6,1,1,0.7,1.7,2.3,1,0.6,2.2,2,1.6,1.5,1.8
2016/01/03,平鎮,WS_HR,0.6,0.8,0.5,0.8,0.5,0.5,1,0.4,0.6,1.5,0.6,0.9,0.7,0.6,0.5,0.7,1.1,1.1,0.4,1.3,1.5,1.8,1.4,1.1
2016/01/04,平鎮,AMB_TEMP,19,19,19,19,19,19,19,19,19,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21
2016/01/04,平鎮,CO,0.6,0.6,0.58,0.54,0.41,0.53,0.75,1.28,0.76,0.63,0.55,0.38,0.31,0.28,0.32,0.33,0.53,0.87,0.95,0.9,1.07,1.19,0.93,0.8
2016/01/04,平鎮,NO,6.6,5.3,14,11,4.7,6.3,34,93,41,26,20,9.4,5.1,3.3,3.6,2.8,5.7,8.1,17,12,19,28,23,18
2016/01/04,平鎮,NO2,28,27,27,27,23,27,28,30,27,25,25,22,22,18,18,18,29,38,37,33,36,33,28,22
2016/01/04,平鎮,NOx,35,33,41,38,28,33,61,123,68,50,46,31,27,21,22,21,35,46,53,44,55,61,51,40
2016/01/04,平鎮,O3,0.6,0.9,0.7,0.8,3.7,1.3,0.8,1.2,2.4,5.9,7.6,14,19,22,20,20,11,4.2,1.2,1.6,1,0.8,0.7,0.7
