日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2016/01/01,彰化,AMB_TEMP,15,15,15,15,15,14,14,15,16,18,20,21,22,22,22,22,20,19,18,18,18,18,18,18
2016/01/01,彰化,CH4,1.9,2,1.9,2,2,2,2,2,2,2,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
2016/01/01,彰化,CO,0.61,0.66,0.63,0.6,0.61,0.66,0.81,0.78,0.82,1,0.73,0.51,0.46,0.43,0.41,0.42,0.45,0.49,0.51,0.51,0.52,0.55,0.48,0.43
2016/01/01,彰化,NMHC,0.22,0.2,0.17,0.21,0.21,0.25,0.28,0.25,0.3,0.39,0.27,0.2,0.12,0.1,0.09,0.1,0.11,0.12,0.12,0.12,0.12,0.13,0.12,0.1
2016/01/01,彰化,NO,1.8,1.2,0.7,1.2,1.3,2.4,8.6,7.9,9.9,15,12,5.9,1.9,1.4,1.2,0.9,1.1,1.4,1.4,0.9,1.4,1.5,1.2,1.1
2016/01/01,彰化,NO2,22,22,19,18,23,28,31,24,22,31,26,22,11,9.3,9.1,8.9,10,13,14,14,14,15,13,11
2016/01/01,彰化,NOx,23,24,20,19,24,30,40,32,32,46,38,28,13,11,10,9.7,12,14,15,15,16,16,14,12
2016/01/01,彰化,O3,21,19,19,18,13,4.6,2.7,8.8,14,16,24,36,57,60,58,53,43,37,33,31,30,26,26,28
2016/01/01,彰化,PM10,75,69,63,57,58,58,58,49,50,61,69,67,54,58,46,40,64,63,68,71,71,71,68,68
2016/01/01,彰化,PM2.5,51,68*,59,42,42,59*,47,41,23,46,43,40,21,29,31,24,38,36,38,38,29,41,39,41
2016/01/01,彰化,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2016/01/01,彰化,RH,69,70,72,73,74,75,75,75,71,68,64,61,62,64,66,69,74,78,80,80,81,82,82,82
2016/01/01,彰化,SO2,6,3.2,2.8,2.9,3.1,3.5,3.3,2.8,3,7.5,4.3,4.9,2.5,2.2,2,2,1.8,1.8,1.9,1.8,1.6,2.1,1.8,1.7
2016/01/01,彰化,THC,2.1,2.2,2.1,2.2,2.2,2.3,2.3,2.2,2.3,2.4,2.2,2,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2,2,1.9
2016/01/01,彰化,UVB,0,0,0,0,0,0,0,0.3,1.2,2.6,4.1,5.1,5.1,4.3,2.8,1.3,0.3,0,0,0,0,0,0,0
2016/01/01,彰化,WD_HR,46,8.1,32,37,36,28,25,41,41,352,323,335,333,339,341,344,28,43,49,52,45,44,43,42
