日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2016/01/01,斗六,AMB_TEMP,15,15,15,14,15,15,14,15,17,19,21,23,25,25,25,25,23,20,19,18,18,18,17,17
2016/01/01,斗六,CO,0.59,0.76,0.66,0.64,0.74,0.74,0.77,0.83,0.92,0.79,0.61,0.58,0.47,0.52,0.65,0.46,0.47,0.47,0.44,0.45,0.46,0.48,0.53,0.54
2016/01/01,斗六,NO,1.3,8.7,4.1,4.1,7.3,4.6,9,17,17,15,7.5,3.5,2.3,2.3,2.4,1.3,1.8,1.8,1.5,2.1,1.9,2.7,2.3,2
2016/01/01,斗六,NO2,26,29,29,28,27,28,27,33,29,31,23,17,13,14,19,13,15,15,15,19,24,18,19,21
2016/01/01,斗六,NOx,27,38,33,32,34,33,36,49,45,46,30,21,15,16,21,14,17,17,17,22,25,21,22,23
2016/01/01,斗六,O3,13,2,3.9,2.1,1.4,2.2,1.8,4.4,9.6,15,30,50,65,67,60,69,55,39,32,27,22,19,13,8.2
2016/01/01,斗六,PM10,83,85,89,88,81,77,75,75,87,94,98,93,88,85,76,68,71,77,97,98,102,95,101,93
2016/01/01,斗六,PM2.5,58,56,51,46,55,58,65,63,66,67,62,61,57,61,61,48,49,52,48,46,38,47,44,42
2016/01/01,斗六,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2016/01/01,斗六,RH,75,78,79,81,83,82,82,82,76,71,65,59,54,55,54,56,65,75,80,83,85,87,88,88
2016/01/01,斗六,SO2,3.4,2.5,2.3,1.8,2.4,3.5,2.7,3.1,5,4.9,3.6,4.1,4.2,5.3,9.1,3.5,3.2,2.5,2.2,1.8,1.7,1.2,1.3,1.7
2016/01/01,斗六,UVB,0,0,0,0,0,0,0,0.2,1,2.2,3.6,4.5,4.3,3.4,2.2,1,0.2,0,0,0,0,0,0,0
2016/01/01,斗六,WD_HR,35,63,33,36,48,66,31,94,70,16,328,357,20,359,357,1.8,32,31,30,32,35,34,32,35
2016/01/01,斗六,WIND_DIREC,65,16,37,32,76,41,33,134,65,39,12,27,338,10,23,356,37,59,36,31,33,36,33,34
2016/01/01,斗六,WIND_SPEED,0.5,1,1,0.9,0.5,0.7,0.8,0.5,0.6,1,1.8,2.4,1.7,2.3,2,2.9,3.4,3.2,1.5,1.5,1.3,1.4,1.3,1.3
