日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2016/01/01,新營,AMB_TEMP,15,15,15,15,15,15,14,14,16,18,20,22,23,24,24,24,22,20,19,19,18,18,18,18
2016/01/01,新營,CH4,2.1,2.1,2.2,2.2,2.2,2.2,2.3,2.4,2.3,2.2,2.1,2,2,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2,1.9,1.9,2
2016/01/01,新營,CO,0.57,0.59,0.61,0.64,0.65,0.69,0.75,0.76,0.85,0.9,0.81,0.66,0.55,0.5,0.45,0.43,0.46,0.46,0.44,0.43,0.46,0.51,0.57,0.51
2016/01/01,新營,NMHC,0.16,0.17,0.16,0.16,0.2,0.24,0.22,0.23,0.33,0.32,0.24,0.18,0.13,0.09,0.07,0.07,0.07,0.07,0.06,0.05,0.05,0.05,0.05,0.05
2016/01/01,新營,NO,1.2,1.2,1.2,0.7,1,2.4,6.3,9.7,22,18,12,4.9,1.7,1.5,1.3,1,1,0.8,0.9,0.8,0.7,0.7,0.8,0.9
2016/01/01,新營,NO2,20,24,24,18,24,31,31,26,30,32,33,24,15,15,13,13,14,14,16,16,15,15,14,12
2016/01/01,新營,NOx,21,26,25,19,25,33,38,36,53,50,45,29,17,16,14,14,15,15,17,16,15,16,15,13
2016/01/01,新營,O3,18,14,15,21,11,5.5,2.6,5.9,7.7,16,28,52,72,69,71,64,49,42,35,34,27,24,24,25
2016/01/01,新營,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2016/01/01,新營,PM10,111,114,120,127,126,117,116,111,121,128,143,140,129,115,104,103,101,101,98,93,95,97,99,98
2016/01/01,新營,PM2.5,54,56,60,69,71,71,71,67,73,75,85,83,74,66,55,52,45,40,33,33,37,37,36,38
2016/01/01,新營,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2016/01/01,新營,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2016/01/01,新營,RH,75,76,78,79,79,80,81,81,78,72,65,60,58,56,57,61,69,76,80,82,84,86,86,87
2016/01/01,新營,SO2,3.6,4.3,3.8,3.6,3.9,3.7,3.2,3.6,4.7,4.8,6.1,5.2,4.5,5.1,4.3,4,3.6,3.1,3.4,3.8,3.8,3.6,3.7,3.1
2016/01/01,新營,THC,2.2,2.3,2.3,2.3,2.4,2.4,2.5,2.6,2.6,2.5,2.3,2.2,2.1,2,2,2,2,2,2,2,2,2,2,2
2016/01/01,新營,UVB,0,0,0,0,0,0,0,0.2,1,2.2,3.5,4.3,4.4,3.6,2.4,1.1,0.3,0,0,0,0,0,0,0
2016/01/01,新營,WD_HR,34,26,329,26,37,27,1,27,17,355,19,346,304,328,352,359,343,15,40,41,48,39,41,39
2016/01/01,新營,WIND_DIREC,34,346,327,38,29,12,25,37,9.9,8.8,24,343,287,339,346,50,304,336,47,45,64,39,29,35
2016/01/01,新營,WIND_SPEED,1.8,1.1,1.8,1.5,1.4,1.1,1.3,1.6,1.5,1.9,1.9,2.1,2.2,3.1,3,3.3,3.5,2.8,3.4,3.9,2.6,2.7,2.5,2.4
2016/01/01,新營,WS_HR,1.1,1,1.2,1,1.2,0.8,0.6,1.1,0.9,0.9,0.9,0.9,1.2,1.5,1,1,0.8,0.5,1.3,1.3,1.2,1.3,1.1,1.6
2016/01/02,新營,AMB_TEMP,18,18,18,18,18,18,18,18,19,20,21,22,22,22,21,21,20,20,20,19,19,19,19,19
2016/01/02,新營,CH4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.1,2,2,2,2,2.1
2016/01/02,新營,CO,0.48,0.46,0.48,0.47,0.49,0.51,0.53,0.55,0.53,0.53,0.59,0.53,0.46,0.52,0.57,0.57,0.59,0.66,0.57,0.5,0.53,0.48,0.49,0.47
2016/01/02,新營,NMHC,0.07,0.08,0.08,0.09,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.1,0.1,0.13,0.15,0.12,0.13,0.17,0.13,0.09,0.09,0.08,0.09,0.08
2016/01/02,新營,NO,0.8,0.7,0.8,1.6,1.5,1.5,1.7,2.8,3.8,5.4,7.9,6.5,2.9,2.5,3.5,3.1,3.6,3.9,3.2,2.2,1.7,1.7,2.1,1.7
2016/01/02,新營,NO2,19,16,17,15,15,14,16,22,17,15,18,17,14,19,23,23,28,30,23,18,17,15,21,18
2016/01/02,新營,NOx,19,17,18,17,16,15,18,25,21,21,26,24,17,21,26,26,32,33,26,20,19,17,23,19
2016/01/02,新營,O3,16,17,18,19,18,18,13,9.3,16,19,19,27,36,31,26,21,11,8.9,14,18,19,19,11,14
2016/01/02,新營,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,5.3,NR,5.5,5.5,NR,NR,NR,5.5,NR
2016/01/02,新營,PM10,100,103,108,108,117,123,130,118,107,97,100,100,95,88,86,92,94,98,96,89,85,83,89,92
2016/01/02,新營,PM2.5,47,49,50,46,51,55,57,65,61,65,63,58,54,43,47,52,55,54,49,45,42,47,49,43
2016/01/02,新營,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.8,0.2,NR,0.8,0.2,NR,NR,0.8,1
2016/01/02,新營,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,4.7,NR,4.1,5.7,NR,NR,NR,7.8,NR
2016/01/02,新營,RH,87,87,87,87,86,86,87,86,83,80,76,72,71,77,79,85,89,89,91,91,90,91,91,92
2016/01/02,新營,SO2,2.7,2.2,1.9,1.4,1.3,1.2,1.4,1.5,1.5,1.5,2.2,2.8,2.3,2.5,2.3,2.9,3,2.6,1.9,1.7,2,1.9,2.3,2.1
2016/01/02,新營,THC,2.1,2.1,2,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.2,2.1,2.1,2.2,2.2,2.1,2.1,2.1,2.1,2.1
2016/01/02,新營,UVB,0,0,0,0,0,0,0,0.1,0.7,2.1,3.2,3,1.1,0.9,0.9,0.2,0.1,0,0,0,0,0,0,0
2016/01/02,新營,WD_HR,42,40,31,34,45,41,41,39,39,40,45,45,23,54,26,40,5.6,315,310,359,12,34,31,16
2016/01/02,新營,WIND_DIREC,37,39,37,41,42,38,46,40,39,39,51,43,36,41,6.4,28,331,315,307,34,11,36,29,56
2016/01/02,新營,WIND_SPEED,1.9,2.1,2.1,2,2.1,2.3,1.9,1.9,2.3,3.1,3.1,3,1.8,2,2.1,2,0.9,1.6,2.2,1.9,2.1,1.2,1.7,1.7
2016/01/02,新營,WS_HR,1.2,1.1,1.2,1.4,1.7,2.1,1.5,1.2,1.5,1.7,1.5,1.2,0.9,1.4,0.9,0.9,0.7,1,1,0.6,0.7,0.8,0.8,0.7
2016/01/03,新營,AMB_TEMP,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,21,20,20,20,20,20,20,20
2016/01/03,新營,CH4,2.1,2.1,2,2.1,2.1,2.1,2,2,2,2,2,2,2,2,2,1.9,2,2,2,2,2,2.1,2.1,2.1
2016/01/03,新營,CO,0.45,0.43,0.44,0.53,0.56,0.55,0.42,0.39,0.45,0.47,0.49,0.51,0.49,0.52,0.46,0.4,0.48,0.44,0.48,0.5,0.45,0.52,0.61,0.62
2016/01/03,新營,NMHC,0.07,0.07,0.07,0.1,0.11,0.12,0.08,0.07,0.1,0.11,0.14,0.13,0.12,0.16,0.12,0.09,0.14,0.11,0.12,0.12,0.1,0.11,0.13,0.14
2016/01/03,新營,NO,1.7,1.7,1.6,1.5,1.5,2.3,1.6,1.7,2.6,2.3,4,5.9,7,8.7,6.6,5.2,7.8,3.2,2.7,3,1.7,2.3,4,7.2
2016/01/03,新營,NO2,15,14,14,18,21,22,16,18,19,18,22,22,22,19,18,19,25,21,24,25,20,24,28,28
2016/01/03,新營,NOx,16,16,15,20,23,25,17,20,21,20,26,28,29,28,25,24,32,24,27,28,21,26,32,35
2016/01/03,新營,O3,15,16,13,7.8,4.4,3.2,12,12,12,11,8.1,5.4,6.7,7.5,9.3,9.2,4.4,7,7.8,7.3,11,4.5,0.9,0.5
2016/01/03,新營,PH_RAIN,NR,NR,NR,NR,NR,NR,5,5,6,5.4,5.8,5.9,6,5.9,6,5.9,5.9,6.1,6.2,NR,NR,NR,6.2,NR
2016/01/03,新營,PM10,92,93,90,91,85,86,70,59,40,35,34,34,28,24,22,20,12,13,23,31,31,28,28,23
2016/01/03,新營,PM2.5,37,30,35,32,35,32,33,26,19,9,13,13,15,8,11,7,10,2,4,8,14,14,14,10
2016/01/03,新營,RAINFALL,1.2,NR,2.4,NR,NR,2.2,5.4,1.4,1,6.2,5.6,7.4,5.6,3.2,8.2,7.2,3.4,1,0.4,NR,0.2,NR,3.2,NR
2016/01/03,新營,RAIN_COND,NR,NR,NR,NR,NR,NR,4.3,4.5,5,4.2,4.3,4,4.4,4.7,3.9,4.6,4,3.3,4.9,NR,NR,NR,3.7,NR
2016/01/03,新營,RH,92,93,93,93,93,93,93,93,93,93,94,94,94,94,93,94,94,94,94,94,94,94,94,94
