日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2016/01/01,新莊,AMB_TEMP,17,17,17,17,17,17,17,18,19,20,21,21,22,22,23,22,22,21,21,21,21,20,19,19
2016/01/01,新莊,CO,0.51,0.49,0.46,0.43,0.33,0.32,0.38,0.48,0.43,0.39,0.37,0.34,0.35,0.39,0.36,0.39,0.4,0.61,0.87,0.68,0.8,5.88,1.28,1.22
2016/01/01,新莊,NO,1.4,1.6,1.7,0.9,1,1.3,0.8,1.7,2.1,2.9,3,2.6,1.9,2.2,2.3,2.1,1.9,1.1,1.3,1.8,4.3,9.1,18,27
2016/01/01,新莊,NO2,12,9.9,11,9,6.9,7.2,10,15,13,12,11,8.9,8.8,9.4,10,13,13,18,25,30,41,57,41,34
2016/01/01,新莊,NOx,13,11,12,9.9,7.8,8.4,11,17,15,15,14,11,11,12,12,15,15,19,26,32,45,66,59,61
2016/01/01,新莊,O3,44,44,41,41,43,41,36,30,33,35,38,41,42,41,41,38,37,33,26,20,11,3.4,0.7,0.6
2016/01/01,新莊,PM10,96,88,79,67,60,55,50,50,51,52,46,41,38,43,49,50,50,50,49,48,47,49,51,50
2016/01/01,新莊,PM2.5,57,53,48,38,34,30,30,29,27,27,25,25,25,24,24,24,24,25,25,24,24,24,25,25
2016/01/01,新莊,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2016/01/01,新莊,RH,67,70,71,71,73,74,74,73,69,67,67,66,65,65,65,67,70,73,73,76,78,80,83,85
2016/01/01,新莊,SO2,3,2.3,2.2,2,2.1,2.1,1.9,1.9,1.9,2.1,2,1.9,2,3,3.8,6.4,5.7,5.7,7.4,9.9,12,8.9,5.7,4.3
2016/01/01,新莊,WD_HR,86,89,92,91,89,87,91,82,78,78,67,68,71,67,70,66,69,67,68,62,50,71,237,189
2016/01/01,新莊,WIND_DIREC,88,89,94,90,86,80,94,77,73,79,68,76,72,65,63,62,65,62,64,60,51,176,224,184
2016/01/01,新莊,WIND_SPEED,5.3,4.6,3.6,4.4,3.9,3.7,3.6,2.2,4.5,5.6,5.8,6.2,6.6,5.8,5.7,4.8,4.3,3.4,3.3,1.9,0.7,0.5,1.1,0.8
2016/01/01,新莊,WS_HR,4.5,4.3,3.5,3.8,4.2,4.5,3.3,2.6,3.9,5.1,5.8,6,5.5,5.5,5.2,4.5,4.6,3.4,2.9,1.9,0.9,0.4,1.3,0.9
2016/01/02,新莊,AMB_TEMP,18,18,19,19,18,18,19,19,19,19,20,20,20,20,20,20,20,20,20,19,19,19,19,19
2016/01/02,新莊,CO,1.1,1.18,0.98,0.44,0.37,0.4,1.97,0.84,0.44,0.98,0.54,1.21,1.92,0.46,0.51,0.97,0.89,1.05,1.7,2.16,1.3,1.66,2.65,1.58
