日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2016/01/01,朴子,AMB_TEMP,16,16,16,16,15,15,15,16,18,20,22,24,25,25,25,24,22,21,20,20,20,20,20,20
2016/01/01,朴子,CO,0.67,0.73,0.72,0.67,0.62,0.6,0.61,0.6,0.57,0.5,0.52,0.56,0.42,0.36,0.34,0.34,0.35,0.34,0.32,0.31,0.32,0.36,0.42,0.43
2016/01/01,朴子,NO,2.1,2.4,2.5,0.6,0.8,0.8,1,2.5,3,2.4,2.7,3.3,2.1,1.1,1.2,1.3,1.1,0.9,0.8,0.9,0.7,0.7,0.8,1
2016/01/01,朴子,NO2,17,18,17,14,13,13,15,14,13,11,12,15,11,7.6,7.5,8,7.4,9.6,8,7.4,7.3,7.1,8.6,7.7
2016/01/01,朴子,NOx,19,20,20,15,13,14,16,16,16,13,15,19,13,8.7,8.7,9.2,8.5,10,8.8,8.3,8,7.8,9.4,8.6
2016/01/01,朴子,O3,25,21,20,21,20,19,17,18,25,37,42,47,60,69,67,60,54,47,45,43,40,39,37,35
2016/01/01,朴子,PM10,127,135,132,129,121,105,111,110,117,93,79,80,102,114,115,118,132,134,116,96,79,81,89,107
2016/01/01,朴子,PM2.5,71,76,71,88,83,84,75,73,71,62,55,51,57,55,40,39,37,44,40,38,37,40,54,62
2016/01/01,朴子,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2016/01/01,朴子,RH,78,79,80,82,84,84,84,84,77,67,62,58,56,57,60,66,74,81,84,86,88,88,88,88
2016/01/01,朴子,SO2,4.8,4.2,4.5,3.6,2.7,2.7,2.8,3.1,3.4,3.4,3.7,6.1,4.3,3.4,2.9,2.7,2.3,2.1,1.8,1.9,2,2.5,2.9,2.7
2016/01/01,朴子,UVB,0,0,0,0,0,0,0,0.3,1.2,2.7,4.1,4.9,5.2,4.2,2.8,1.3,0.3,0,0,0,0,0,0,0
2016/01/01,朴子,WD_HR,44,339,8.2,49,41,29,47,46,47,51,17,352,322,318,311,307,300,293,24,73,79,90,77,70
2016/01/01,朴子,WIND_DIREC,39,317,44,51,54,15,40,51,46,36,323,340,309,315,304,306,279,278,38,48,80,95,75,59
2016/01/01,朴子,WIND_SPEED,1,1.8,1.4,1.2,0.9,1.1,1.4,1.7,1.8,1.8,1.8,2.3,3.1,3.9,4.1,4.6,3.5,3.1,2.9,2.3,3,2.9,2.4,2
2016/01/01,朴子,WS_HR,0.6,0.8,0.6,0.7,0.6,0.5,0.7,1.2,1.4,1.1,0.8,1.2,1.5,1.3,2.1,1.9,1.1,0.5,0.2,1,0.7,1,1,0.9
2016/01/02,朴子,AMB_TEMP,20,20,20,20,20,20,,,20#,21,23,24,24,23,22,21,21,21,21,21,20,20,20,20
2016/01/02,朴子,CO,0.43,0.4,0.37,0.37,0.38,0.38,,,0.39#,0.42,0.5,0.49,0.47,0.4,0.45,0.41,0.43,0.56,0.54,0.47,0.45,0.38,0.38,0.36
2016/01/02,朴子,NO,0.9,0.2,0.8,0.5,0.2,0.6,,,0.8#,2.7,6.3,4.3,2.5,1.9,1.8,1.7,1.8,2.3,2,1.7,1.2,1,1.1,1.4
2016/01/02,朴子,NO2,7.3,6.7,6.8,7.5,7.5,7.1,,,9.4#,9.6,15,15,13,11,12,12,12,17,15,18,15,8.2,7.1,5.8
2016/01/02,朴子,NOx,8.1,6.9,7.5,8,7.8,7.7,,,10#,12,21,19,16,13,14,13,14,20,17,20,16,9.2,8.2,7.2
2016/01/02,朴子,O3,34,36,35,34,35,35,,,22#,27,25,33,37,37,32,30,28,23,24,18,21,29,31,33
2016/01/02,朴子,PM10,114,102,90,80,80,83,,,98,97,99,96,91,98,95,96,88,90,82,87,80,83,74,74
2016/01/02,朴子,PM2.5,58,48,50,46,51,52,,,51,51,48,45,46,42,60,52,57,42,50,47,55,50,52,41
2016/01/02,朴子,RAINFALL,NR,NR,NR,NR,NR,NR,,,0#,NR,NR,NR,NR,NR,0.2,0.4,NR,NR,NR,NR,NR,NR,NR,1.2
2016/01/02,朴子,RH,88,87,86,87,87,87,,,84#,80,72,68,69,79,87,92,94,94,94,94,95,95,95,95
2016/01/02,朴子,SO2,2.4,1.9,1.8,1.9,1.6,1.4,,,1.4#,2.2,6.6,5.9,5,3.3,2.8,2.4,2.1,2,2.1,3.7,3,1.8,1.6,1.4
2016/01/02,朴子,UVB,0,0,0,0,0,0,,,0.9#,2.3,3.7,3.5,1.8,1,0.7,0.4,0.2,0,0,0,0,0,0,0
2016/01/02,朴子,WD_HR,60,62,71,55,50,53,,,47#,56,62,63,333,29,323,30,18,294,305,345,23,48,39,37
2016/01/02,朴子,WIND_DIREC,104,71,37,48,54,66,,,50,55,74,39,56,49,299,61,20,274,317,323,46,45,313,43
2016/01/02,朴子,WIND_SPEED,2.5,2.4,1.7,2,2.2,1.8,,,2.2,3.2,3.3,2.6,2,1.6,2.4,2,1.1,1.5,1.2,1.4,1.4,1.7,1.7,2.1
2016/01/02,朴子,WS_HR,1,1,0.6,1.1,1.5,1.1,,,1.8#,1.5,1.6,1.5,0.7,0.5,0.8,0.5,0.5,1.1,1,0.5,0.7,0.9,0.7,0.7
