日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2016/01/01,松山,AMB_TEMP,,,,,,,,,,0#,18,19,19,21,21,21,21,20,20,20,20,19,19,19
2016/01/01,松山,CH4,,,,,,,,,,0#,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.9
2016/01/01,松山,CO,,,,,,,,,,0.01#,0.43,0.42,0.41,0.38,0.38,0.38,0.41,0.58,0.82,0.82,0.8,0.78,0.69,0.53
2016/01/01,松山,NMHC,,,,,,,,,,,0.12,0.1,0.1,0.08,0.07,0.06,0.09,0.16,0.24,0.26,0.25,0.23,0.19,0.13
2016/01/01,松山,NO,,,,,,,,,,1.6#,4.8,4,3.9,4.6,3.9,3.8,3.5,5.4,14,15,14,14,7.5,3.3
2016/01/01,松山,NO2,,,,,,,,,,,23,18,16,15,14,15,21,29,40,40,40,40,35,25
2016/01/01,松山,NOx,,,,,,,,,,0.6#,27,22,20,20,18,19,25,35,54,55,55,54,42,29
2016/01/01,松山,O3,,,,,,,,,,0#,22,30,32,34,35,34,27,17,4.6,4.3,4.3,5,8.4,16
2016/01/01,松山,PM10,,,,,,,,,,0#,53,58,63,66,70,65,62,55,61,59,58,46,44,44
2016/01/01,松山,PM2.5,,,,,,,,,,-4#,15,20,23,33,28,28,23,24,29,32,31,28,28,25
2016/01/01,松山,RAINFALL,,,,,,,,,,0#,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2016/01/01,松山,RH,,,,,,,,,,0#,75,75,74,71,70,72,76,80,83,84,84,85,86,87
2016/01/01,松山,SO2,,,,,,,,,,0#,1.9,1.5,1.6,1.9,2.3,3.3,7.9,6,5.1,4.8,5,5.3,4.9,4.2
2016/01/01,松山,THC,,,,,,,,,,0#,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2,2.1,2.1,2.2,2.1,2.1,2
2016/01/01,松山,WD_HR,,,,,,,,,,0#,65,63,69,67,70,69,67,68,64,72,75,72,75,76
2016/01/01,松山,WIND_DIREC,,,,,,,,,,0#,54,63,69,63,66,74,60,65,62,70,77,83,70,108
2016/01/01,松山,WIND_SPEED,,,,,,,,,,0#,2.4,2.6,2.3,3,2.7,2.5,2.4,1.2,1.4,1.4,1,1,0.9,0.6
2016/01/01,松山,WS_HR,,,,,,,,,,0#,1.7,2.1,1.9,2.1,2.2,2.3,2,1.3,1.1,1.1,0.9,0.6,0.4,0.4
2016/01/02,松山,AMB_TEMP,19,19,19,18,18,18,18,18,18,19,19,20,20,19,19,20,19,19,19,18,18,18,18,18
2016/01/02,松山,CH4,2.1,2,2,2,2,2.1,2.1,2,2,2,2,2,1.9,1.9,1.9,2,2,2,2.1,2,1.9,1.9,2,2
2016/01/02,松山,CO,1.09,0.91,0.65,0.57,0.49,0.55,0.56,0.63,0.67,0.7,0.68,0.7,0.57,0.66,0.68,0.77,0.84,0.98,1.08,1,0.93,0.87,1.01,1.21
2016/01/02,松山,NMHC,0.34,0.32,0.2,0.21,0.18,0.21,0.18,0.21,0.22,0.22,0.21,0.23,0.17,0.17,0.19,0.26,0.32,0.34,0.39,0.34,0.3,0.26,0.3,0.38
2016/01/02,松山,NO,23,15,6.7,3.7,3.5,4.6,12,16,15,14,12,15,5.5,3.7,3.9,9.2,11,20,34,33,21,15,19,37
2016/01/02,松山,NO2,32,26,22,17,14,17,17,17,17,23,26,29,26,24,25,37,40,42,37,37,36,33,33,31
2016/01/02,松山,NOx,54,41,29,21,18,22,29,33,32,37,38,44,31,27,29,46,51,62,72,69,57,48,52,69
2016/01/02,松山,O3,4.8,3.4,7.8,8.3,11,6.1,4.1,3.9,7,8.4,10,9.1,18,24,23,11,6,2.9,2.4,2.3,2.6,2.5,2.5,2.4
2016/01/02,松山,PM10,52,44,40,27,26,22,21,25,16,34,43,68,81,95,109,101,101,87,94,88,94,87,91,91
2016/01/02,松山,PM2.5,22,20,25,22,19,13,15,8,8,16,28,34,35,45,50,49,44,44,41,39,42,46,43,44
2016/01/02,松山,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2016/01/02,松山,RH,86,82,82,81,81,81,81,81,81,80,79,79,81,81,81,82,83,84,86,87,87,88,88,88
2016/01/02,松山,SO2,3.4,2.2,2.2,1.7,1.8,1.8,1.7,1.9,2.2,2.7,2.8,3.1,3.8,2.6,2.4,3.4,3.6,4,5.4,6.6,5.3,4.6,4.9,4.4
2016/01/02,松山,THC,2.4,2.4,2.2,2.2,2.2,2.3,2.3,2.2,2.2,2.2,2.2,2.2,2,2.1,2.1,2.2,2.3,2.3,2.4,2.3,2.2,2.2,2.3,2.4
2016/01/02,松山,WD_HR,230,231,225,206,206,224,219,159,23,16,34,41,31,297,23,51,41,56,56,59,63,63,23,21
2016/01/02,松山,WIND_DIREC,230,235,231,213,209,236,269,79,49,65,12,54,309,321,55,50,37,65,59,61,59,28,113,312
2016/01/02,松山,WIND_SPEED,1.4,0.8,1.1,0.9,1,0.7,0.9,0.8,0.6,0.5,0.5,0.5,1.3,0.8,1.4,0.8,1.1,0.9,1,1.3,0.9,1.1,0.5,1
