日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2016/01/01,板橋,AMB_TEMP,17,17,17,17,17,17,17,18,19,19,20,21,21,22,22,22,22,21,21,21,21,21,20,18
2016/01/01,板橋,CH4,2,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2,2,2,2,2,2
2016/01/01,板橋,CO,0.56,0.53,0.46,0.42,0.37,0.37,0.43,0.43,0.44,0.45,0.45,0.45,0.43,0.43,0.43,0.45,0.49,0.61,0.72,0.72,0.78,0.93,0.91,0.64
2016/01/01,板橋,NMHC,0.15,0.13,0.11,0.1,0.09,0.08,0.11,0.11,0.1,0.11,0.12,0.13,0.11,0.11,0.11,0.13,0.14,0.19,0.23,0.24,0.24,0.3,0.35,0.23
2016/01/01,板橋,NO,1.7,1.8,1.8,1.5,1.2,1.5,1.7,2,3.1,4.1,4.1,4.4,4.1,3.8,3.7,3.3,3.2,2.4,3.9,3.6,5.1,9.1,7.1,7
2016/01/01,板橋,NO2,14,12,11,9.5,8.3,9.3,16,16,15,14,14,15,13,14,14,17,21,26,33,33,36,42,35,23
2016/01/01,板橋,NOx,16,14,13,11,9.5,11,17,18,18,18,18,19,17,18,18,20,24,29,37,36,41,51,42,30
2016/01/01,板橋,O3,43,44,43,43,42,40,33,33,34,36,37,37,40,39,39,35,30,24,17,18,14,7.4,6.3,5.1
2016/01/01,板橋,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2016/01/01,板橋,PM10,99,87,77,70,66,60,65,65,59,56,48,46,53,64,66,60,61,58,55,57,59,58,52,48
2016/01/01,板橋,PM2.5,56,50,45,39,37,37,42,44,37,33,31,25,26,30,32,32,29,29,27,29,32,31,29,28
2016/01/01,板橋,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2016/01/01,板橋,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2016/01/01,板橋,RH,64,68,70,69,71,72,72,70,68,67,67,67,67,66,66,68,71,74,76,77,77,78,80,81
2016/01/01,板橋,SO2,2.8,2.1,1.9,1.7,1.6,1.6,2.3,1.9,1.5,1.6,1.6,1.8,1.7,1.8,1.9,3,6,7.4,7.2,4.2,4.4,4.7,3.6,2.3
2016/01/01,板橋,THC,2.1,2.1,2.1,2,2,2,2,2,2,2,2,2,2,2,2,2,2.1,2.1,2.2,2.2,2.2,2.3,2.4,2.2
2016/01/01,板橋,UVB,0,0,0,0,0,0,0,0.2,1,2.4,3.9,4.7,4.7,3.7,2.1,1,0.2,0,0,0,0,0,0,0
2016/01/01,板橋,WD_HR,80,85,80,83,74,76,77,78,80,66,67,69,71,72,68,69,68,68,62,59,65,74,183,223
2016/01/01,板橋,WIND_DIREC,72,73,90,87,71,67,81,74,82,61,63,73,83,80,65,71,71,66,58,57,81,143,239,217
2016/01/01,板橋,WIND_SPEED,1.6,1.6,1.5,1.6,1.9,1.6,1.7,2.3,2.3,3.9,3.3,4,3.6,4.1,4.3,3,3.2,2.5,2.6,2.1,1.4,0.8,0.8,1.5
2016/01/01,板橋,WS_HR,1.2,1.3,1.2,1.2,1.4,1.6,1.3,2,2.3,3,3,3.4,3.6,3.5,3.9,3,3.1,2.5,2.5,2.1,1.4,0.6,0.9,1.1
2016/01/02,板橋,AMB_TEMP,18,18,18,19,19,18,18,18,19,19,20,20,20,20,20,20,20,20,20,20,20,20,19,19
2016/01/02,板橋,CH4,2,2,2,2,2.1,2,2.1,2.2,2.3,2.2,2,1.9,1.9,1.9,1.9,2,2,2.1,2.2,2.3,2.3,2.3,2.4,2.5
2016/01/02,板橋,CO,0.52,0.51,0.49,0.5,0.51,0.44,0.53,0.88,1.15,1.11,0.69,0.59,0.56,0.62,0.73,0.82,1.03,1.36,1.82,2.24,1.98,2.02,2.17,2.13
2016/01/02,板橋,NMHC,0.18,0.19,0.19,0.19,0.2,0.13,0.18,0.4,0.56,0.47,0.23,0.18,0.17,0.18,0.23,0.29,0.41,0.54,0.8,0.96,0.83,0.82,0.86,0.89
2016/01/02,板橋,NO,2.9,11,10,1.3,1.4,0.9,0.9,14,29,20,4.5,2.3,3.1,2.7,4.2,4.9,3.5,10,29,45,49,53,70,68
2016/01/02,板橋,NO2,19,22,23,19,19,10,18,26,28,34,23,18,20,21,27,33,41,52,57,57,50,49,45,43
2016/01/02,板橋,NOx,22,33,34,20,20,11,18,40,57,54,28,20,23,23,31,38,44,62,87,102,99,101,115,112
2016/01/02,板橋,O3,6.1,2.3,1.9,7.5,11,29,18,4,3,7.9,23,30,26,29,26,22,15,5.7,1.8,1.3,1.1,1.1,1,1
2016/01/02,板橋,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2016/01/02,板橋,PM10,48,51,51,60,72,86,94,78,64,72,94,90,86,91,93,103,111,120,129,136,131,127,122,117
2016/01/02,板橋,PM2.5,30,30,27,27,31,35,40,39,36,40,42,41,45,47,48,52,56,56,64,68,63,64,64,65
2016/01/02,板橋,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.2,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2016/01/02,板橋,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2016/01/02,板橋,RH,82,82,81,81,82,84,84,82,80,78,79,80,79,78,77,76,76,76,77,78,80,81,83,84
2016/01/02,板橋,SO2,2,5.1,5.4,4.6,5.4,2.7,2.8,2.9,3.6,3.6,3,2.7,3.2,3.2,3.3,3.2,3.2,3.5,4,4.6,4.6,4.4,5.5,5.1
2016/01/02,板橋,THC,2.2,2.2,2.2,2.2,2.3,2.1,2.2,2.6,2.8,2.7,2.2,2.1,2.1,2.1,2.2,2.3,2.4,2.6,3,3.3,3.1,3.1,3.3,3.4
2016/01/02,板橋,UVB,0,0,0,0,0,0,0,0.1,0.6,1,1.1,1.4,1.1,1,1.1,0.6,0.1,0,0,0,0,0,0,0
2016/01/02,板橋,WD_HR,224,225,221,221,242,341,261,122,107,281,351,22,306,320,353,9.1,313,77,43,28,4.2,16,315,277
2016/01/02,板橋,WIND_DIREC,230,227,216,220,30,343,293,118,29,300,342,298,293,352,24,328,307,122,43,29,340,26,230,283
2016/01/02,板橋,WIND_SPEED,1.8,1.5,1.4,1.4,1.1,0.7,0.5,1.2,0.7,1.3,2.4,1.5,2.2,1.9,1.2,0.7,2.4,0.9,1.1,1.9,1.4,1.6,0.7,0.9
2016/01/02,板橋,WS_HR,1.7,1.5,1.4,1.3,0.5,0.5,0.7,0.7,0.3,0.5,1.2,1,1.5,0.9,0.8,0.4,0.8,0.1,0.1,1.1,0.8,0.6,0.5,0.6
2016/01/03,板橋,AMB_TEMP,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20
2016/01/03,板橋,CH4,2.5,2.6,2.5,2.3,2.3,2.4,2.4,2.5,2.2,2.2,2.4,2.4,2.3,2.1,2.1,2.1,2.1,2,2,2,1.9,1.9,2,2.1
2016/01/03,板橋,CO,2.01,1.92,1.59,1.11,0.94,1.08,1.17,1.48,1.01,1.07,1.43,1.42,1.15,0.86,0.91,0.77,0.88,0.86,0.74,0.74,0.77,0.65,0.75,0.81
2016/01/03,板橋,NMHC,0.88,0.78,0.71,0.48,0.45,0.54,0.6,0.71,0.44,0.45,0.63,0.6,0.46,0.36,0.38,0.3,0.36,0.34,0.28,0.27,0.26,0.2,0.25,0.27
2016/01/03,板橋,NO,62,69,53,25,21,29,34,53,19,20,25,30,24,12,19,16,21,20,13,14,15,14,9.9,14
2016/01/03,板橋,NO2,44,42,38,37,38,38,36,37,35,38,48,48,44,38,40,37,40,40,37,36,36,33,33,36
2016/01/03,板橋,NOx,106,111,91,62,59,66,70,91,54,58,73,78,68,50,59,53,61,60,50,50,51,47,43,50
2016/01/03,板橋,O3,1,0.8,0.7,0.6,0.7,0.7,0.8,1.1,5.1,8.2,6.9,4.6,5.7,9.3,7.2,8.4,3.8,2,3.4,4.1,3.1,6.2,3.2,1.8
2016/01/03,板橋,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,5.6,NR,5.6,5.6,5.9,5.9,6,NR,NR,NR,NR,5.8,NR,5.6,5.7,,NR
2016/01/03,板橋,PM10,119,111,105,105,97,94,93,96,92,80,78,82,72,48,37,31,27,27,24,21,21,22,21,20
2016/01/03,板橋,PM2.5,67,63,60,59,62,64,66,67,59,50,55,59,50,35,23,15,15,15,17,15,14,13,8,10
2016/01/03,板橋,RAINFALL,NR,NR,NR,NR,NR,0.2,0.2,4.4,0.2,0.4,0.6,2,0.8,1.8,0.2,NR,NR,NR,0.4,0.2,3,0.8,NR,NR
2016/01/03,板橋,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,7.4,NR,3.6,3.4,3.3,3.3,3.5,NR,NR,NR,NR,3.7,NR,3.5,3.3,,NR
2016/01/03,板橋,RH,84,85,86,87,87,87,88,88,89,88,87,87,88,88,88,86,84,82,83,84,85,87,88,87
2016/01/03,板橋,SO2,4.6,4.2,6.1,5.4,5.2,5.6,5,5.3,3.3,2.9,3.1,3,2.8,2.2,2.3,2.3,2.9,11,7.3,4.3,3.1,2.6,2.2,2.4
2016/01/03,板橋,THC,3.4,3.4,3.2,2.7,2.7,2.9,3,3.2,2.7,2.7,3,3,2.7,2.5,2.5,2.4,2.4,2.3,2.3,2.2,2.2,2.1,2.3,2.4
2016/01/03,板橋,UVB,0,0,0,0,0,0,0,0.1,0.5,1.4,1.4,1.2,1.1,0.8,0.9,0.6,0.2,0,0,0,0,0,0,0
2016/01/03,板橋,WD_HR,320,269,233,190,312,151,268,316,46,89,40,39,4.1,27,38,38,52,67,73,124,81,75,46,56
2016/01/03,板橋,WIND_DIREC,4.2,279,221,166,350,278,213,299,152,54,353,57,320,33,31,5.9,157,73,66,92,89,83,55,311
2016/01/03,板橋,WIND_SPEED,1.2,1.3,1.9,0.8,0.7,1.1,0.5,1,1,1,0.8,1.3,1.7,1.7,0.9,1.3,0.7,1.4,1.1,1.1,1,1.2,1.9,1.1
2016/01/03,板橋,WS_HR,0.7,0.7,1.2,0.7,0.9,0.4,0.4,0.7,0.2,0.8,0.8,1.1,0.9,0.8,0.7,0.5,0.7,1.4,1,0.9,0.2,1.4,1.5,0.6
2016/01/04,板橋,AMB_TEMP,20,20,20,20,19,19,20,20,20,21,22,23,23,23,22,22,22,22,22,22,22,22,22,21
2016/01/04,板橋,CH4,2.2,2.3,2.7,2.5,2.3,2.2,2.3,2.3,2.3,2.2,2,2,2,2,1.9,2,2,2,2.1,2.2,2.2,2.2,2.2,2.2
2016/01/04,板橋,CO,0.89,0.63,0.77,0.82,0.71,0.63,0.84,1.35,1.54,1.37,0.82,0.84,0.91,0.84,0.55,0.67,0.93,1.16,1.93,2.54,2.38,1.88,1.73,1.63
2016/01/04,板橋,NMHC,0.35,0.29,0.39,0.4,0.37,0.29,0.42,0.63,0.7,0.62,0.44,0.58,0.66,0.53,0.4,0.54,0.7,0.7,1.07,1.46,1.27,0.94,0.88,0.83
2016/01/04,板橋,NO,19,6,11,20,16,15,31,48,51,46,27,19,18,15,5.6,11,18,20,52,64,63,56,52,56
2016/01/04,板橋,NO2,33,28,31,29,26,25,26,27,34,37,35,43,47,42,33,41,46,46,46,45,40,34,31,29
2016/01/04,板橋,NOx,52,34,42,49,42,39,56,75,85,84,62,61,65,58,39,52,65,66,98,110,104,90,83,85
2016/01/04,板橋,O3,1.3,3.1,0.7,0.6,0.5,0.5,0.8,1.5,2.9,4.2,6.8,13,7.3,5.3,13,6,2.5,1.6,1.2,0.9,0.8,0.6,0.5,0.7
2016/01/04,板橋,PH_RAIN,5.7,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2016/01/04,板橋,PM10,23,22,18,23,27,25,30,33,42,53,53,54,57,63,63,63,70,70,70,75,70,57,52,51
2016/01/04,板橋,PM2.5,11,11,11,11,13,14,14,18,27,34,33,31,33,35,33,34,38,40,40,41,38,36,34,28
2016/01/04,板橋,RAINFALL,0.2,NR,NR,NR,NR,NR,0.2,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
